하차역,업종,전국 소비금액 비율,관광지內_총 소비금액 비율,인당 소비금액 비율,관광지內_인당 소비금액 비율,전국 소비건수 비율,관광지內_총 소비건수 비율,인당 소비건수 비율,관광지內_인당 소비건수 비율
강릉역,요식,19.75 ,27.74 ,9.77 ,8.57 ,18.70 ,24.74 ,13.14 ,11.35 
강릉역,제과점,2.35 ,2.04 ,1.68 ,2.66 ,4.67 ,3.67 ,4.72 ,7.07 
강릉역,커피,2.61 ,1.75 ,1.70 ,1.85 ,7.19 ,4.67 ,6.62 ,7.31 
강릉역,백화점,13.66 ,0.00 ,13.64 ,0.00 ,3.37 ,0.00 ,4.78 ,0.00 
강릉역,대형할인점,10.74 ,13.37 ,8.26 ,15.79 ,4.94 ,5.60 ,5.39 ,9.80 
강릉역,소형유통점,28.53 ,27.82 ,12.48 ,6.91 ,46.68 ,49.67 ,29.02 ,18.31 
강릉역,"공연장/극장",0.71 ,0.23 ,2.37 ,2.89 ,0.73 ,0.28 ,3.46 ,5.13 
강릉역,스포츠/문화/레저,5.42 ,4.29 ,7.25 ,13.36 ,2.56 ,2.88 ,4.85 ,13.25 
강릉역,숙박,4.16 ,12.21 ,9.04 ,17.51 ,0.84 ,2.95 ,2.58 ,6.28 
강릉역,항공,1.25 ,0.00 ,8.65 ,0.00 ,0.25 ,0.00 ,2.49 ,0.00 
강릉역,택시,2.84 ,0.00 ,2.97 ,0.00 ,6.09 ,0.00 ,9.05 ,0.00 
강릉역,렌터카,0.29 ,0.30 ,8.18 ,13.69 ,0.04 ,0.07 ,1.56 ,4.72 
강릉역,고속버스,0.10 ,0.00 ,0.92 ,0.00 ,0.17 ,0.00 ,2.20 ,0.00 
강릉역,여객선,0.00 ,0.00 ,1.48 ,0.00 ,0.00 ,0.00 ,1.17 ,0.00 
강릉역,철도,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
강릉역,주차장,0.32 ,0.31 ,0.68 ,1.43 ,1.03 ,0.94 ,3.08 ,6.36 
강릉역,주유,7.28 ,9.95 ,10.93 ,15.32 ,2.76 ,4.55 ,5.88 ,10.39 
전주역,요식,17.43 ,25.57 ,8.75 ,7.84 ,17.57 ,22.36 ,12.48 ,10.73 
