num,id,store,business,location,x,y,url
1,7854736,마레,숙박,제주특별자치도 제주시 한경면 한경해안로 521,126.1753887,33.34399769,http://place.map.kakao.com/7854736
2,1862849394,신창여관,여관,제주특별자치도 제주시 한경면 성굴로 41,126.1850042,33.3383036,http://place.map.kakao.com/1862849394
3,27126780,힐링카약파크 비체올린 캠핑장,야영,제주특별자치도 제주시 한경면 판조로 253-6,126.2185699,33.34947369,http://place.map.kakao.com/27126780
4,437168453,제주외할머니별장,산장,제주특별자치도 서귀포시 대정읍 서림중앙로 53,126.2249609,33.24723075,http://place.map.kakao.com/437168453
5,27327452,금능별장,산장,제주특별자치도 제주시 한림읍 금능길 24-12,126.2258935,33.38619989,http://place.map.kakao.com/27327452
6,1655166172,리썸카라반,카라반,제주특별자치도 서귀포시 대정읍 일과대수로27번길 12,126.2301686,33.23935599,http://place.map.kakao.com/1655166172
7,25491832,돌하르방캠핑장,야영,제주특별자치도 제주시 한경면 낙수로 271-40,126.2390255,33.32385204,http://place.map.kakao.com/25491832
8,24372468,협재해수욕장 캠핑장,야영,제주특별자치도 제주시 한림읍 협재리,126.2398337,33.39422004,http://place.map.kakao.com/24372468
9,25537012,금능해수욕장 야영장,야영,제주특별자치도 제주시 한림읍 금능리 2027,126.2360909,33.39105592,http://place.map.kakao.com/25537012
10,331541916,협재해수욕장 야영장,야영,제주특별자치도 제주시 한림읍 협재리 2497-1,126.2387194,33.39234151,http://place.map.kakao.com/331541916
11,21055286,동굴돌담길캠핑장,오토캠핑장,제주특별자치도 제주시 한림읍 협재남4길 26,126.247941,33.3843808,http://place.map.kakao.com/21055286
12,1354860770,코자호텔,여관,제주특별자치도 서귀포시 대정읍 최남단해안로 44,126.252126,33.21667012,http://place.map.kakao.com/1354860770
13,979393296,모슬포2호텔,여관,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13,126.2507214,33.21773099,http://place.map.kakao.com/979393296
14,10193569,남강여관,여관,제주특별자치도 서귀포시 대정읍 최남단해안로 5,126.2522903,33.21992954,http://place.map.kakao.com/10193569
15,8971841,동원장여관,여관,제주특별자치도 서귀포시 대정읍 하모이삼로52번길 14,126.2537482,33.2225638,http://place.map.kakao.com/8971841
16,8513819,제일장모텔,여관,제주특별자치도 서귀포시 대정읍 하모중앙로 79,126.2522071,33.2211336,http://place.map.kakao.com/8513819
17,24052145,실버스타호텔,여관,제주특별자치도 서귀포시 대정읍 상모로289번길 16-7,126.2569295,33.22274242,http://place.map.kakao.com/24052145
18,11018355,뉴그린모텔,여관,제주특별자치도 서귀포시 대정읍 신영로 93-3,126.25265,33.22102086,http://place.map.kakao.com/11018355
19,23970858,대전여인숙,여관,제주특별자치도 서귀포시 대정읍 하모상가로 18-2,126.2508205,33.2212046,http://place.map.kakao.com/23970858
20,42918831,아루미호텔 협재점,여관,제주특별자치도 제주시 한림읍 한림로 545,126.2563815,33.40635471,http://place.map.kakao.com/42918831
21,16457745,비지니스아로마숙박,여관,제주특별자치도 서귀포시 대정읍 상모로 210,126.2663653,33.22541581,http://place.map.kakao.com/16457745
22,9614439,한라모텔,여관,제주특별자치도 제주시 한림읍 한림로3길 10-9,126.2604891,33.41382277,http://place.map.kakao.com/9614439
23,1534879984,소담여관,여관,제주특별자치도 제주시 한림읍 한림로19길 7,126.2640305,33.41712741,http://place.map.kakao.com/1534879984
24,27379981,GMJ호텔,여관,제주특별자치도 제주시 한림읍 한림로15길 2,126.2645487,33.41648314,http://place.map.kakao.com/27379981
25,15564442,비양도모텔,여관,제주특별자치도 제주시 한림읍 한림해안로 134,126.2611654,33.41471035,http://place.map.kakao.com/15564442
26,11027885,3만3천원모텔,여관,제주특별자치도 제주시 한림읍 한림해안로 160,126.2634552,33.4165019,http://place.map.kakao.com/11027885
27,16268009,뉴월드모텔,여관,제주특별자치도 제주시 한림읍 한림북동길 26,126.263955,33.41741006,http://place.map.kakao.com/16268009
28,15467423,대일장여관,여관,제주특별자치도 제주시 한림읍 한수풀로 11,126.2640884,33.41790492,http://place.map.kakao.com/15467423
29,11123834,세론장,여관,제주특별자치도 제주시 한림읍 한림북동길 22,126.2640453,33.4169021,http://place.map.kakao.com/11123834
30,9942824,제일여관,여관,제주특별자치도 제주시 한림읍 한림로 633-1,126.261281,33.41324145,http://place.map.kakao.com/9942824
31,11144929,삼성여관,여관,제주특별자치도 제주시 한림읍 한림로15길 5,126.2644416,33.4163094,http://place.map.kakao.com/11144929
32,9556941,한수장,여관,제주특별자치도 제주시 한림읍 한림로 663,126.2638108,33.41461789,http://place.map.kakao.com/9556941
33,27122608,항구장모텔,여관,제주특별자치도 제주시 한림읍 한림해안로 144,126.2618781,33.41535653,http://place.map.kakao.com/27122608
34,18755095,한영장,여관,제주특별자치도 제주시 한림읍 사가길 5,126.2636847,33.41479025,http://place.map.kakao.com/18755095
35,22707754,영주여관,여관,제주특별자치도 제주시 한림읍 한림로19길 9,126.2638121,33.41701251,http://place.map.kakao.com/22707754
36,10936468,한동여관,여관,제주특별자치도 제주시 한림읍 한림리 1303,126.2652535,33.4159103,http://place.map.kakao.com/10936468
37,24992934,일출여인숙,여관,제주특별자치도 제주시 한림읍 한림로 648,126.2625333,33.41364019,http://place.map.kakao.com/24992934
38,10643970,영일여관,여관,제주특별자치도 제주시 한림읍 한림로17길 2,126.2645955,33.416927,http://place.map.kakao.com/10643970
39,1596874532,삼춘네캠핑하우스,카라반,제주특별자치도 서귀포시 대정읍 중산간서로 2366,126.2800439,33.27398533,http://place.map.kakao.com/1596874532
40,361996477,운송시크릿텔,여관,제주특별자치도 서귀포시 대정읍 추사로36번길 48,126.2824014,33.25280119,http://place.map.kakao.com/361996477
41,171288188,안성캠프96,야영,제주특별자치도 서귀포시 대정읍 안성리 1096-1,126.2826055,33.26602901,http://place.map.kakao.com/171288188
42,27099333,할리데이카라반,카라반,제주특별자치도 제주시 한경면 녹차분재로 354,126.2815705,33.30832976,http://place.map.kakao.com/27099333
43,15301529,산야별장,산장,제주특별자치도 서귀포시 안덕면 사계로 219,126.302639,33.24954249,http://place.map.kakao.com/15301529
44,1051829610,마레보비치호텔,여관,제주특별자치도 제주시 애월읍 곽지1길 23,126.3040513,33.4482558,http://place.map.kakao.com/1051829610
45,131201176,비치보이스,카라반,제주특별자치도 제주시 애월읍 금성5길 42-1,126.3006701,33.4479663,http://place.map.kakao.com/131201176
46,19678439,스마트무인텔,여관,제주특별자치도 서귀포시 안덕면 중산간서로 1913-58,126.3146301,33.28928008,http://place.map.kakao.com/19678439
47,786388979,한담캠핑카라반,카라반,제주특별자치도 제주시 애월읍 애월리 2477,126.3107376,33.46172316,http://place.map.kakao.com/786388979
48,11967147,제주유스호스텔,유스호스텔,제주특별자치도 제주시 애월읍 방축길 128,126.3246926,33.3859798,http://place.map.kakao.com/11967147
49,8497249,모텔에쿠스,여관,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 5,126.3352991,33.2471896,http://place.map.kakao.com/8497249
50,24372441,화순해수욕장 캠핑장,야영,제주특별자치도 서귀포시 안덕면 화순해안로 66,126.3332779,33.24092516,http://place.map.kakao.com/24372441
51,1584001508,에코그린캠핑장,야영,제주특별자치도 제주시 애월읍 중산간서로 5587,126.3335248,33.44424517,http://place.map.kakao.com/1584001508
52,1864697340,홍스랜드 글램핑,글램핑장,제주특별자치도 제주시 애월읍 어음13길 25-45,126.3473811,33.40282308,http://place.map.kakao.com/1864697340
53,22985522,마이테르,유스호스텔,제주특별자치도 제주시 애월읍 애원로 474-29,126.3476034,33.42945101,http://place.map.kakao.com/22985522
54,1988163384,더블스테이 메이몬드 제주 레지던스,숙박,제주특별자치도 제주시 애월읍 고내로13길 76-24,126.348983,33.46960601,http://place.map.kakao.com/1988163384
55,26814081,클럽다인리조트 카라반,카라반,제주특별자치도 제주시 애월읍 고내리 79-27,126.351031,33.47166335,http://place.map.kakao.com/26814081
56,947981521,마레보리조트 카라반,카라반,제주특별자치도 제주시 애월읍 신엄안3길 135,126.3548063,33.47147028,http://place.map.kakao.com/947981521
57,19083935,오손돌별장,산장,제주특별자치도 제주시 애월읍 부룡수길 50,126.3577608,33.47462314,http://place.map.kakao.com/19083935
58,7886954,밀레니엄호텔,여관,제주특별자치도 제주시 애월읍 부룡수길 13,126.3545906,33.47503223,http://place.map.kakao.com/7886954
59,327801346,호텔브릿지 애월,여관,제주특별자치도 제주시 애월읍 부룡수길 13,126.3545861,33.47505835,http://place.map.kakao.com/327801346
60,17575475,카멜리아힐 목조별장,산장,제주특별자치도 서귀포시 안덕면 병악로 166,126.3700021,33.28887343,http://place.map.kakao.com/17575475
61,26491470,M호텔,여관,제주특별자치도 제주시 애월읍 신상로 196,126.3652313,33.45425689,http://place.map.kakao.com/26491470
62,8824132,꿈의바다,여관,제주특별자치도 제주시 애월읍 신엄9길 65-11,126.365858,33.4769188,http://place.map.kakao.com/8824132
63,1787332871,폴리파크카라반,카라반,제주특별자치도 제주시 애월읍 산록서로 18,126.3759995,33.38669555,http://place.map.kakao.com/1787332871
64,12385050,무인텔 포유,여관,제주특별자치도 제주시 애월읍 상가목장길 12,126.3796403,33.39885293,http://place.map.kakao.com/12385050
65,552450186,케이글램핑 애월,글램핑장,제주특별자치도 제주시 애월읍 소길남길 120,126.3763933,33.42424364,http://place.map.kakao.com/552450186
66,1192271372,제주와일드,유스호스텔,제주특별자치도 서귀포시 논짓물로 28,126.3874095,33.23875925,http://place.map.kakao.com/1192271372
67,26217838,타미우스골프빌리지,산장,제주특별자치도 제주시 애월읍 화전길 201,126.3880839,33.35170501,http://place.map.kakao.com/26217838
68,1661279604,여관도도,여관,제주특별자치도 제주시 애월읍 소길1길 13-2,126.3800788,33.44001475,http://place.map.kakao.com/1661279604
69,27330968,우남동호스텔,유스호스텔,제주특별자치도 서귀포시 상예로 262,126.3947908,33.26793124,http://place.map.kakao.com/27330968
70,1607058969,서귀포호텔 카라반캠핑장,카라반,제주특별자치도 서귀포시 상예로 319,126.3946519,33.27313109,http://place.map.kakao.com/1607058969
71,268385264,스타빌,글램핑장,제주특별자치도 서귀포시 안덕면 광평로 34-154,126.3954273,33.33841523,http://place.map.kakao.com/268385264
72,1651687008,캠핑스토리,오토캠핑장,제주특별자치도 제주시 애월읍 하소로 746,126.3949471,33.41756184,http://place.map.kakao.com/1651687008
73,12502072,뉴코리아유스호스텔,유스호스텔,제주특별자치도 제주시 애월읍 하소로 769-15,126.3981585,33.41694364,http://place.map.kakao.com/12502072
74,1705515540,케이웨건,오토캠핑장,제주특별자치도 제주시 애월읍 평화로 2157,126.3927836,33.41314156,http://place.map.kakao.com/1705515540
75,239958381,유수암캠핑장,오토캠핑장,제주특별자치도 제주시 애월읍 하소로 684-25,126.3936973,33.42212953,http://place.map.kakao.com/239958381
76,582269442,제주애월별헤는밤 글램핑펜션,글램핑장,제주특별자치도 제주시 애월읍 광상로 348,126.3966428,33.44333858,http://place.map.kakao.com/582269442
77,1828463918,코니호텔,여관,제주특별자치도 제주시 애월읍 가문동길 79,126.3907268,33.48884261,http://place.map.kakao.com/1828463918
78,1011959178,나비스호스텔,유스호스텔,제주특별자치도 제주시 애월읍 애월해안로 885,126.3915515,33.48645746,http://place.map.kakao.com/1011959178
79,26820044,우림호텔,여관,제주특별자치도 제주시 애월읍 애월해안로 917,126.3934367,33.48428486,http://place.map.kakao.com/26820044
80,17479766,제주신라호텔 글램핑빌리지,야영,제주특별자치도 서귀포시 색달동 3039-3 숨비정원,126.4070888,33.24596211,http://place.map.kakao.com/17479766
81,19484787,베누스무인텔,여관,제주특별자치도 제주시 애월읍 유수암평화5길 92,126.4062434,33.42072603,http://place.map.kakao.com/19484787
82,1455931255,일루아,여관,제주특별자치도 제주시 애월읍 유수암평화길 180,126.4097362,33.42826562,http://place.map.kakao.com/1455931255
83,26864928,제주플래티늄카라반,카라반,제주특별자치도 제주시 애월읍 하귀미수포길 5-8,126.4014045,33.48344636,http://place.map.kakao.com/26864928
84,24373389,롯데호텔제주 글램핑캠핑장,야영,제주특별자치도 서귀포시 중문관광로72번길 35,126.4105236,33.2483479,http://place.map.kakao.com/24373389
85,7997230,야영장,야영,제주특별자치도 서귀포시 색달동,126.4158377,33.2457222,http://place.map.kakao.com/7997230
86,24717362,중문진실캠핑장,야영,제주특별자치도 서귀포시 천제연로 132,126.4179078,33.25198916,http://place.map.kakao.com/24717362
87,1439723104,녹고뫼휴양펜션 &제주캠핑장,야영,제주특별자치도 제주시 애월읍 유수암평화10길 175-78,126.4185466,33.41313875,http://place.map.kakao.com/1439723104
88,12564926,아르본유스호스텔,유스호스텔,제주특별자치도 제주시 애월읍 평화로 2482,126.4194513,33.43097659,http://place.map.kakao.com/12564926
89,19137930,이그니스무인텔,여관,제주특별자치도 제주시 애월읍 평화로 2496,126.4194309,33.43210529,http://place.map.kakao.com/19137930
90,14826050,쇼모텔,여관,제주특별자치도 제주시 애월읍 평화로 2500,126.4197365,33.43240425,http://place.map.kakao.com/14826050
91,18319025,해성파크텔,유스호스텔,제주특별자치도 서귀포시 천제연로 158-4,126.4213291,33.25226931,http://place.map.kakao.com/18319025
92,8541671,천제모텔,여관,제주특별자치도 서귀포시 천제연로 189,126.4248237,33.25185544,http://place.map.kakao.com/8541671
93,1614956037,에덴모텔,여관,제주특별자치도 서귀포시 천제연로185번길 6,126.424607,33.25217452,http://place.map.kakao.com/1614956037
94,2103840470,휴 무인텔,여관,제주특별자치도 제주시 애월읍 평화로 2519,126.4202786,33.43496551,http://place.map.kakao.com/2103840470
95,19215620,퀸무인텔,여관,제주특별자치도 제주시 애월읍 평화로 2540,126.4227843,33.43493392,http://place.map.kakao.com/19215620
96,264598647,휴림,카라반,제주특별자치도 제주시 애월읍 광령남서길 40,126.4287957,33.44376493,http://place.map.kakao.com/264598647
