num,store,address,review,score
1,(주)대한렌트카서비스제주지점,제주특별자치도 제주시 한림읍 한림로 245-5,0,0
2,재경렌트카,제주특별자치도 제주시 애월읍 중용길 33,0,0
3,SK렌터카 에코라운지,제주특별자치도 서귀포시 일주서로 1166,1,5
4,제주렌트카 신라호텔지점,제주특별자치도 서귀포시 중문관광로72번길 75 3층,1,0
5,케이티렌탈,제주특별자치도 제주시 애월읍 항몽로 64,0,0
6,롯데렌터카 제주중문롯데호텔지점,제주특별자치도 서귀포시 중문관광로72번길 35,1,4
7,제주캐스팅투어,제주특별자치도 제주시 일주서로 7326 2층,0,0
8,한길렌터카,제주특별자치도 제주시 우정로 88,0,0
9,제주더렌트카,제주특별자치도 제주시 내도1길 23,143,5
10,제주여행렌트카,제주특별자치도 제주시 연동11길 12 3층,0,0
11,빌리카,제주특별자치도 제주시 덕지2길 6,11,4
12,제주1번가미니버스쏠라티투어,제주특별자치도 제주시 노형로 22 1층,3,5
13,수렌트카,제주특별자치도 제주시 오광로 24,14,3.3
14,올레렌트카,제주특별자치도 제주시 일주서로 7582,5,2.5
15,캠핑카생존기,제주특별자치도 제주시 도리로 18,6,0
16,존샘투어,제주특별자치도 제주시 오광로 24,0,0
17,윙스,제주특별자치도 제주시 일주서로 7577 2층,0,0
18,써니빌렌트카,제주특별자치도 제주시 오광로 156,0,0
19,뉴스마트렌트카,제주특별자치도 제주시 오도11길 19,0,0
20,KD렌트카,제주특별자치도 제주시 일주서로 7667,6,1.8
21,신동아렌터카,제주특별자치도 제주시 억삼길 10,7,4.1
22,제주타요렌터카,제주특별자치도 제주시 일주서로 7662,6,3.4
23,메트로렌트카,제주특별자치도 제주시 억삼길 10,6,3
24,경동렌트카 제주지점,제주특별자치도 제주시 백포남길 62-1 2층 202호,0,0
25,DK렌터카,제주특별자치도 제주시 일주서로 7667,0,0
26,제주케빈컴퍼니&케빈렉카,제주특별자치도 제주시 항골남길 32-16 105호,0,0
27,발리렌트카,제주특별자치도 제주시 도리로 110,2,3.6
28,유명렌트카,제주특별자치도 제주시 정존11길 31,0,4
29,조아렌트카,제주특별자치도 제주시 오일장중길 39,24,2.9
30,레인보우모빌리티,제주특별자치도 제주시 오일장서길 68,99,3.5
31,씨유렌트카,제주특별자치도 제주시 제성1길 75,0,1.6
32,예스렌트카,제주특별자치도 제주시 오일장중길 117,8,2.1
33,썬렌트카,제주특별자치도 제주시 한천로 23,1,0
34,더세븐렌트카,제주특별자치도 제주시 오일장서길 68,7,1.5
35,한라산렌트카,제주특별자치도 제주시 제성1길 75,0,1
36,에스제이렌트카,제주특별자치도 제주시 오일장중길 100,2,4.5
37,제주삼성렌트카,제주특별자치도 제주시 제성1길 75,1,1.5
38,장수렌트카,제주특별자치도 제주시 월광로 154,5,4.2
39,한라산렌트카,제주특별자치도 제주시 오일장중길 27,3,3.3
40,녹원렌터카,제주특별자치도 제주시 오일장서길 75,3,2.3
41,렌트파크,제주특별자치도 제주시 오일장중길 39,0,0
42,스마일렌트카,제주특별자치도 제주시 오일장서길 63,0,0
43,로보트렌터카,제주특별자치도 제주시 제성1길 75,2,2.1
44,자유렌트카,제주특별자치도 제주시 오일장중길 117 1동 1층,8,2.1
45,좋은렌트카,제주특별자치도 제주시 도두일동 1557-1,0,0
46,렌트카하우스,제주특별자치도 제주시 도령로 50,0,0
47,망고카,제주특별자치도 제주시 연북로 10 신영빌딩 3층,0,0
48,제주얼라이언스,제주특별자치도 제주시 도령로 54,0,0
49,제이엠레저,제주특별자치도 제주시 도령로 66,0,0
50,무지개렌트카,제주특별자치도 제주시 제성1길 28,44,2.1
51,패밀리렌트카,제주특별자치도 제주시 제성1길 67,16,1.8
