num,name,address,review,score
1,용수교회,제주특별자치도 제주시 한경면 용수길 71,0,0
2,장로교회,제주특별자치도 제주시 한경면 용수길 71,0,0
3,용수예루살렘교회,제주특별자치도 제주시 한경면 용수길 40-19,0,0
4,고산교회,제주특별자치도 제주시 한경면 고산로 12-1,0,0
5,순례자의교회,제주특별자치도 제주시 한경면 용수리 2410,19,4.8
6,한경교회,제주특별자치도 제주시 한경면 두신로 92-6,0,0
7,신도교회,제주특별자치도 서귀포시 대정읍 도원남로 171-6,0,5
8,무릉교회,제주특별자치도 서귀포시 대정읍 서삼중로 113-5,0,0
9,판포교회,제주특별자치도 제주시 한경면 판포4길 21,0,0
10,대정영락교회,제주특별자치도 서귀포시 대정읍 영락하동로25번길 14,0,5
11,영락그리스도의교회,제주특별자치도 서귀포시 대정읍 영락중동로16번길 3,0,0
12,행복한교회,제주특별자치도 제주시 한경면 고조로 389-7,0,0
13,제주황금종교회,제주특별자치도 제주시 한경면 금등대안3길 18,0,0
14,월령교회,제주특별자치도 제주시 한림읍 월령3길 10-4,0,0
15,라온교회,제주특별자치도 제주시 한림읍 월령3길 29,0,0
16,경배와 찬양교회,제주특별자치도 제주시 한림읍 월령3길 29,0,0
17,서림교회,제주특별자치도 서귀포시 대정읍 서림중앙로 45,0,5
18,평지교회,제주특별자치도 서귀포시 대정읍 무영로228번길 8-8,0,0
19,삼성교회,제주특별자치도 제주시 한경면 낙수로 128,0,0
20,가나안교회,제주특별자치도 서귀포시 표선면 성읍이리로47번길 11,1,5
21,금능교회,제주특별자치도 제주시 한림읍 한림로 177,0,0
22,경산교회,제주특별자치도 제주시 한경면 불그못로 193,0,0
23,조수교회,제주특별자치도 제주시 한경면 조수3길 7,0,5
24,비양도교회,제주특별자치도 제주시 한림읍 비양도길 279,0,0
25,모슬포교회,제주특별자치도 서귀포시 대정읍 하모이삼로15번길 25,1,1
26,모슬포교회,제주특별자치도 서귀포시 대정읍 신영로 65-12,0,0
27,청수교회,제주특별자치도 제주시 한경면 대한로 1067,0,5
28,협재교회,제주특별자치도 제주시 한림읍 협재8길 8,1,5
29,남제주 강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,5,5
30,모슬포중앙교회,제주특별자치도 서귀포시 대정읍 상모대서로 56,0,5
31,제주대정교회,제주특별자치도 서귀포시 대정읍 하모중앙로 79,0,0
32,모슬포순복음교회,제주특별자치도 서귀포시 대정읍 동일하모로 212,0,0
33,드림교회,제주특별자치도 서귀포시 대정읍 하모중앙로68번길 5,0,0
34,제칠일 안식일예수재림교 모슬포교회,제주특별자치도 서귀포시 대정읍 하모이삼로52번길 11-3,0,0
35,저청중앙교회,제주특별자치도 제주시 한경면 중산간서로 3604,5,0
36,옹포교회,제주특별자치도 제주시 한림읍 옹포8길 1-7,0,0
37,마라도교회,제주특별자치도 서귀포시 대정읍 가파리 산 15,4,3
38,모슬포성결교회,제주특별자치도 서귀포시 대정읍 비행장로 74,0,0
39,포도원교회,제주특별자치도 서귀포시 대정읍 송악관광로143번길 15,0,3
40,샬롬교회,제주특별자치도 제주시 한림읍 명월로6길 30,0,0
41,한림중앙교회,제주특별자치도 제주시 한림읍 한림상로 101-2,0,5
42,쉴만한교회,제주특별자치도 제주시 한림읍 한림중앙로 71-6,0,0
43,한림교회,제주특별자치도 제주시 한림읍 한림로14길 13,0,0
44,한림가정교회,제주특별자치도 제주시 한림읍 한림중앙로 33-3,0,0
45,제주한림예수중심교회,제주특별자치도 제주시 한림읍 수원5길 1,0,0
46,가파성결교회,제주특별자치도 서귀포시 대정읍 가파로67번길 23-9,0,5
47,대정교회,제주특별자치도 서귀포시 대정읍 추사로36번길 11,1,5
48,대정한사랑교회,제주특별자치도 서귀포시 대정읍 추사로38번길 134,0,0
49,대정임마누엘교회,제주특별자치도 서귀포시 대정읍 중산간서로 2385 1층,0,0
50,제주국제교회,제주특별자치도 서귀포시 대정읍 글로벌에듀로362번길 17,0,5
51,제주비전교회,제주특별자치도 제주시 한림읍 중산간서로 4135,0,0
52,명월교회,제주특별자치도 제주시 한림읍 명월로 190-7,0,0
53,한림순복음교회,제주특별자치도 제주시 한림읍 한상로 13,0,0
54,한사랑교회,제주특별자치도 제주시 한림읍 명랑남동길 25,0,0
55,천국문예수중심교회,제주특별자치도 제주시 한림읍 대림8길 34,0,0
56,제주귀덕교회,제주특별자치도 제주시 한림읍 귀덕1길 11,1,5
57,영어마을교회,제주특별자치도 서귀포시 대정읍 에듀시티로 44 3층,0,0
58,서길교회,제주특별자치도 제주시 한림읍 금악서길 27-23,0,5
59,금악교회,제주특별자치도 제주시 한림읍 금악리 2988-8,0,0
60,한수풀감리교회,제주특별자치도 제주시 한림읍 대림로 101,0,0
61,제주예원교회,제주특별자치도 제주시 한림읍 귀덕4길 127,0,0
62,예인교회,제주특별자치도 제주시 한림읍 귀덕4길 1,0,0
63,사계교회,제주특별자치도 서귀포시 안덕면 사계중앙로 7,1,5
64,제주조이풀교회,제주특별자치도 서귀포시 안덕면 녹차분재로 216,0,0
65,금악성산순복음교회,제주특별자치도 제주시 한림읍 금악로2길 39,0,0
66,덕수교회,제주특별자치도 서귀포시 안덕면 덕수서로68번길 3-19,2,3
67,남제주교회,제주특별자치도 서귀포시 동문동로 49-4,0,5
68,대화교회,제주특별자치도 서귀포시 안덕면 덕수서로 239,0,0
69,서광서리교회,제주특별자치도 서귀포시 안덕면 녹차분재로 40,0,0
70,내이션침례교회,제주특별자치도 서귀포시 안덕면 녹차분재로 44-5,0,0
71,금성교회,제주특별자치도 서귀포시 안덕면 녹차분재로 44-5,0,0
72,곽지교회,제주특별자치도 제주시 애월읍 곽지3길 14,0,0
