num,store,address,review,score
1,한림 작은영화관,제주특별자치도 제주시 한림읍 한림중앙로 71-9,21,4.7
2,숏트롱시네마,제주특별자치도 제주시 애월읍 신엄로 51 지하1층,9,5
3,제주공룡랜드 3D입체영화관,제주특별자치도 제주시 애월읍 광령평화2길 1,0,0
4,제주자동차극장,제주특별자치도 제주시 도공로 136,39,5
5,CGV 제주노형,제주특별자치도 제주시 노형로 407 노형타워 5층,20,2.8
6,롯데시네마 제주연동점,제주특별자치도 제주시 과원로 128 지하 1층,15,3.6
7,롯데시네마 서귀포,제주특별자치도 서귀포시 월드컵로 33 제주월드컵경기장 후문,25,2.4
8,팝스DVD영화관 제주점,제주특별자치도 제주시 광양10길 3,0,0
9,CGV 제주,제주특별자치도 제주시 서광로 288 메카플러스 3~7층,38,3.5
10,롯데시네마 제주아라,제주특별자치도 제주시 구산로 4,13,2.3
11,롯데시네마 제주삼화지구,제주특별자치도 제주시 삼봉로 11,20,2.5
