name, address, review, score
"제주바다목장 다이브리조트", 제주특별자치도 제주시 한경면 한경해안로 565, 4, 4.2
"모켄리조트 제주", 제주특별자치도 제주시 한경면 고산로4길 12-7, 1, 0.0
"메가리조트", 제주특별자치도 제주시 한경면 판포1길 6, 16, 1.9
"블루하와이리조트", 제주특별자치도 제주시 한림읍 한림로 77, 109, 3.4
"일성콘도앤리조트 제주비치지점", 제주특별자치도 제주시 한림읍 한림로 127, 2, 3.0
"오시록헌 PM", 제주특별자치도 제주시 한림읍 금능5길 19-3, 5, 4.9
"한림리조트", 제주특별자치도 제주시 한림읍 일주서로 5083-5, 37, 3.9
"카이리조트", 제주특별자치도 제주시 한림읍 협재2길 10, 23, 3.9
"한림리조트 컨벤션홀", 제주특별자치도 제주시 한림읍 협재로 99-1, 0, 0.0
"제주금강산콘도", 제주특별자치도 제주시 한림읍 협재로 210-18, 1, 1.8
"하모니리조트", 제주특별자치도 제주시 한림읍 협재로 213, 26, 4.3
"제주힐리조트", 제주특별자치도 제주시 한림읍 명월성로 394, 1, 0.0
"라온GC 라온빌리지", 제주특별자치도 제주시 한경면 용금로 998, 0, 1.0
"켄싱턴리조트 제주한림", 제주특별자치도 제주시 한림읍 한림해안로 530, 46, 3.2
"송악스테이", 제주특별자치도 서귀포시 대정읍 형제해안로 256-8, 2, 4.0
"콤마앤리조트", 제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22, 26, 4.9
"두빛나래리조트", 제주특별자치도 서귀포시 안덕면 사계북로 109, 27, 4.7
"나르샤리조트", 제주특별자치도 서귀포시 안덕면 사계북로 52, 9, 4.4
"물뜰에쉼팡리조트", 제주특별자치도 제주시 한림읍 귀덕로 73, 33, 3.9
"푸른콘도", 제주특별자치도 제주시 한림읍 귀덕6길 146, 0, 0.0
"썬앤문리조트", 제주특별자치도 서귀포시 안덕면 사계남로 102, 63, 4.5
"젠하이드어웨이", 제주특별자치도 서귀포시 안덕면 사계남로 186-8, 80, 3.8
"루시드엠", 제주특별자치도 서귀포시 안덕면 사계북로 120, 40, 4.2
"바다스케치", 제주특별자치도 서귀포시 안덕면 사계남로216번길 52, 12, 5.0
"리조트라온제나", 제주특별자치도 서귀포시 안덕면 사계로114번길 54-12 2층, 2, 0.0
"애월더선셋리조트", 제주특별자치도 제주시 애월읍 일주서로 6111, 41, 2.9
"제주신화월드 서머셋", 제주특별자치도 서귀포시 안덕면 신화역사로304번길 89, 2, 0.0
"블랙스톤리조트 제주", 제주특별자치도 제주시 한림읍 한창로 925-122, 7, 3.0
"제주토비스콘도 본관", 제주특별자치도 제주시 애월읍 애월로1길 8, 13, 2.1
"제주토비스콘도 신관", 제주특별자치도 제주시 애월읍 애월로1길 8, 0, 2.6
"와이리조트 제주", 제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75, 31, 4.2
"테디팰리스", 제주특별자치도 서귀포시 안덕면 서광동로34번길 204, 31, 0.0
"캐슬렉스제주골프클럽 골프텔", 제주특별자치도 서귀포시 안덕면 평화로 1241, 6, 5.0
"뉴오션리조트", 제주특별자치도 제주시 애월읍 고내로13길 59, 10, 2.3
"빌레리조트", 제주특별자치도 제주시 애월읍 고내로13길 79, 14, 2.9
"클럽다인리조트", 제주특별자치도 제주시 애월읍 애월해안로 400-9, 40, 2.5
"수앤수리조트", 제주특별자치도 제주시 애월읍 부룡수길 60, 11, 2.3
"올레리조트", 제주특별자치도 제주시 애월읍 부룡수길 33, 23, 4.3
"제주캐슬마운틴리조트", 제주특별자치도 서귀포시 안덕면 산록남로 513-14, 0, 5.0
"베이힐풀앤빌라", 제주특별자치도 서귀포시 예래로 424, 84, 3.9
"고은관광농원 휴양콘도미니엄", 제주특별자치도 서귀포시 일주서로 1262, 0, 5.0
"애월스테이인제주", 제주특별자치도 제주시 애월읍 애월해안로 708, 66, 4.1
"논짓물비치하우스", 제주특별자치도 서귀포시 논짓물로 15, 5, 0.0
"스테이인제주", 제주특별자치도 제주시 애월읍 애월해안로 708, 66, 4.1
"중문훼미리콘도미니엄", 제주특별자치도 서귀포시 소보리당로164번길 83, 0, 0.0
"중문에스피리조트", 제주특별자치도 서귀포시 일주서로 1222, 0, 0.0
"재즈마을", 제주특별자치도 서귀포시 소보리당로 220, 0, 0.0
"엘리시안제주 콘도", 제주특별자치도 제주시 애월읍 평화로 1738-116, 6, 4.5
"흰수염고래리조트", 제주특별자치도 제주시 애월읍 일주서로 6818, 33, 3.4
"핀크스비오토피아", 제주특별자치도 서귀포시 안덕면 산록남로762번길 79, 3, 1.2
"애월파라다이스", 제주특별자치도 제주시 애월읍 하소로 557-10, 0, 4.5
"제주리조트", 제주특별자치도 제주시 애월읍 가문동상4길 11, 12, 4.0
"청광리조트 제주골든우드", 제주특별자치도 서귀포시 색달동 1419, 2, 3.0
"해밀리조트", 제주특별자치도 제주시 애월읍 광상로 272 1~3층, 7, 4.8
"미아리조트", 제주특별자치도 제주시 애월읍 유수암북길 98, 0, 0.0
"켄싱턴리조트 제주중문", 제주특별자치도 서귀포시 중문관광로72번길 29-29, 31, 4.1
