num,id,store,business,location,x,y,url
1,19386662,제주국제예술센터,문화시설,제주특별자치도 서귀포시 대정읍 서삼중로 117,126.1993249,33.27176689,http://place.map.kakao.com/19386662
2,11023307,금능석물원,관광명소,제주특별자치도 제주시 한림읍 한림로 176,126.2268425,33.38486334,http://place.map.kakao.com/11023307
3,17558286,한림공원 재암수석관,문화시설,제주특별자치도 제주시 한림읍 한림로 300,126.2404141,33.38977696,http://place.map.kakao.com/17558286
4,184,대정현역사자료전시관,문화시설,제주특별자치도 서귀포시 대정읍 상모대서로 17,126.2562837,33.22514317,http://place.map.kakao.com/184
5,12573109,웃뜨르빛센터,문화시설,제주특별자치도 제주시 한경면 연명로 348,126.2590524,33.30230853,http://place.map.kakao.com/12573109
6,17573730,방림원 실내전시관,문화시설,제주특별자치도 제주시 한경면 용금로 864,126.2685263,33.33732515,http://place.map.kakao.com/17573730
7,27366748,선장헌,문화시설,제주특별자치도 제주시 한림읍 저지14길 64,126.2666445,33.34141452,http://place.map.kakao.com/27366748
8,10837593,제주추사관,문화시설,제주특별자치도 서귀포시 대정읍 추사로 44,126.2782213,33.24997299,http://place.map.kakao.com/10837593
9,1222269586,안성리 대정현 기록전시관,문화시설,제주특별자치도 서귀포시 대정읍 추사로 15,126.2811169,33.24965797,http://place.map.kakao.com/1222269586
10,1923203136,반짝반짝지구상회,문화시설,제주특별자치도 제주시 한림읍 귀덕6길 192,126.2894627,33.428807,http://place.map.kakao.com/1923203136
11,27080696,용머리해안 기후변화홍보관,문화시설,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-34,126.3130417,33.23328114,http://place.map.kakao.com/27080696
12,1616277001,그대나의뮤즈 클림트to마티스,문화시설,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,126.3174315,33.30285479,http://place.map.kakao.com/1616277001
13,1908153892,전가조형연구소,문화시설,제주특별자치도 서귀포시 안덕면 서광서문로 55-12,126.3227125,33.28361539,http://place.map.kakao.com/1908153892
14,19120077,성이시돌센터전시관,문화시설,제주특별자치도 제주시 한림읍 금악북로 353,126.3226115,33.34666596,http://place.map.kakao.com/19120077
15,1227627158,스페이스라포,문화시설,제주특별자치도 제주시 애월읍 고하상로 15-1,126.3420219,33.46347273,http://place.map.kakao.com/1227627158
16,1524439597,무민랜드제주,문화시설,제주특별자치도 서귀포시 안덕면 병악로 420,126.3817793,33.3066159,http://place.map.kakao.com/1524439597
17,910311841,이니갤러리,문화시설,제주특별자치도 제주시 애월읍 유수암서길 117,126.391537,33.42216944,http://place.map.kakao.com/910311841
18,27074062,항파두리항몽유적지 전시실,문화시설,제주특별자치도 제주시 애월읍 항파두리로 50,126.4073606,33.45251438,http://place.map.kakao.com/27074062
19,1805672225,더플래닛,문화시설,,126.4128497,33.25512647,http://place.map.kakao.com/1805672225
20,1825329093,그림포레스트,문화시설,제주특별자치도 서귀포시 중문관광로110번길 32,126.4128964,33.25104144,http://place.map.kakao.com/1825329093
21,22651572,ICC제주국제컨벤션센터,문화시설,제주특별자치도 서귀포시 중문관광로 224,126.4244399,33.24131911,http://place.map.kakao.com/22651572
22,17809080,제주국제평화센터,문화시설,제주특별자치도 서귀포시 중문관광로 227-24,126.4217033,33.24530962,http://place.map.kakao.com/17809080
23,11293481,ICC 제주국제컨벤션센터 탐라홀,문화시설,제주특별자치도 서귀포시 중문관광로 224,126.4244293,33.24130102,http://place.map.kakao.com/11293481
24,1891313659,폴더,문화시설,제주특별자치도 서귀포시 중문관광로 205,126.4215465,33.2438681,http://place.map.kakao.com/1891313659
25,27512932,이담갤러리,문화시설,제주특별자치도 제주시 애월읍 중산간서로 6609-1,126.4351221,33.46390306,http://place.map.kakao.com/27512932
26,775931695,사진놀이터,문화시설,제주특별자치도 제주시 애월읍 평화로 2835,126.4417351,33.45675002,http://place.map.kakao.com/775931695
27,1209632068,노형수퍼마켙,문화시설,제주특별자치도 제주시 노형로 89,126.4553556,33.46482488,http://place.map.kakao.com/1209632068
28,7938334,서귀포천문과학문화관,관광명소,제주특별자치도 서귀포시 1100로 506-1,126.4604181,33.28887327,http://place.map.kakao.com/7938334
29,1793341706,육필문학관 제주,문화시설,제주특별자치도 제주시 1100로 3178,126.4853386,33.46980536,http://place.map.kakao.com/1793341706
30,1597950229,갤러리 제주,문화시설,제주특별자치도 제주시 연삼로 51,126.4980884,33.49391035,http://place.map.kakao.com/1597950229
