"name","address","review","score"
"제주국제예술센터","제주특별자치도 서귀포시 대정읍 서삼중로 117",0,0.0
"금능석물원","제주특별자치도 제주시 한림읍 한림로 176",27,4.7
"한림공원 재암수석관","제주특별자치도 제주시 한림읍 한림로 300",0,0.0
"대정현역사자료전시관","제주특별자치도 서귀포시 대정읍 상모대서로 17",3,0.0
"웃뜨르빛센터","제주특별자치도 제주시 한경면 연명로 348",4,1.0
"방림원 실내전시관","제주특별자치도 제주시 한경면 용금로 864",0,0.0
"방림원 야외전시장","제주특별자치도 제주시 한경면 용금로 864",0,0.0
"선장헌","제주특별자치도 제주시 한림읍 저지14길 64",0,0.0
"제주추사관","제주특별자치도 서귀포시 대정읍 추사로 44",44,4.1
"갤러리노리","제주특별자치도 제주시 한림읍 용금로 891",1,0.0
"반짝반짝지구상회","제주특별자치도 제주시 한림읍 귀덕6길 192",2,0.0
"반짝지구상회","제주특별자치도 제주시 한림읍 귀덕6길 192",0,0.0
"용머리해안 기후변화홍보관","제주특별자치도 서귀포시 안덕면 사계남로216번길 24-34",3,4.0
"그대나의뮤즈 클림트to마티스","제주특별자치도 서귀포시 안덕면 신화역사로304번길 89",33,3.9
"전가조형연구소","제주특별자치도 서귀포시 안덕면 서광서문로 55-12",0,0.0
"성이시돌센터전시관","제주특별자치도 제주시 한림읍 금악북로 353",0,5.0
"스페이스라포","제주특별자치도 제주시 애월읍 고하상로 15-1",0,0.0
"무민랜드제주","제주특별자치도 서귀포시 안덕면 병악로 420",216,4.5
"이니갤러리","제주특별자치도 제주시 애월읍 유수암서길 117",0,0.0
"항파두리항몽유적지 전시실","제주특별자치도 제주시 애월읍 항파두리로 50",1,0.0
"더플래닛","제주특별자치도 서귀포시 색달동 2558",122,3.5
"그림포레스트","제주특별자치도 서귀포시 중문관광로110번길 32",24,3.2
"ICC제주국제컨벤션센터","제주특별자치도 서귀포시 중문관광로 224",100,2.0
"제주국제평화센터","제주특별자치도 서귀포시 중문관광로 227-24",17,5.0
"제주국제평화센터 제주 아세안홀","제주특별자치도 서귀포시 중문관광로 227-24",0,0.0
"이담갤러리","제주특별자치도 제주시 애월읍 중산간서로 6609-1",0,0.0
"사진놀이터","제주특별자치도 제주시 애월읍 평화로 2835",166,3.7
"노형수퍼마켙","제주특별자치도 제주시 노형로 89",616,3.6
"서귀포천문과학문화관","제주특별자치도 서귀포시 1100로 506-1",28,4.5
"육필문학관 제주","제주특별자치도 제주시 1100로 3178",0,0.0
"갤러리 제주","제주특별자치도 제주시 중앙로 322",0,4.0
"설문대여성문화센터 제주여성역사문화전시관","제주특별자치도 제주시 선덕로8길 12",0,0.0
"스마트그리드와 4차산업혁명 비전홀","제주특별자치도 제주시 문연로 36 1층",0,0.0
"GEPS라운지","제주특별자치도 서귀포시 서호중앙로 63 L층",0,5.0
"제주문학관","제주특별자치도 제주시 연북로 339",7,4.0
"아라리오뮤지엄 동문모텔1","제주특별자치도 제주시 산지로 37-5",13,3.2
"아라리오뮤지엄 동문모텔2","제주특별자치도 제주시 산지로 23",8,3.0
"아트스페이스빈공간","제주특별자치도 제주시 관덕로3길 15 1층",5,4.0
"스튜디오126","제주특별자치도 제주시 관덕로 14-4",3,5.0
"에디션드제주","제주특별자치도 제주시 관덕로4길 6",0,0.0
"갤러리레미콘","제주특별자치도 제주시 산지로 31",0,5.0
