num,id,store,business,location,x,y,url
1,316685560,인연게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 한장중길 4,126.1647511,33.29050182,http://place.map.kakao.com/316685560
2,55932349,별아래게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 한장중길 14,126.1656323,33.29017234,http://place.map.kakao.com/55932349
3,1380861653,제주역게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 노을해안로 1171,126.1659095,33.3084261,http://place.map.kakao.com/1380861653
4,1133434175,언니네시골집,게스트하우스,제주특별자치도 제주시 한경면 용수3길 38,126.1658025,33.3246252,http://place.map.kakao.com/1133434175
5,1820720717,스테이스며들다,게스트하우스,제주특별자치도 제주시 한경면 용수2길 24-4,126.1689333,33.32290431,http://place.map.kakao.com/1820720717
6,828097832,하도올레 6호점,게스트하우스,제주특별자치도 제주시 한경면 용수3길 37-4,126.1657079,33.32418279,http://place.map.kakao.com/828097832
7,1362623255,두바퀴게스트하우스&펜션,게스트하우스,제주특별자치도 서귀포시 대정읍 도원로 89,126.1795647,33.2789302,http://place.map.kakao.com/1362623255
8,376891765,공유게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 도원로 20,126.1724685,33.2765354,http://place.map.kakao.com/376891765
9,765153519,스테이 고산,게스트하우스,제주특별자치도 제주시 한경면 고산로8길 4-1,126.1789484,33.30714072,http://place.map.kakao.com/765153519
10,26585512,우리집게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 고산로 29,126.1793705,33.30380219,http://place.map.kakao.com/26585512
11,1474859232,선셋게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 용고로 230,126.1772073,33.31280745,http://place.map.kakao.com/1474859232
12,18421107,뿌리게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 용수1길 3,126.1777742,33.32059376,http://place.map.kakao.com/18421107
13,1690548978,이안게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 용수길 119-5,126.1706253,33.329078,http://place.map.kakao.com/1690548978
14,1867856948,제주까망하우스,게스트하우스,제주특별자치도 제주시 한경면 주전길 30-26,126.1788226,33.33979739,http://place.map.kakao.com/1867856948
15,27193699,한그루게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 주전길 92-54,126.1714949,33.33728197,http://place.map.kakao.com/27193699
16,794733878,제주와서,게스트하우스,제주특별자치도 제주시 한경면 용당2길 17,126.1798236,33.33293298,http://place.map.kakao.com/794733878
17,14615000,일사칠사,게스트하우스,제주특별자치도 제주시 한경면 용당길 51,126.1766977,33.3327437,http://place.map.kakao.com/14615000
18,411650383,하바나블루스,게스트하우스,제주특별자치도 제주시 한경면 한경해안로 474-26,126.1731191,33.34045197,http://place.map.kakao.com/411650383
19,1366027199,소흔하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 무릉중앙로182번길 13,126.1887569,33.25947626,http://place.map.kakao.com/1366027199
20,933100322,오소소게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 비자낭로 23,126.1839489,33.28534238,http://place.map.kakao.com/933100322
21,25047410,호호게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 고산남4길 28,126.1877349,33.29984144,http://place.map.kakao.com/25047410
22,1687266205,엉알스테이,게스트하우스,제주특별자치도 제주시 한경면 고조로 24,126.1842532,33.30432121,http://place.map.kakao.com/1687266205
23,25049104,단빌리지 게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 고락로 100,126.1899684,33.30213706,http://place.map.kakao.com/25049104
24,17748371,빨간풍선,게스트하우스,제주특별자치도 제주시 한경면 고산로4길 49-7,126.1840005,33.30701352,http://place.map.kakao.com/17748371
25,49946395,여행자의기록,게스트하우스,제주특별자치도 제주시 한경면 일주서로 4059,126.1810017,33.32870237,http://place.map.kakao.com/49946395
