num,id,store,business,location,x,y,url
1,8748623,고산의원,병원,제주특별자치도 제주시 한경면 고산로 8,126.179816,33.3016413,http://place.map.kakao.com/8748623
2,8177266,고산경희한의원,병원,제주특별자치도 제주시 한경면 고산로 15,126.1794136,33.30241041,http://place.map.kakao.com/8177266
3,10165506,고산치과,병원,제주특별자치도 제주시 한경면 고산로 8,126.1798106,33.30163496,http://place.map.kakao.com/10165506
4,8748529,고산사랑의원,병원,제주특별자치도 제주시 한경면 고산로 15,126.1793878,33.30242106,http://place.map.kakao.com/8748529
5,8646184,한경의원,병원,제주특별자치도 제주시 한경면 두신로 75,126.1828061,33.34984935,http://place.map.kakao.com/8646184
6,19883168,경희행복한의원,병원,제주특별자치도 제주시 한경면 두신로 79,126.1829926,33.35012827,http://place.map.kakao.com/19883168
7,1468156660,썬플라워의원,병원,제주특별자치도 제주시 한림읍 금능남로 127,126.2410257,33.37851443,http://place.map.kakao.com/1468156660
8,16261337,포도나무치과의원,병원,제주특별자치도 서귀포시 대정읍 신영로 75,126.250818,33.22099902,http://place.map.kakao.com/16261337
9,10163715,고은의원,병원,제주특별자치도 서귀포시 대정읍 상모로 323,126.2549879,33.22209518,http://place.map.kakao.com/10163715
10,8292886,대정의원,병원,제주특별자치도 서귀포시 대정읍 하모상가로 46,126.2537474,33.22164775,http://place.map.kakao.com/8292886
11,8161418,강문보내과의원,병원,제주특별자치도 서귀포시 대정읍 하모상가로 27,126.2517155,33.22166801,http://place.map.kakao.com/8161418
12,358263893,서울삼성재활의학과의원,병원,제주특별자치도 서귀포시 대정읍 하모상가로 49,126.2539751,33.22212517,http://place.map.kakao.com/358263893
13,8999850,모슬포한의원,병원,제주특별자치도 서귀포시 대정읍 신영로94번길 2,126.2528728,33.22054975,http://place.map.kakao.com/8999850
14,1912082690,허미숙한의원,병원,제주특별자치도 서귀포시 대정읍 하모중앙로 48,126.252067,33.22397465,http://place.map.kakao.com/1912082690
15,9996704,중앙의원,병원,제주특별자치도 서귀포시 대정읍 상모로 313,126.2558724,33.22253324,http://place.map.kakao.com/9996704
16,9394926,이승훈 치과의원,병원,제주특별자치도 서귀포시 대정읍 하모상가로 46,126.2537255,33.22170172,http://place.map.kakao.com/9394926
17,25807329,대정연합의원,병원,제주특별자치도 서귀포시 대정읍 하모상가로 46,126.2536963,33.22160056,http://place.map.kakao.com/25807329
18,1083707265,하나신통의원,병원,제주특별자치도 서귀포시 대정읍 신영로 112-1,126.2543167,33.22180985,http://place.map.kakao.com/1083707265
19,877688951,강남정형외과의원,병원,제주특별자치도 서귀포시 대정읍 신영로 75,126.2509059,33.22087603,http://place.map.kakao.com/877688951
