num,id,store,business,address,x,y,url
1,27560257,리벤시아풀빌라호텔,호텔,제주특별자치도 제주시 한림읍 한림로 33,126.2184593,33.37723118,http://place.map.kakao.com/27560257
2,1918540062,이큐스테이,호텔,제주특별자치도 제주시 한림읍 금능남1길 6-1,126.2299083,33.38526377,http://place.map.kakao.com/1918540062
3,201873249,호텔홀라인 제주협재점,호텔,제주특별자치도 제주시 한림읍 한림로 197,126.2288927,33.38647371,http://place.map.kakao.com/201873249
4,1741076556,호텔52,호텔,제주특별자치도 서귀포시 대정읍 신영로36번길 35,126.247073,33.21989087,http://place.map.kakao.com/1741076556
5,27294594,라온호텔&리조트,호텔,제주특별자치도 제주시 한림읍 금능남로 127,126.2410955,33.37851576,http://place.map.kakao.com/27294594
6,1725185687,블루스프링부띠끄호텔,호텔,제주특별자치도 제주시 한림읍 한림로 330,126.2402536,33.3929117,http://place.map.kakao.com/1725185687
7,649389465,르메인호텔,호텔,제주특별자치도 제주시 한림읍 한림로 392,126.2444222,33.39707184,http://place.map.kakao.com/649389465
8,809042780,아길라호텔,호텔,제주특별자치도 제주시 한림읍 옹포2길 10,126.2493954,33.39971933,http://place.map.kakao.com/809042780
9,1938973523,모슬포호텔 1동,호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11,126.2509272,33.21775747,http://place.map.kakao.com/1938973523
10,1828110170,드림제주호텔,호텔,제주특별자치도 서귀포시 대정읍 하모항구로6번길 5,126.2515459,33.21664319,http://place.map.kakao.com/1828110170
11,1308144764,모슬포호텔 3동,호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,126.250537,33.21772627,http://place.map.kakao.com/1308144764
12,26865974,SH써니호텔,호텔,제주특별자치도 서귀포시 대정읍 신영로 87-1,126.2523177,33.22074477,http://place.map.kakao.com/26865974
13,27317836,베니키아홈더제주리조트,호텔,제주특별자치도 제주시 한림읍 협재로 226,126.2511827,33.37830925,http://place.map.kakao.com/27317836
14,1822245656,하이제주호텔,호텔,제주특별자치도 제주시 한림읍 일주서로 5125,126.253419,33.39176724,http://place.map.kakao.com/1822245656
15,27316962,제주 자몽호텔,호텔,제주특별자치도 제주시 한림읍 한림해안로 136,126.261338,33.41488629,http://place.map.kakao.com/27316962
16,435060476,더퍼스트호텔,호텔,제주특별자치도 제주시 한림읍 한림로 695,126.2647389,33.41675475,http://place.map.kakao.com/435060476
17,18984706,썬하우스,호텔,제주특별자치도 제주시 한림읍 일주서로 5556,126.278443,33.42314633,http://place.map.kakao.com/18984706
18,1525358705,스카이호텔,호텔,제주특별자치도 제주시 한림읍 한림로 917,126.2761928,33.43284961,http://place.map.kakao.com/1525358705
19,384009875,휴식,호텔,제주특별자치도 제주시 한림읍 귀덕4길 9-3,126.2812311,33.43761675,http://place.map.kakao.com/384009875
20,1710816172,트로피컬하이드어웨이,호텔,제주특별자치도 서귀포시 대정읍 형제해안로 284,126.2912722,33.2092337,http://place.map.kakao.com/1710816172
21,25611491,제주항공우주호텔,호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,126.2947102,33.30253135,http://place.map.kakao.com/25611491
22,21763648,담모라호텔앤리조트,호텔,제주특별자치도 서귀포시 안덕면 일주서로 1975-11,126.3060327,33.24972016,http://place.map.kakao.com/21763648
23,1540900019,호텔하루시다,호텔,제주특별자치도 서귀포시 안덕면 사계로114번길 130,126.30874,33.24945393,http://place.map.kakao.com/1540900019
