"name","address","review","score"
"리벤시아풀빌라호텔","제주특별자치도 제주시 한림읍 한림로 33",25,3.8
"이큐스테이","제주특별자치도 제주시 한림읍 금능남1길 6-1",12,2.7
"호텔홀라인 제주협재점","제주특별자치도 제주시 한림읍 한림로 197",8,5.0
"호텔52","제주특별자치도 서귀포시 대정읍 신영로36번길 35",7,3.7
"라온호텔&리조트","제주특별자치도 제주시 한림읍 금능남로 127",10,3.3
"블루스프링부띠끄호텔","제주특별자치도 제주시 한림읍 한림로 330",105,2.8
"르메인호텔","제주특별자치도 제주시 한림읍 한림로 392 선유빌딩 1층",25,4.1
"아길라호텔","제주특별자치도 제주시 한림읍 옹포2길 10",14,3.4
"모슬포호텔 1동","제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11",7,4.4
"드림제주호텔","제주특별자치도 서귀포시 대정읍 하모항구로6번길 5",1,3.7
"모슬포호텔 3동","제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15",2,3.9
"SH써니호텔","제주특별자치도 서귀포시 대정읍 신영로 87-1",0,4.0
"베니키아홈더제주리조트","제주특별자치도 제주시 한림읍 협재로 226",24,2.9
"하이제주호텔","제주특별자치도 제주시 한림읍 일주서로 5125",3,3.7
"제주 자몽호텔","제주특별자치도 제주시 한림읍 한림해안로 136",6,3.5
"더퍼스트호텔","제주특별자치도 제주시 한림읍 한림로 695",0,3.5
"썬하우스","제주특별자치도 제주시 한림읍 일주서로 5556",0,0.0
"스카이호텔","제주특별자치도 제주시 한림읍 한림로 917",18,4.2
"스카이호텔","제주특별자치도 제주시 한림읍 한림로 917",18,4.2
"휴식","제주특별자치도 서귀포시 중앙로71번길 17",34,4.0
"트로피컬하이드어웨이","제주특별자치도 서귀포시 대정읍 형제해안로 284",37,4.1
"제주항공우주호텔","제주특별자치도 서귀포시 안덕면 녹차분재로 216",60,4.1
"담모라호텔앤리조트","제주특별자치도 서귀포시 안덕면 일주서로 1975-11",11,3.0
"호텔하루시다","제주특별자치도 서귀포시 안덕면 사계로114번길 130",9,5.0
"제주신화월드 랜딩관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38",303,3.0
"제주신화월드 신화관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38",697,3.4
"제주신화월드 메리어트관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38",340,3.6
"블랙스톤제주 힐하우스호텔","제주특별자치도 제주시 한림읍 한창로 925-122",0,0.0
"힐하우스 호텔 & 스파","제주특별자치도 제주시 한림읍 한창로 925-122",0,0.0
"플레이스","제주특별자치도 서귀포시 성산읍 동류암로 20",389,3.3
"르메인호텔 서귀포","제주특별자치도 서귀포시 안덕면 화순로 119 1층",41,4.7
"씨스테이호텔&스파","제주특별자치도 제주시 애월읍 애월해안로 255",39,2.7
"머큐어앰배서더 제주","제주특별자치도 서귀포시 안덕면 한창로 365",51,3.4
"샐리스 제주","제주특별자치도 제주시 애월읍 고내로 46",46,2.5
"리치호텔","제주특별자치도 제주시 애월읍 고내로13길 100",89,3.8
"스탠포드호텔앤리조트 제주","제주특별자치도 제주시 애월읍 애월해안로 408",3,4.2
"다인오세아노호텔 루프탑ARA","제주특별자치도 제주시 애월읍 애월해안로 394",0,0.0
"탑스텐빌라드애월 제주","제주특별자치도 제주시 애월읍 애월해안로 516-7",13,3.1
"호텔스카브로","제주특별자치도 서귀포시 예래해안로 15",24,4.1
"라림부띠끄호텔","제주특별자치도 서귀포시 안덕면 대평로 39",49,3.5
"베니키아호텔 제주","제주특별자치도 제주시 애월읍 애월해안로 554-6",74,3.6
"애월비치호텔","제주특별자치도 제주시 애월읍 애월해안로 554-10 1층",4,3.8
"씨클리프호텔제주","제주특별자치도 제주시 애월읍 애월해안로 554-8",6,4.8
"코쿤호텔 애월","제주특별자치도 제주시 애월읍 중엄3길 50",7,2.9
"그랜드메르호텔제주","제주특별자치도 서귀포시 논짓물로 45",38,3.3
"포도호텔","제주특별자치도 서귀포시 안덕면 산록남로 863",128,3.4
"루체빌","제주특별자치도 서귀포시 안덕면 산록남로 786",49,4.0
"서귀포호텔","제주특별자치도 서귀포시 상예로 319",7,4.8
"디아넥스호텔","제주특별자치도 서귀포시 안덕면 산록남로762번길 71",73,3.9
"탐라스테이호텔제주","제주특별자치도 제주시 애월읍 애월해안로 881",98,3.1
"호텔시드니","제주특별자치도 제주시 애월읍 애월해안로 945",24,3.6
"제주신라호텔","제주특별자치도 서귀포시 중문관광로72번길 75",969,4.4
"스위트호텔 제주점","제주특별자치도 서귀포시 중문관광로72번길 67",112,3.6
"파르나스호텔 제주","제주특별자치도 서귀포시 중문관광로72번길 100",188,4.3
"블룸호텔","제주특별자치도 서귀포시 중문관광로72번길 53",40,3.9
"호텔더본 제주","제주특별자치도 서귀포시 색달로 18",359,4.2
"히든클리프호텔&네이쳐","제주특별자치도 서귀포시 예래해안로 542",572,3.6
"그랜드조선 제주","제주특별자치도 서귀포시 중문관광로72번길 60",383,2.4
"그랜드조선 힐 스위트","제주특별자치도 서귀포시 중문관광로72번길 60",9,5.0
"더스테이센추리호텔","제주특별자치도 서귀포시 중문관광로72번길 60",9,5.0
"씨에스호텔앤리조트","제주특별자치도 제주시 애월읍 일주서로 7113",32,3.6
"아리아호텔","제주특별자치도 제주시 애월읍 일주서로 7113",32,3.6
"아루미호텔 중문","제주특별자치도 제주시 애월읍 일주서로 7113",32,3.6
"호텔더그랑 중문","제주특별자치도 제주시 애월읍 일주서로 7113",32,3.6
"제이뷰호텔","제주특별자치도 제주시 애월읍 일주서로 7113",32,3.6
"반얀트리카시아 제주(예정)","제주특별자치도 제주시 애월읍 일주서로 7113",32,3.6
"제주부영호텔앤리조트","제주특별자치도 서귀포시 중문관광로 222",218,3.9
"유어스호텔","제주특별자치도 서귀포시 천제연로178번길 21",46,3.9
"호텔 스테이인터뷰 제주","제주특별자치도 서귀포시 중문관광로 288",4,3.7
"베니키아중문호텔","제주특별자치도 서귀포시 천제연로 166",22,4.0
"중문시티호텔","제주특별자치도 서귀포시 중문상로 27",24,3.3
"해리안호텔","제주특별자치도 서귀포시 천제연로 153",7,4.8
"호텔제이힐","제주특별자치도 서귀포시 천제연로188번길 11",4,2.5
"예그린하우스","제주특별자치도 서귀포시 천제연로188번길 15",0,4.2
"바솔트호텔","제주특별자치도 서귀포시 일주서로 809",0,5.0
"그라벨호텔제주","제주특별자치도 제주시 애월읍 광령평화2길 35",233,0.0
"엘렌호텔","제주특별자치도 제주시 일주서로 7316",19,4.4
"오션블루호텔","제주특별자치도 서귀포시 이어도로 67",2,4.1
"파밀리아호텔","제주특별자치도 서귀포시 대포동서로 63-20",9,4.2
"썬라이즈호텔 중문점","제주특별자치도 서귀포시 중문관광로 310",10,3.0
"일레인호텔","제주특별자치도 서귀포시 일주서로 660",29,4.6
"WE호텔","제주특별자치도 서귀포시 1100로 453-95",177,3.6
"한라관광호텔포시즌","제주특별자치도 서귀포시 1100로 453-95",0,0.0
"힐타운호텔","제주특별자치도 제주시 애월읍 광령평화8길 47-7",0,0.0
"캠퍼트리 호텔앤리조트","제주특별자치도 제주시 해안마을서4길 100",155,3.8
"제주해군호텔","제주특별자치도 제주시 해안마을서2길 19",6,5.0
"오로라호텔","제주특별자치도 제주시 논세길 51",25,2.3
"나이스호텔","제주특별자치도 제주시 논세길 96-38",5,0.0
"씨앤호텔","제주특별자치도 제주시 일주서로 7490",15,3.4
"이호MH호텔","제주특별자치도 제주시 일주서로 7490",15,3.4
"라이프리버호텔","제주특별자치도 제주시 현사길 33 1~4층",5,4.9
"제주샹그릴라호텔앤리조트","제주특별자치도 제주시 해안마을북길 14-6",42,3.6
"호텔펄리","제주특별자치도 제주시 노형로 79",6,4.2
"오션패밀리호텔","제주특별자치도 제주시 일주서로 7531",12,3.6
"오드리인호텔","제주특별자치도 제주시 서해안로 100",31,3.4
"호텔펄리플러스","제주특별자치도 제주시 도두봉2길 2",5,3.9
"베드라디오 도두봉","제주특별자치도 제주시 서해안로 204",22,4.6
"제주아일랜드","제주특별자치도 서귀포시 태평로431번길 3",110,3.4
"레슬리호텔","제주특별자치도 제주시 광평길 3",10,4.5
"에스호텔","제주특별자치도 제주시 오일장중길 26",10,2.5
"토스카나호텔","제주특별자치도 서귀포시 용흥로66번길 158-7",255,4.0
"엠버퓨어힐 호텔&리조트","제주특별자치도 제주시 1100로 2671-30",19,0.0
"썬랜드호텔","제주특별자치도 제주시 신광로 92",10,3.9
"라움호텔","제주특별자치도 제주시 신광로10길 1",3,1.3
"뉴아일랜드관광호텔","제주특별자치도 제주시 연동6길 17",6,2.0
"그랜드하얏트제주","제주특별자치도 제주시 노연로 12",1,178.0
"베스트웨스턴 제주호텔","제주특별자치도 제주시 도령로 27",228,2.9
"호텔위드제주","제주특별자치도 제주시 노연로 34",110,3.1
"위드스테이호텔","제주특별자치도 제주시 노연로 34",41,3.4
"뉴제주호텔","제주특별자치도 제주시 원노형6길 2",41,2.9
"엠버씨티호텔","제주특별자치도 제주시 노연로 13",15,2.5
"위드시티호텔","제주특별자치도 제주시 노연로 34",6,2.0
"엠버호텔 센트럴","제주특별자치도 제주시 노연로 24",16,2.5
"포시즌호텔","제주특별자치도 제주시 원노형3길 19",13,2.0
"위너스호텔","제주특별자치도 제주시 원노형3길 29",0,4.0
"와싱톤호텔","제주특별자치도 제주시 도령로 25",0,0.0
"메종글래드제주","제주특별자치도 제주시 노연로 80",388,3.1
"호텔레오","제주특별자치도 제주시 삼무로 14",83,4.5
"엠버호텔 제주","제주특별자치도 제주시 삼무로 12",33,3.8
"아시아호텔","제주특별자치도 제주시 노연로 53",58,3.5
"제주센트럴시티호텔","제주특별자치도 제주시 노연로 66",75,3.1
"어반스테이 제주연동","제주특별자치도 제주시 연동6길 5",39,4.1
"해마호텔","제주특별자치도 제주시 삼무로 28",15,3.7
"세종호텔","제주특별자치도 제주시 신광로 74",2,2.6
"뉴맨하탄관광호텔","제주특별자치도 제주시 도령로 66",3,1.0
"케이관광호텔","제주특별자치도 제주시 연동3길 10",2,0.0
"금호훼밀리호텔","제주특별자치도 제주시 제원1길 9 1~11층",2,2.8
"힐스테이트제주","제주특별자치도 제주시 연동6길 5",0,5.0
"국제호텔","제주특별자치도 제주시 연동1길 8",2,0.0
"귀빈호텔","제주특별자치도 제주시 제원1길 20",0,0.0
"롯데시티호텔 제주","제주특별자치도 제주시 도령로 83",290,4.3
"삼해인관광호텔","제주특별자치도 제주시 도령로 108",10,3.3
"호텔제이엠","제주특별자치도 제주시 삼무로1길 10-7",4,0.0
"위플스테이","제주특별자치도 제주시 도령로 102",0,5.0
"뉴월드호텔","제주특별자치도 제주시 도령로 96",1,0.0
"디셈버호텔","제주특별자치도 제주시 삼무로1길 15",1,0.0
"퓨어스테이오션","제주특별자치도 제주시 서해안로 346-9 1층",13,3.0
"퓨어스테이","제주특별자치도 제주시 신대로 68",6,3.6
"퓨어스테이","제주특별자치도 제주시 신대로 68",6,3.6
"팜파스호텔 제주","제주특별자치도 제주시 서해안로 368-3",108,3.7
"몽듀호텔","제주특별자치도 제주시 서해안로 382",45,4.2
"메르블루호텔","제주특별자치도 제주시 서해안로 368 1~4층",4,3.6
"글래즈하임호텔","제주특별자치도 서귀포시 이어도로 777",30,4.5
"호텔리안","제주특별자치도 서귀포시 이어도로 777",1,0.0
"아이진호텔","제주특별자치도 제주시 신대로22길 4",46,4.0
"펄호텔 제주","제주특별자치도 제주시 신대로20길 49",22,2.6
"호텔더원","제주특별자치도 제주시 사장3길 33",6,2.9
"노블레스호텔","제주특별자치도 제주시 연동8길 31",4,3.0
"선스테이호텔","제주특별자치도 제주시 신광로 93",0,5.0
"메이저호텔","제주특별자치도 제주시 사장3길 36",7,3.0
"뉴크라운호텔","제주특별자치도 제주시 신광로 87",1,5.0
"한림호텔","제주특별자치도 제주시 연동10길 20",0,0.0
"진호캐스텔","제주특별자치도 제주시 사장길 37",1,0.0
"제주코아호텔","제주특별자치도 제주시 신대로 148",0,5.0
"씨티호텔","제주특별자치도 제주시 중앙로 304",180,3.2
"신라스테이 제주","제주특별자치도 제주시 노연로 100 1층",323,3.2
"호텔에어시티제주","제주특별자치도 제주시 삼무로 56",42,3.1
