num,store,address,review,score,
1,용당리새마을작은도서관,제주특별자치도 제주시 한경면 일주서로 4117,0,0,
2,해맑음작은도서관,제주특별자치도 제주시 한경면 일주서로 4275,0,5,
3,한경도서관,제주특별자치도 제주시 한경면 신한로 13,9,5,
4,두모리새마을작은도서관,제주특별자치도 제주시 한경면 두신로 125,0,0,
5,신도1리새마을작은도서관,제주특별자치도 서귀포시 대정읍 도원로 217 신도1리사무소,0,0,
6,판포리새마을작은도서관,제주특별자치도 제주시 한경면 판포4길 39,0,0,
7,월령리새마을작은도서관,제주특별자치도 제주시 한림읍 월령1길 11,0,0,
8,조수1리새마을작은도서관,제주특별자치도 제주시 한경면 홍수암로 565,0,0,
9,금능꿈차롱작은도서관,제주특별자치도 제주시 한림읍 금능길 39,2,3.3,
10,비양리새마을작은도서관,제주특별자치도 제주시 한림읍 비양도길 23,0,0,
11,무릉2리새마을작은도서관,제주특별자치도 서귀포시 대정읍 암반수마농로 538-2 무릉2리마을회관,0,0,
12,송악도서관,제주특별자치도 서귀포시 대정읍 동일하모로149번길 12,4,5,
13,청수리새마을작은도서관,제주특별자치도 제주시 한경면 대한로 1036 노인회관 2층,0,0,
14,한라새마을문고,제주특별자치도 서귀포시 대정읍 상모로 316,0,0,
15,상모3리새마을작은도서관,제주특별자치도 서귀포시 대정읍 영서중로 45-4,0,0,
16,상모서상동새마을작은도서관,제주특별자치도 서귀포시 대정읍 상모로288번길 18,0,0,
17,하모2리다목적센터,제주특별자치도 서귀포시 대정읍 신영로94번길 3-6,0,0,
18,월림리새마을작은도서관,제주특별자치도 제주시 한림읍 월림7길 2,0,0,
19,옹포리새마을작은도서관,제주특별자치도 제주시 한림읍 월계로 21,0,0,
20,한림항새마을작은도서관,제주특별자치도 제주시 한림읍 한림해안로 81,6,0,
21,상모2리새마을문고,제주특별자치도 서귀포시 대정읍 상모로269번길 14,0,0,
22,상모1리새마을작은도서관,제주특별자치도 서귀포시 대정읍 상모인성로 18,0,0,
23,명월리새마을작은도서관,제주특별자치도 제주시 한림읍 명월로 71 2층,0,0,
24,한수풀도서관,제주특별자치도 제주시 한림읍 한림상로 240-11,10,5,
25,한수리새마을작은도서관,제주특별자치도 제주시 한림읍 한림로 739,0,0,
26,가파리새마을작은도서관,제주특별자치도 서귀포시 대정읍 가파로 73 가파리마을회관,0,0,
27,상명리새마을작은도서관,제주특별자치도 제주시 한림읍 상명1길 16-1,0,0,
28,강구리새마을작은도서관,제주특별자치도 제주시 한림읍 강구로 92,0,0,
29,어린이도서관 꿈틀책방,제주특별자치도 제주시 한림읍 명랑남동길 25,0,0,
30,대림리새마을작은도서관,제주특별자치도 제주시 한림읍 한수풀로 180 대림리사무소 2층,0,0,
31,사계리꿈드림문화숲,제주특별자치도 서귀포시 안덕면 사계중앙로 33,0,0,
32,사계리새마을작은도서관,제주특별자치도 서귀포시 안덕면 사계중앙로 3 사계리사무소 2층,0,0,
33,사계리새마을문고,제주특별자치도 서귀포시 안덕면 사계중앙로18번길 5,0,0,
34,금악리새마을작은도서관,제주특별자치도 제주시 한림읍 금악로 2,0,0,
35,귀덕3리새마을작은도서관,제주특별자치도 제주시 한림읍 한수풀로 337,0,0,
36,귀덕1리새마을문고,제주특별자치도 제주시 한림읍 귀덕로 97-2,0,0,
37,귀덕1리새마을문고,제주특별자치도 제주시 한림읍 귀덕14길 15,0,0,
38,덕수새마을문고,제주특별자치도 서귀포시 안덕면 덕수회관로 98,0,0,
39,덕수리새마을작은도서관,제주특별자치도 서귀포시 안덕면 덕수회관로 98 1층,0,0,
40,서광서리새마을작은도서관,제주특별자치도 서귀포시 안덕면 녹차분재로59번길 42 서광서리마을회관2층,0,0,
41,서광서리새마을작은도서관,제주특별자치도 서귀포시 안덕면 서광남로 144-5,0,0,
42,봉성새별작은도서관,제주특별자치도 제주시 애월읍 봉성로 75 2층,0,0,
43,이음작은도서관,제주특별자치도 제주시 애월읍 납읍동1길 12-1,0,0,
44,안덕산방도서관,제주특별자치도 서귀포시 안덕면 화순서서로 44,6,4.4,
45,서광이비치는새마을작은도서관,제주특별자치도 서귀포시 안덕면 서광동로 17 서광동리복지회관2층,0,0,
46,동광해바른작은도서관,제주특별자치도 서귀포시 안덕면 동광로100번길 12,0,0,
47,납읍리새마을작은도서관,제주특별자치도 제주시 애월읍 납읍로2길 3,0,0,
48,애월도서관,제주특별자치도 제주시 애월읍 일주서로 6339,16,4.1,
49,상가리새마을작은도서관,제주특별자치도 제주시 애월읍 상가중길 23,0,0,
50,하가리새마을작은도서관,제주특별자치도 제주시 애월읍 하가로 143,0,0,
51,감산리새마을작은도서관,제주특별자치도 서귀포시 안덕면 감산중로 32,0,0,
52,대평리새마을작은도서관,제주특별자치도 서귀포시 안덕면 대평감산로 43 대평리복지회관 2층,0,0,
53,창천리새마을문고,제주특별자치도 서귀포시 안덕면 창천중앙로 35,0,0,
54,상창바람소리작은도서관,제주특별자치도 서귀포시 안덕면 한창로 102,0,0,
