num,id,store,business,location,x,y,url
1,8096619,초콜릿박물관,문화시설,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,126.2299707,33.2570371,http://place.map.kakao.com/8096619
2,12703503,제주옹기박물관,문화시설,제주특별자치도 서귀포시 대정읍 무영로254번길 3-1,126.2232684,33.28291835,http://place.map.kakao.com/12703503
3,997391728,조수리박물관,문화시설,제주특별자치도 제주시 한경면 용금로 449,126.227884,33.3358187,http://place.map.kakao.com/997391728
4,342864258,알프스얼음보석궁전 테마파크뮤지엄,문화시설,제주특별자치도 제주시 한경면 연명로 147,126.2491017,33.29124924,http://place.map.kakao.com/342864258
5,9440927,가마오름,관광명소,,126.2470142,33.30554955,http://place.map.kakao.com/9440927
6,17560058,제주돌마을공원 수석박물관,문화시설,제주특별자치도 제주시 한림읍 금능남로 421,126.253709,33.35378309,http://place.map.kakao.com/17560058
7,9453377,해외개척자야외박물관,문화시설,제주특별자치도 서귀포시 대정읍 마라로 113,126.2673387,33.11415411,http://place.map.kakao.com/9453377
8,11817301,봉황솟대박물관,문화시설,제주특별자치도 제주시 한경면 명이2길 66,126.2624909,33.31575925,http://place.map.kakao.com/11817301
9,8318161,방림원,관광명소,제주특별자치도 제주시 한경면 용금로 864,126.2685278,33.33714664,http://place.map.kakao.com/8318161
10,8064310,제주 유리의성,관광명소,제주특별자치도 제주시 한경면 녹차분재로 462,126.2736598,33.31464215,http://place.map.kakao.com/8064310
11,26847782,이랜드뮤지엄,문화시설,제주특별자치도 제주시 한림읍 한림해안로 530,126.2743935,33.43585671,http://place.map.kakao.com/26847782
12,11332661,오설록티뮤지엄,문화시설,제주특별자치도 서귀포시 안덕면 신화역사로 15,126.2894893,33.30591329,http://place.map.kakao.com/11332661
13,146619595,사계 발자국화석 발견지,문화시설,제주특별자치도 서귀포시 대정읍 형제해안로 192,126.2931375,33.21735887,http://place.map.kakao.com/146619595
14,19585161,제주항공우주박물관,문화시설,제주특별자치도 서귀포시 안덕면 녹차분재로 218,126.2996871,33.3042428,http://place.map.kakao.com/19585161
15,495587934,바이나흐튼 크리스마스박물관,문화시설,제주특별자치도 서귀포시 안덕면 평화로 654,126.3277987,33.2913121,http://place.map.kakao.com/495587934
16,1266094917,아니메피규어박물관,문화시설,제주특별자치도 서귀포시 안덕면 중산간서로 1878,126.3224262,33.29010903,http://place.map.kakao.com/1266094917
17,8171313,건강과성박물관,문화시설,제주특별자치도 서귀포시 안덕면 일주서로 1611,126.346663,33.25489914,http://place.map.kakao.com/8171313
18,7952882,세계자동차&피아노박물관,문화시설,제주특별자치도 서귀포시 안덕면 중산간서로 1610,126.3498145,33.28375831,http://place.map.kakao.com/7952882
19,26608807,헬로키티아일랜드,문화시설,제주특별자치도 서귀포시 안덕면 한창로 340,126.3520703,33.28995334,http://place.map.kakao.com/26608807
20,1608663587,피규어뮤지엄제주,문화시설,제주특별자치도 서귀포시 안덕면 한창로 243,126.3553565,33.28190641,http://place.map.kakao.com/1608663587
21,17408270,그리스신화박물관,문화시설,제주특별자치도 제주시 한림읍 광산로 942,126.3571353,33.34861302,http://place.map.kakao.com/17408270
22,10799994,제주유리박물관,문화시설,제주특별자치도 서귀포시 중산간서로 1403,126.3701579,33.27854172,http://place.map.kakao.com/10799994
23,27037109,수풍석박물관,문화시설,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,126.3898071,33.29993226,http://place.map.kakao.com/27037109
24,27376703,비오토피아 수풍석박물관,문화시설,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,126.3897985,33.29992861,http://place.map.kakao.com/27376703
25,27037149,두손지중 박물관,문화시설,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,126.3906091,33.29698972,http://place.map.kakao.com/27037149
26,18539729,본태박물관,문화시설,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,126.3924797,33.3037709,http://place.map.kakao.com/18539729
27,11950714,테디베어하우스 테지움 제주점,관광명소,제주특별자치도 제주시 애월읍 평화로 2159,126.3936133,33.41225213,http://place.map.kakao.com/11950714
28,17583646,박물관은살아있다 제주중문점,문화시설,제주특별자치도 서귀포시 중문관광로 42,126.408741,33.25492848,http://place.map.kakao.com/17583646
29,27600182,초콜릿랜드,문화시설,제주특별자치도 서귀포시 중문관광로110번길 15,126.4134525,33.24940041,http://place.map.kakao.com/27600182
30,8559375,테디베어뮤지엄 제주점,문화시설,제주특별자치도 서귀포시 중문관광로110번길 31,126.4121631,33.25029595,http://place.map.kakao.com/8559375
31,1409692197,리틀프린스뮤지엄,문화시설,제주특별자치도 서귀포시 중문관광로110번길 15,126.4129695,33.25005992,http://place.map.kakao.com/1409692197
32,13317817,아일랜드조이,,제주특별자치도 서귀포시 중문관광로110번길 32,126.4129333,33.25129137,http://place.map.kakao.com/13317817
33,7991509,아프리카박물관,문화시설,제주특별자치도 서귀포시 이어도로 49,126.4293493,33.23974044,http://place.map.kakao.com/7991509
34,8520885,조안베어뮤지엄,문화시설,제주특별자치도 서귀포시 대포로 113,126.4340627,33.24025246,http://place.map.kakao.com/8520885
35,9401924,제주공룡랜드 (휴업중),관광명소,제주특별자치도 제주시 애월읍 광령평화2길 1,126.4338709,33.44125472,http://place.map.kakao.com/9401924
