"name","address","review","score"
"초콜릿박물관","제주특별자치도 서귀포시 대정읍 일주서로3000번길 144 대정농공단지 내",34,1.9
"제주옹기박물관","제주특별자치도 서귀포시 대정읍 무영로254번길 3-1",0,0.0
"조수리박물관","제주특별자치도 제주시 한경면 용금로 449",0,0.0
"알프스얼음보석궁전 테마파크뮤지엄","제주특별자치도 제주시 한경면 연명로 147",0,1.0
"가마오름","제주특별자치도 제주시 한경면 청수리 1202-1",0,0.0
"제주돌마을공원 수석박물관","제주특별자치도 제주시 한림읍 금능남로 421",0,0.0
"해외개척자야외박물관","제주특별자치도 서귀포시 대정읍 마라로 113",0,0.0
"봉황솟대박물관","제주특별자치도 제주시 한경면 명이2길 66",0,0.0
"방림원","제주특별자치도 제주시 한경면 용금로 864",54,4.1
"제주 유리의성","제주특별자치도 제주시 한경면 녹차분재로 462",98,3.3
"오설록티뮤지엄","제주특별자치도 서귀포시 안덕면 신화역사로 15",1,791.0
"사계 발자국화석 발견지","제주특별자치도 서귀포시 대정읍 형제해안로 192",2,5.0
"제주항공우주박물관","제주특별자치도 서귀포시 안덕면 녹차분재로 218",371,4.1
"바이나흐튼 크리스마스박물관","제주특별자치도 서귀포시 안덕면 평화로 654",263,4.1
"아니메피규어박물관","제주특별자치도 서귀포시 안덕면 중산간서로 1878 2층",29,5.0
"건강과성박물관","제주특별자치도 서귀포시 안덕면 일주서로 1611",34,3.1
"세계자동차&피아노박물관","제주특별자치도 서귀포시 안덕면 중산간서로 1610",284,4.0
"헬로키티아일랜드","제주특별자치도 서귀포시 안덕면 한창로 340",232,3.7
"피규어뮤지엄제주","제주특별자치도 서귀포시 안덕면 한창로 243",198,4.6
"수풍석박물관","제주특별자치도 서귀포시 안덕면 산록남로762번길 79",14,1.7
"비오토피아 수풍석박물관","제주특별자치도 서귀포시 안덕면 산록남로762번길 79",8,2.0
"두손지중 박물관","제주특별자치도 서귀포시 안덕면 산록남로762번길 79",0,1.0
"본태박물관","제주특별자치도 서귀포시 안덕면 산록남로762번길 69",209,3.2
"테디베어하우스 테지움 제주점","제주특별자치도 제주시 애월읍 평화로 2159",40,3.6
"박물관은살아있다 제주중문점","제주특별자치도 서귀포시 중문관광로 42",243,3.7
"초콜릿랜드","제주특별자치도 서귀포시 중문관광로110번길 15",26,2.6
"테디베어뮤지엄 제주점","제주특별자치도 서귀포시 중문관광로110번길 31",132,3.1
"리틀프린스뮤지엄","제주특별자치도 서귀포시 중문관광로110번길 15",130,0.0
"아일랜드조이","제주특별자치도 서귀포시 중문관광로110번길 32",0,0.0
"조안베어뮤지엄","제주특별자치도 서귀포시 대포로 113",16,4.9
"제주공룡랜드 (휴업중)","제주특별자치도 제주시 애월읍 광령평화2길 1",167,2.1
"제주요도자기문화박물관","제주특별자치도 제주시 애월읍 평화로 2847",1,5.0
"넥슨컴퓨터박물관","제주특별자치도 제주시 노형동 86",132,3.7
"수목원테마파크 아이스뮤지엄","제주특별자치도 제주시 은수길 69",12,1.8
"제주월드컵경기장 세계성문화박물관","제주특별자치도 서귀포시 월드컵로 33",1,2.7
"숨도","제주특별자치도 서귀포시 일주동로 8941",133,4.0
"제주교육박물관","제주특별자치도 제주시 오복4길 25",11,4.7
"제주특별자치도 민속자연사박물관","제주특별자치도 제주시 삼성로 40",91,4.1
"백년초박물관","제주특별자치도 서귀포시 태평로 200",1,3.0
"국립제주박물관","제주특별자치도 제주시 일주동로 17",218,4.4
"세계조가비박물관","제주특별자치도 서귀포시 태평로 284",23,4.0
"천년의미","제주특별자치도 제주시 영평길 274 1층",2,4.0
"감귤박물관","제주특별자치도 서귀포시 효돈순환로 441",83,4.2
"제주돌문화공원 돌박물관야외무대","제주특별자치도 제주시 조천읍 남조로 2023",0,5.0
"제주미니미니랜드","제주특별자치도 제주시 조천읍 비자림로 606",35,2.7
"제주신영영화박물관 (휴관)","제주특별자치도 서귀포시 남원읍 태위로 536",1,2.5
"탐라신들의고향","제주특별자치도 제주시 조천읍 선교로 474",0,0.0
"선녀와나무꾼 테마공원 민속박물관","제주특별자치도 제주시 조천읍 선교로 267",0,0.0
"제주 세계자연유산센터","제주특별자치도 제주시 조천읍 선교로 569-36",47,3.3
"조랑말박물관","제주특별자치도 서귀포시 표선면 녹산로 381-15",1,4.5
"SN박물관","제주특별자치도 제주시 구좌읍 금백조로 930",0,0.0
"메이즈랜드 미로박물관","제주특별자치도 제주시 구좌읍 비자림로 2134-47",1,0.0
"세계술박물관","제주특별자치도 서귀포시 표선면 한마음초등로 431",46,3.7
"대장금미니테마파크","제주특별자치도 서귀포시 표선면 민속해안로 631-34",0,1.0
"제주민속촌","제주특별자치도 서귀포시 표선면 민속해안로 631-34",258,3.4
"화석박물관 (휴관중)","제주특별자치도 서귀포시 표선면 하천로 11",0,0.0
"공룡과동물농장","제주특별자치도 서귀포시 성산읍 난산로 293",6,3.1
"제주해양동물박물관","제주특별자치도 서귀포시 성산읍 서성일로 689-21",85,4.7
"해녀박물관","제주특별자치도 제주시 구좌읍 해녀박물관길 26",99,4.4
"몽유도원 오백년이야기","제주특별자치도 서귀포시 성산읍 난고로 336-20",0,0.0
"제주커피박물관 바움","제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17",78,3.7
