num,id,store,business,location,x,y,url
1,27376542,서쪽하늘,펜션,제주특별자치도 제주시 한경면 한장중길 24-3,126.1661282,33.2892867,http://place.map.kakao.com/27376542
2,163007296,불란디하우스,펜션,제주특별자치도 제주시 한경면 한장서길 48-30,126.16732,33.28654842,http://place.map.kakao.com/163007296
3,53781917,미리내제주,펜션,제주특별자치도 제주시 한경면 고산서3길 124-9,126.1669947,33.29095686,http://place.map.kakao.com/53781917
4,8439578,섬풍경펜션,펜션,제주특별자치도 제주시 한경면 노을해안로 1203-1,126.1684305,33.30709061,http://place.map.kakao.com/8439578
5,1753279750,아리아펜션,펜션,제주특별자치도 제주시 한경면 노을해안로 1174-1,126.1653728,33.30795367,http://place.map.kakao.com/1753279750
6,1213885076,제주늘보의오후,펜션,제주특별자치도 제주시 한경면 한경해안로 176,126.1643645,33.32405295,http://place.map.kakao.com/1213885076
7,136631352,씨사이드뷰펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 190,126.1634729,33.32475019,http://place.map.kakao.com/136631352
8,2091668474,씨사이드뷰2,펜션,제주특별자치도 제주시 한경면 한경해안로 190-1,126.1638804,33.32481784,http://place.map.kakao.com/2091668474
9,27455364,용수보룸,펜션,제주특별자치도 제주시 한경면 용수1길 90-1,126.1688213,33.32203082,http://place.map.kakao.com/27455364
10,1708989491,바다비펜션,펜션,제주특별자치도 제주시 한경면 용수3길 67,126.1637421,33.32535066,http://place.map.kakao.com/1708989491
11,1768479406,아진키즈풀빌라펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 232-25,126.1648514,33.32705672,http://place.map.kakao.com/1768479406
12,2007631768,스테이1미터,펜션,제주특별자치도 제주시 한경면 용수1길 89-15,126.1694159,33.32093846,http://place.map.kakao.com/2007631768
13,1234941103,수리담,펜션,제주특별자치도 제주시 한경면 용수3길 31,126.1665685,33.32447888,http://place.map.kakao.com/1234941103
14,481467770,흰고래숨비,펜션,제주특별자치도 제주시 한경면 용수3길 56-9,126.1645023,33.32626818,http://place.map.kakao.com/481467770
15,655540600,제주낙원,펜션,제주특별자치도 제주시 한경면 한경해안로 194,126.1636369,33.32512635,http://place.map.kakao.com/655540600
16,1796252194,풍차바라기펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 388-45,126.1699815,33.33875408,http://place.map.kakao.com/1796252194
17,24984795,바사팬스파펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 448-6,126.168331,33.34017837,http://place.map.kakao.com/24984795
18,2028360569,서쪽바다뷰뷰,펜션,제주특별자치도 제주시 한경면 한경해안로 438,126.1676162,33.34169907,http://place.map.kakao.com/2028360569
19,2082892247,제주노을보리,펜션,제주특별자치도 제주시 한경면 한경해안로 438,126.1676269,33.34169554,http://place.map.kakao.com/2082892247
20,26908268,라뷰테제주,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 620-2,126.1775642,33.26974139,http://place.map.kakao.com/26908268
21,22251181,제주엔펜션,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 614,126.1778264,33.26958715,http://place.map.kakao.com/22251181
22,934850599,벨루아,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 708,126.1722796,33.27562442,http://place.map.kakao.com/934850599
23,38409401,도구리3083,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 702,126.1726064,33.27488639,http://place.map.kakao.com/38409401
24,240714261,노을과바다,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 638-16,126.1760319,33.27163904,http://place.map.kakao.com/240714261
25,440296788,제주브라이튼,펜션,제주특별자치도 서귀포시 대정읍 도원로3번길 9,126.1711115,33.27747123,http://place.map.kakao.com/440296788
26,800386049,신도리아,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 638-15,126.1760067,33.27193189,http://place.map.kakao.com/800386049
27,2006478491,제주집762,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 762,126.1702892,33.279525,http://place.map.kakao.com/2006478491
28,407471623,방학동펜션,펜션,제주특별자치도 서귀포시 대정읍 도원중로 129-34,126.1781846,33.27912665,http://place.map.kakao.com/407471623
29,1708878430,여행의한조각,펜션,제주특별자치도 서귀포시 대정읍 도원중로 107,126.1763592,33.28102235,http://place.map.kakao.com/1708878430
30,2037831348,수월봉펜션,펜션,제주특별자치도 제주시 한경면 노을해안로 1249-6,126.1732462,33.30504547,http://place.map.kakao.com/2037831348
31,502861989,산수가,펜션,제주특별자치도 제주시 한경면 고산로 39-4,126.1789052,33.30464572,http://place.map.kakao.com/502861989
32,1283849962,용수리머물다,펜션,제주특별자치도 제주시 한경면 한경해안로 61-2,126.1722037,33.31867694,http://place.map.kakao.com/1283849962
33,505836578,제주힐링하우스,펜션,제주특별자치도 제주시 한경면 용수길 104-24,126.1710957,33.32670365,http://place.map.kakao.com/505836578
34,2049583892,제주모모루,펜션,제주특별자치도 제주시 한경면 용수길 128,126.1720526,33.32920383,http://place.map.kakao.com/2049583892
35,26942531,제주본보야지,펜션,제주특별자치도 제주시 한경면 용수길 145,126.1728984,33.33062316,http://place.map.kakao.com/26942531
36,436566298,웨스트힐,펜션,제주특별자치도 제주시 한경면 주전길 56-1,126.1776487,33.33760417,http://place.map.kakao.com/436566298
37,219729089,제주아이펜션,펜션,제주특별자치도 제주시 한경면 용당1길 24,126.1784531,33.33452785,http://place.map.kakao.com/219729089
38,1982984011,제주노을스테이,펜션,제주특별자치도 제주시 한경면 주전길 94-10,126.1747105,33.33481499,http://place.map.kakao.com/1982984011
39,1726321421,모모별장,펜션,제주특별자치도 제주시 한경면 용당1길 42-3,126.1769552,33.33562239,http://place.map.kakao.com/1726321421
40,111908304,제주웨스트,펜션,제주특별자치도 제주시 한경면 주전길 94-31,126.1731975,33.33442987,http://place.map.kakao.com/111908304
41,1493500915,솔레올레,펜션,제주특별자치도 제주시 한경면 주전길 56-1,126.1776399,33.33762575,http://place.map.kakao.com/1493500915
42,2036095331,깊은하루,펜션,제주특별자치도 제주시 한경면 주전길 82,126.1761142,33.33562673,http://place.map.kakao.com/2036095331
43,1862532382,스테이오롯,펜션,제주특별자치도 제주시 한경면 용당길 90-24,126.1708626,33.33248941,http://place.map.kakao.com/1862532382
44,885254634,까사드송송,펜션,제주특별자치도 제주시 한경면 용당1길 42-7,126.1772313,33.33585232,http://place.map.kakao.com/885254634
45,1524009861,라라피포독채펜션,펜션,제주특별자치도 제주시 한경면 주전길 94-12,126.1745568,33.33470939,http://place.map.kakao.com/1524009861
46,44242080,모아니스테이,펜션,제주특별자치도 제주시 한경면 용수5길 4-2,126.1722538,33.3306369,http://place.map.kakao.com/44242080
47,1167961698,제주잇다,펜션,제주특별자치도 제주시 한경면 용수길 149-8,126.1728783,33.33126857,http://place.map.kakao.com/1167961698
48,2032269697,제주섬마리,펜션,제주특별자치도 제주시 한경면 용당1길 29,126.1777994,33.33460106,http://place.map.kakao.com/2032269697
49,1457392086,로맨스파파,펜션,제주특별자치도 제주시 한경면 한경해안로 474-20,126.1721453,33.3402868,http://place.map.kakao.com/1457392086
50,149470822,풍차와노을펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 474-26,126.1730041,33.34057472,http://place.map.kakao.com/149470822
51,1043298538,별빛소랑 제주,펜션,제주특별자치도 제주시 한경면 한경해안로 474-28,126.1732619,33.34034834,http://place.map.kakao.com/1043298538
52,1046454712,시현의풍차펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 496-1,126.1731474,33.3424609,http://place.map.kakao.com/1046454712
53,27512795,바람개비펜션,펜션,제주특별자치도 제주시 한경면 한경해안로 474-28,126.173262,33.34033391,http://place.map.kakao.com/27512795
54,22788291,제이앤클로이,펜션,제주특별자치도 서귀포시 대정읍 무릉중앙로 203,126.1887784,33.25714395,http://place.map.kakao.com/22788291
55,1137796113,행복한집,펜션,제주특별자치도 서귀포시 대정읍 도원남로 48-44,126.1861943,33.27242455,http://place.map.kakao.com/1137796113
56,1648227144,오늘제주펜션,펜션,제주특별자치도 서귀포시 대정읍 서삼중로 249,126.189664,33.27989714,http://place.map.kakao.com/1648227144
57,816095276,고산이랑,펜션,제주특별자치도 제주시 한경면 고산서1길 27-23,126.1800433,33.29754234,http://place.map.kakao.com/816095276
58,17976267,날으는자전거,펜션,제주특별자치도 제주시 한경면 고산로4길 45-2,126.1839195,33.30648645,http://place.map.kakao.com/17976267
59,26884234,고장난벽시계,펜션,제주특별자치도 제주시 한경면 고산로4길 24,126.1818094,33.3052464,http://place.map.kakao.com/26884234
60,582707370,고산별곡,펜션,제주특별자치도 제주시 한경면 고산로2길 6-3,126.1803281,33.3028997,http://place.map.kakao.com/582707370
61,26587835,돌뜨락,펜션,제주특별자치도 제주시 한경면 고산로2길 10,126.1805133,33.30285224,http://place.map.kakao.com/26587835
62,26646896,루체렌트하우스,펜션,제주특별자치도 제주시 한경면 고산남6길 1,126.1894579,33.30207422,http://place.map.kakao.com/26646896
63,118466505,제주자락펜션,펜션,제주특별자치도 제주시 한경면 용고로 260-103,126.1823508,33.31027727,http://place.map.kakao.com/118466505
64,1531502386,오시록펜션,펜션,제주특별자치도 제주시 한경면 일주서로 3960-62,126.1833116,33.31779567,http://place.map.kakao.com/1531502386
65,1114743102,젠틀리조트,펜션,제주특별자치도 제주시 한경면 일주서로 4010-2,126.1805609,33.32392282,http://place.map.kakao.com/1114743102
66,365221358,보롬제주,펜션,제주특별자치도 제주시 한경면 성굴로 35-1,126.1844532,33.33865161,http://place.map.kakao.com/365221358
67,20204838,더프라이빗,펜션,제주특별자치도 제주시 한경면 신창상동길 20-1,126.187906,33.34992969,http://place.map.kakao.com/20204838
68,26601141,애아리,펜션,제주특별자치도 제주시 한경면 신창2길 1,126.1832624,33.34700694,http://place.map.kakao.com/26601141
69,1286394223,신창윤업사,펜션,제주특별자치도 제주시 한경면 두신로 34,126.1828756,33.34608838,http://place.map.kakao.com/1286394223
70,1311999099,펜션2020,펜션,제주특별자치도 제주시 한경면 신창2길 8,126.1835499,33.34658869,http://place.map.kakao.com/1311999099
71,21193311,신창민박,펜션,제주특별자치도 제주시 한경면 신창상서길 15-2,126.1866288,33.34679823,http://place.map.kakao.com/21193311
72,135330801,윈드밀108,펜션,제주특별자치도 제주시 한경면 두모1길 108,126.1819475,33.3561981,http://place.map.kakao.com/135330801
73,820787741,두모리에 리조트,펜션,제주특별자치도 제주시 한경면 두모11길 52-1,126.1830616,33.35746405,http://place.map.kakao.com/820787741
74,27542825,모드락하우스,펜션,제주특별자치도 제주시 한경면 두모11길 27,126.1849598,33.35713393,http://place.map.kakao.com/27542825
75,1474625692,제미바릇펜션,펜션,제주특별자치도 제주시 한경면 두모7길 33-1,126.1829042,33.35498906,http://place.map.kakao.com/1474625692
76,846568588,담하,펜션,제주특별자치도 제주시 한경면 두모7길 17,126.1839961,33.35449495,http://place.map.kakao.com/846568588
77,748366500,두모가,펜션,제주특별자치도 제주시 한경면 두모3길 24-4,126.1831027,33.35260296,http://place.map.kakao.com/748366500
78,186839975,두모옴팡집,펜션,제주특별자치도 제주시 한경면 두모1길 8,126.1826177,33.35069921,http://place.map.kakao.com/186839975
79,1066100950,다다름하우스그린,펜션,제주특별자치도 제주시 한경면 두모1길 14,126.181909,33.35066209,http://place.map.kakao.com/1066100950
80,27417507,제이라움,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 420,126.190432,33.25704563,http://place.map.kakao.com/27417507
81,17519644,노을담은뜨락,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 416,126.1903286,33.25626688,http://place.map.kakao.com/17519644
82,26791621,저스트슬립,펜션,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 158-28,126.1955455,33.25785961,http://place.map.kakao.com/26791621
83,518539940,제주에펜션103,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 342-66,126.1963035,33.25371713,http://place.map.kakao.com/518539940
84,2136045129,소이펜션,펜션,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 187,126.1958871,33.25372526,http://place.map.kakao.com/2136045129
85,1458286386,델루나펜션,펜션,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 158-28,126.1952933,33.25821411,http://place.map.kakao.com/1458286386
86,725958527,드보니펜션,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 342-72,126.1958414,33.25343825,http://place.map.kakao.com/725958527
87,711769762,오들랑키즈펜션,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 342-70,126.1959451,33.25360121,http://place.map.kakao.com/711769762
88,1256472634,제주에머물다펜션,펜션,제주특별자치도 서귀포시 대정읍 일주서로 3301-46,126.1960032,33.26365988,http://place.map.kakao.com/1256472634
89,1046999012,라돌체비타 펜션,펜션,제주특별자치도 서귀포시 대정읍 무릉중앙로 89,126.1952594,33.26612546,http://place.map.kakao.com/1046999012
90,778491063,두스몽,펜션,제주특별자치도 서귀포시 대정읍 무릉전지로 74,126.1962791,33.26915784,http://place.map.kakao.com/778491063
91,1463873710,로브제8,펜션,제주특별자치도 서귀포시 대정읍 무릉사장로 8,126.1977731,33.26774656,http://place.map.kakao.com/1463873710
92,67893764,서귀포 놀3320펜션,펜션,제주특별자치도 서귀포시 대정읍 무릉전지로35번길 26-7,126.1970004,33.27150035,http://place.map.kakao.com/67893764
93,1459777075,스테이오몽,펜션,제주특별자치도 제주시 한경면 고산남8길 11,126.1926749,33.30169305,http://place.map.kakao.com/1459777075
94,1887263394,제주마린리조트,펜션,제주특별자치도 제주시 한경면 고조로 105,126.1924756,33.30736461,http://place.map.kakao.com/1887263394
