num,id,store,business,location,x,y,url
1,986412423,다령이네민박,숙박,제주특별자치도 제주시 한경면 한경해안로 256,126.1656941,33.32923702,http://place.map.kakao.com/986412423
2,12411035,용성민박,숙박,제주특별자치도 제주시 한경면 용수3길 18,126.1674704,33.32405216,http://place.map.kakao.com/12411035
3,1940675299,노을과원담,숙박,제주특별자치도 제주시 한경면 한경해안로 282,126.1661339,33.33177164,http://place.map.kakao.com/1940675299
4,1530132279,소랑놀,숙박,제주특별자치도 제주시 한경면 한경해안로 316-10,126.1643849,33.33373076,http://place.map.kakao.com/1530132279
5,628410733,제주민박집,숙박,제주특별자치도 서귀포시 대정읍 도원중로 129-32,126.177909,33.27921859,http://place.map.kakao.com/628410733
6,1944979177,아름다운가펜션,숙박,제주특별자치도 서귀포시 대정읍 도원중로 148,126.1752414,33.27820736,http://place.map.kakao.com/1944979177
7,765875930,소랑맨도롱민박,숙박,제주특별자치도 제주시 한경면 용고로 129-12,126.1752042,33.30338332,http://place.map.kakao.com/765875930
8,382065454,살강민박,숙박,제주특별자치도 제주시 한경면 고산로6길 3-8,126.1796715,33.30697419,http://place.map.kakao.com/382065454
9,681431818,솔리테리,숙박,제주특별자치도 제주시 한경면 고산로5길 10,126.1780219,33.30563975,http://place.map.kakao.com/681431818
10,1305530525,빈티지제주,숙박,제주특별자치도 제주시 한경면 주전길 98-1,126.175125,33.33459595,http://place.map.kakao.com/1305530525
11,784466752,스테이다온,숙박,제주특별자치도 제주시 한경면 주전길 94-45,126.1725405,33.33450664,http://place.map.kakao.com/784466752
12,338546031,와랑게스트하우스,숙박,제주특별자치도 제주시 한경면 주전길 92-17,126.1741797,33.33551831,http://place.map.kakao.com/338546031
13,1444876886,스테이오늘,숙박,제주특별자치도 제주시 한경면 용당1길 17-1,126.1788803,33.33387252,http://place.map.kakao.com/1444876886
14,955969878,스테이1474,숙박,제주특별자치도 제주시 한경면 용당길 51,126.1766955,33.33274729,http://place.map.kakao.com/955969878
15,1226351724,파람스테이,숙박,제주특별자치도 제주시 한경면 한경해안로 470,126.1712373,33.34180624,http://place.map.kakao.com/1226351724
16,1764403630,로사네,숙박,제주특별자치도 제주시 한경면 고산로4길 21,126.1815359,33.30544566,http://place.map.kakao.com/1764403630
