num,name,address,review,score
1,다령이네민박,제주특별자치도 제주시 한경면 한경해안로 256,1,4
2,용성민박,제주특별자치도 제주시 한경면 용수3길 18,0,0
3,노을과원담,제주특별자치도 제주시 한경면 한경해안로 282,0,4.4
4,소랑놀,제주특별자치도 제주시 한경면 한경해안로 316-10,0,0
5,제주민박집,제주특별자치도 제주시 애월읍 어음서1길 2,4,5
6,아름다운가펜션,제주특별자치도 서귀포시 대정읍 도원중로 148,0,0
7,소랑맨도롱민박,제주특별자치도 제주시 한경면 용고로 129-12,0,0
8,살강민박,제주특별자치도 제주시 한경면 고산로6길 3-8,4,0
9,솔리테리,제주특별자치도 제주시 한경면 고산로5길 10,0,5
10,빈티지제주,제주특별자치도 제주시 한경면 주전길 98-1,28,4.7
11,스테이다온,제주특별자치도 제주시 한경면 주전길 94-45,5,5
12,와랑게스트하우스,제주특별자치도 제주시 한경면 주전길 92-17,0,4.5
13,스테이오늘,제주특별자치도 제주시 한경면 용당1길 17-1,6,5
14,스테이1474,제주특별자치도 제주시 한경면 용당길 51,0,0
15,파람스테이,제주특별자치도 제주시 한경면 한경해안로 470 2층,3,0
16,로사네,제주특별자치도 제주시 한경면 고산로4길 21 1층,3,5
17,느르왓,제주특별자치도 제주시 한경면 고산중길 23,0,0
18,제주서사,제주특별자치도 제주시 한경면 용금로 3-6,0,0
19,오운스테이,제주특별자치도 제주시 한경면 성굴로2길 8,1,0
20,하늘풍차민박,제주특별자치도 제주시 한경면 일주서로 4099,0,0
21,신창그리고제주,제주특별자치도 제주시 한경면 성굴로1길 10-1,0,0
22,서제니의시간 감성스테이,제주특별자치도 제주시 한경면 일주서로 4095-4 1083,0,5
23,서정적인,제주특별자치도 제주시 한경면 신창5길 10 2층,3,3
24,바르요,제주특별자치도 제주시 한경면 신창1길 5-8,0,0
25,제주집두모공,제주특별자치도 제주시 한경면 두모11길 49,1,5
26,두모달,제주특별자치도 제주시 한경면 두모11길 56 단독,0,5
27,서쪽바다민박,제주특별자치도 제주시 한경면 두모1길 24 2층,10,5
28,두모로우,제주특별자치도 제주시 한경면 두모5길 22,0,0
29,빨강고래,제주특별자치도 제주시 한경면 두신로 131,0,0
30,윤별장,제주특별자치도 서귀포시 대정읍 무릉중앙로 43-11,7,5
31,신돌집,제주특별자치도 서귀포시 대정읍 도원남로158번길 8-8,17,5
32,신도고인옥할망민박,제주특별자치도 서귀포시 대정읍 도원남로 146,0,4.5
33,꽃갈피,제주특별자치도 서귀포시 대정읍 도원남로151번길 4,0,0
34,영오네민박,제주특별자치도 서귀포시 대정읍 도원로 223-3,0,5
35,달뷰스테이,제주특별자치도 서귀포시 대정읍 도원남로175번길 2,0,0
36,고산온,제주특별자치도 제주시 한경면 칠전동길 2-6,3,0
37,스테이 호꼼만,제주특별자치도 제주시 한경면 칠전동길 1-2,5,5
38,만택이네돌담집,제주특별자치도 제주시 한경면 고산남5길 17,2,0
39,고산정원,제주특별자치도 제주시 한경면 고산남8길 26,0,0
40,너와 바람개비,제주특별자치도 제주시 한경면 신한로 154-8,1,0
41,효도민박,제주특별자치도 제주시 한경면 복호로 30,0,0
42,선이못,제주특별자치도 제주시 한경면 금등4길 128,9,0
43,금등스테이199,제주특별자치도 제주시 한경면 금등4길 130-44,4,0
44,맑음판포,제주특별자치도 제주시 한경면 판포중길 63,0,0
45,묵다여관,제주특별자치도 제주시 한경면 일주서로 4533-9,15,0
46,스테이 서하온,제주특별자치도 제주시 한경면 판포2길 6-16 1층,0,0
47,금등이,제주특별자치도 제주시 한경면 금등4길 16-5,0,0
48,벨진우영,제주특별자치도 제주시 한경면 일주서로 4515,5,0
49,키티하우스민박,제주특별자치도 제주시 한경면 판포1길 22-2,0,0
50,한림 이모네민박,제주특별자치도 제주시 한경면 금등4길 34-3,0,0
51,하귤스테이,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 20,1,0
52,제주온다온,제주특별자치도 서귀포시 대정읍 무릉중앙로11번길 11-1,1,0
53,스치로다,제주특별자치도 제주시 한경면 고조로 311-10,7,5
