num,store,address,review,score
1,유가네한우곰탕,제주특별자치도 제주시 한경면 한장중길 4,6,4.5
2,만덕본가,제주특별자치도 제주시 한경면 노을해안로 1163 1층,51,4.5
3,차귀도놀빛바다,제주특별자치도 제주시 한경면 노을해안로 1142 2층,31,3.8
4,수월봉별난횟집,제주특별자치도 제주시 한경면 노을해안로 1150,25,1.2
5,대물식당,제주특별자치도 제주시 한경면 노을해안로 1167 1층,14,3.3
6,아리아식당,제주특별자치도 제주시 한경면 노을해안로 1174 마동 1층,45,4.2
7,차귀횟집,제주특별자치도 제주시 한경면 노을해안로 1154,2,5
8,미식가,제주특별자치도 제주시 한경면 노을해안로 1146,2,3
9,해문달술,제주특별자치도 제주시 한경면 노을해안로 1174,10,4.6
10,벤드리,제주특별자치도 제주시 한경면 노을해안로 1195 1층,34,4.9
11,놀멍놀멍,제주특별자치도 제주시 한경면 노을해안로 1164-1,20,4.8
12,비스트로 홀린체,제주특별자치도 제주시 한경면 노을해안로 1142 3층,3,5
13,달래횟집,제주특별자치도 제주시 한경면 노을해안로 1167,16,1.5
14,차귀도해산물포차,제주특별자치도 제주시 한경면 노을해안로 1146,0,0
15,용수국수,제주특별자치도 제주시 한경면 한경해안로 254 1층,19,4.3
16,수리키친,제주특별자치도 제주시 한경면 용수3길 29 1층,0,0
17,진달래식당,제주특별자치도 제주시 한경면 용수3길 38 A동 1층,0,0
18,황언니의심야식당,제주특별자치도 제주시 한경면 용수3길 38 A동,0,0
19,신가네짬뽕,제주특별자치도 제주시 한경면 한경해안로 294-16,21,4.7
20,노을안에풍차,제주특별자치도 제주시 한경면 한경해안로 360 1층,6,3
21,바사팬,제주특별자치도 제주시 한경면 한경해안로 448-6,8,3.1
22,어촌계식당,제주특별자치도 서귀포시 대정읍 노을해안로 724,57,4.3
23,연희원,제주특별자치도 서귀포시 대정읍 도원중로 144 1층,17,3.6
24,한경가든,제주특별자치도 제주시 한경면 노을해안로 1259,50,4.2
25,금자매식당,제주특별자치도 제주시 한경면 용고로 154 1층,0,0
26,제주돔베막국수,제주특별자치도 제주시 한경면 고산로 35,76,4.5
27,옛날국수집,제주특별자치도 제주시 한경면 고산로 73 1층,36,4.7
28,종배네,제주특별자치도 제주시 한경면 고락로 2 1층,20,4.1
29,제주찰리아저씨,제주특별자치도 제주시 한경면 용고로 118-2,23,3.5
30,요이땅삐삐,제주특별자치도 제주시 한경면 고산로 19,9,4.3
31,당산봉식당,제주특별자치도 제주시 한경면 고산로 59,0,0
32,육거리식당,제주특별자치도 제주시 한경면 용고로 85,12,3.5
33,차이나리,제주특별자치도 제주시 한경면 고산로 70 1층,9,4.4
34,고산의낮고산의밤,제주특별자치도 제주시 한경면 고산로 26-1 1층,7,5
35,고산수월봉가마솥순대국,제주특별자치도 제주시 한경면 고산서2길 18,14,4.7
36,슈가램프,제주특별자치도 제주시 한경면 고산로 65-5,2,5
37,고관심해장국,제주특별자치도 제주시 한경면 용고로 86 1층,5,4.6
38,고산함지박,제주특별자치도 제주시 한경면 고락로 4,4,5
39,유명제과,제주특별자치도 제주시 한경면 고산로 26,7,4.1
40,고마루,제주특별자치도 제주시 한경면 고산로1길 1,7,4.9
41,행복오뚜기식당,제주특별자치도 제주시 한경면 고산로 18,8,4.9
42,더조은치킨,제주특별자치도 제주시 한경면 고산로 38-1,3,3
43,넝쿨담쟁이,제주특별자치도 제주시 한경면 고산로 32,2,5
44,마마포차,제주특별자치도 제주시 한경면 고산로 23 1층,0,0
45,모두아식당,제주특별자치도 제주시 한경면 고산로 18-1,1,4
46,성안식당,제주특별자치도 제주시 한경면 고산로 24,0,0
47,탕도령맛집,제주특별자치도 제주시 한경면 고산로 25,1,5
48,무명아래,제주특별자치도 제주시 한경면 고산로 26-1,0,0
49,지서개식당,제주특별자치도 제주시 한경면 한경해안로 77,24,4.5
50,뿌떡,제주특별자치도 제주시 한경면 용수1길 4,16,4.8
51,신창해물라면와랑식탁,제주특별자치도 제주시 한경면 한경해안로 512-8 1층,44,4.6
52,제주도민이네 라오면,제주특별자치도 제주시 한경면 한경해안로 563-2 1동 1층,13,3.4
53,파벤토,제주특별자치도 제주시 한경면 한경해안로 474-20 3동,31,4.6
54,파파카페테리아,제주특별자치도 제주시 한경면 한경해안로 474-20,0,0
55,미쁜제과,제주특별자치도 서귀포시 대정읍 도원남로 16,122,2.9
56,아윤,제주특별자치도 서귀포시 대정읍 도원중로 60,3,4.7
57,우수수,제주특별자치도 서귀포시 대정읍 비자낭로 21 1층,1,5
58,별돈별 정원점,제주특별자치도 제주시 한경면 고산로8길 21-15 1층,86,4.1
59,스모프치킨 고산점,제주특별자치도 제주시 한경면 고락로 13-1 1층,7,4.3
60,강스피자,제주특별자치도 제주시 한경면 고락로 13 1층,3,4
61,가자고산중화요리,제주특별자치도 제주시 한경면 용고로 76,10,2.8
62,채훈이네해장국,제주특별자치도 제주시 한경면 두신로 69,55,4.7
63,중국집마씸,제주특별자치도 제주시 한경면 두신로 78 1층,0,0
64,제비상회,제주특별자치도 제주시 한경면 신한로 45,10,4
65,신창흑돼지두루치기 신창점,제주특별자치도 제주시 한경면 두신로 74-1 1층,32,4.5
66,그린사이공,제주특별자치도 제주시 한경면 두신로 38 1층,39,4.8
67,모살왓가든,제주특별자치도 제주시 한경면 두신로 21-28,20,4.1
68,제주모퉁이돌,제주특별자치도 제주시 한경면 신한로 12 1층,14,4.9
69,아방도르다,제주특별자치도 제주시 한경면 두신로 68,12,3.3
70,만인정,제주특별자치도 제주시 한경면 두신로 58,6,5
71,세가름,제주특별자치도 제주시 한경면 신한로 20,8,3.6
72,청은국수,제주특별자치도 제주시 한경면 두신로 70,14,3.6
73,제주치킨,제주특별자치도 제주시 한경면 두신로 39,6,4.3
74,평산제면소,제주특별자치도 제주시 한경면 두신로 42,0,0
75,아리랑떡집,제주특별자치도 제주시 한경면 두신로 45-1,0,0
76,곤지암할매소머리국밥 신창점,제주특별자치도 제주시 한경면 두신로 76,0,0
77,곱창에미치다,제주특별자치도 제주시 한경면 두신로 39 2동 1층,4,4
78,상남자맛집,제주특별자치도 제주시 한경면 두신로 39,0,0
79,제주밀포차,제주특별자치도 제주시 한경면 일주서로 4187,0,0
80,풍차와전복,제주특별자치도 제주시 한경면 두모5길 59 1층,56,4.5
81,쪼끄뜨레 제주,제주특별자치도 제주시 한경면 두신로 85 B동,108,4.8
82,장어창고,제주특별자치도 제주시 한경면 두신로 146,12,4.7
83,느영나영혼듸모영,제주특별자치도 제주시 한경면 두모1길 2,8,4.4
84,이층빵집 굽는아방,제주특별자치도 제주시 한경면 두신로 88-1 2층,14,4.9
85,두모리이수사,제주특별자치도 제주시 한경면 두신로 112,12,3.2
86,마돈가제트,제주특별자치도 제주시 한경면 두모11길 51 2층,67,4.9
