num,store,address,review,score,
1,고산초등학교,제주특별자치도 제주시 한경면 고산로1길 16,1,0,
2,고산초등학교병설유치원,제주특별자치도 제주시 한경면 고산로1길 16,0,0,
3,놀빛감성학교,제주특별자치도 제주시 한경면 고산로1길 5,0,0,
4,한국뷰티고등학교,제주특별자치도 제주시 한경면 용고로 70,1,0,
5,고산중학교,제주특별자치도 제주시 한경면 용고로 70,0,0,
6,신창초등학교,제주특별자치도 제주시 한경면 두신로 72,2,3.7,
7,신창중학교,제주특별자치도 제주시 한경면 두신로 72,1,0,
8,신창초등학교 병설유치원,제주특별자치도 제주시 한경면 두신로 72,0,0,
9,무릉초등학교,제주특별자치도 서귀포시 대정읍 서삼중로 106-1,0,0,
10,무릉중학교,제주특별자치도 서귀포시 대정읍 서삼중로 106,1,0,
11,무릉초등학교 병설유치원,제주특별자치도 서귀포시 대정읍 서삼중로 106-3,0,0,
12,대정서초등학교,제주특별자치도 서귀포시 대정읍 동일하모로 43,1,0,
13,대정서초등학교 병설유치원,제주특별자치도 서귀포시 대정읍 동일하모로 43,0,0,
14,재릉초등학교,제주특별자치도 제주시 한림읍 한림로 288-18,1,0,
15,재릉초등학교 병설유치원,제주특별자치도 제주시 한림읍 한림로 288-18,0,0,
16,한림초등학교 비양분교장 (휴교),제주특별자치도 제주시 한림읍 비양도길 270,1,0,
17,대정중학교,제주특별자치도 서귀포시 대정읍 비행장로 18,0,0,
18,대정초등학교,제주특별자치도 서귀포시 대정읍 상모대서로 15,0,0,
19,대정여자고등학교,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,0,3.7,
20,대정초등학교 병설유치원,제주특별자치도 서귀포시 대정읍 상모대서로 15,0,0,
21,청수승마학교,제주특별자치도 제주시 한경면 연명로 346,0,0,
22,저청초등학교,제주특별자치도 제주시 한경면 중산간서로 3591,0,4,
23,저청중학교,제주특별자치도 제주시 한경면 중산간서로 3590,1,5,
24,저청초등학교병설유치원,제주특별자치도 제주시 한경면 중산간서로 3591,0,0,
25,한림고등학교,제주특별자치도 제주시 한림읍 월계로 74,1,5,
26,가파초등학교 마라분교장 (휴교),제주특별자치도 서귀포시 대정읍 마라로 58,2,4.5,
27,가파초등학교,제주특별자치도 서귀포시 대정읍 가파로67번길 45,6,5,
28,대정고등학교,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,2,3,
29,한림공업고등학교,제주특별자치도 제주시 한림읍 한림중앙로 87,1,3,
30,한림중학교,제주특별자치도 제주시 한림읍 명월성로 21,3,5,
31,한림초등학교,제주특별자치도 제주시 한림읍 한림로4길 16,0,3.7,
32,한림여자중학교,제주특별자치도 제주시 한림읍 한림로 604,0,0,
33,한림초등학교 병설유치원,제주특별자치도 제주시 한림읍 한림로4길 16,0,0,
34,가파초등학교 병설유치원,제주특별자치도 서귀포시 대정읍 가파로67번길 45,0,0,
35,보성초등학교,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,2,0,
36,보성초등학교 병설유치원,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,0,0,
37,수원초등학교,제주특별자치도 제주시 한림읍 한림로 822,1,0,
38,수원초등학교 병설유치원,제주특별자치도 제주시 한림읍 한림로 822,0,0,
39,제주한수풀해녀학교,제주특별자치도 제주시 한림읍 한림해안로 623-6,4,2,
40,브랭섬홀아시아,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234,5,4.3,
41,한국국제학교 제주캠퍼스,제주특별자치도 서귀포시 대정읍 글로벌에듀로260번길 8,4,3.4,
42,세인트존스베리 아카데미 제주,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10,0,4.3,
43,한국국제중학교 제주캠퍼스,제주특별자치도 서귀포시 대정읍 글로벌에듀로260번길 34 제주영어교육도시 내,0,3.7,
44,국제학교법인 제인스,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10,0,0,
45,노스런던컬리지잇스쿨 제주캠퍼스,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 33,2,2.1,
46,돌날 제주돌담학교,제주특별자치도 제주시 한림읍 중산간서로 4659,0,0,
47,사계초등학교,제주특별자치도 서귀포시 안덕면 산방로 346,1,0,
48,사계초등학교 산방마루,제주특별자치도 서귀포시 안덕면 산방로 346,0,0,
49,사계초등학교 병설유치원,제주특별자치도 서귀포시 안덕면 산방로 346,0,0,
50,금악초등학교,제주특별자치도 제주시 한림읍 금악남2길 1,0,0,
51,귀덕초등학교,제주특별자치도 제주시 한림읍 귀덕14길 14-5,0,5,
52,귀덕초등학교 병설유치원,제주특별자치도 제주시 한림읍 귀덕14길 14-5,0,0,
53,덕수초등학교,제주특별자치도 서귀포시 안덕면 덕수서로 10,1,0,
54,곽금초등학교,제주특별자치도 제주시 애월읍 일주서로 6000,1,5,
55,어도초등학교,제주특별자치도 제주시 애월읍 봉성로 76,0,0,
56,어도초등학교병설유치원,제주특별자치도 제주시 애월읍 봉성로 76,0,0,
57,서광초등학교,제주특별자치도 서귀포시 안덕면 중산간서로 1842,0,0,
58,서광초등학교 병설유치원,제주특별자치도 서귀포시 안덕면 중산간서로 1842,0,0,
59,애월초등학교,제주특별자치도 제주시 애월읍 애월로 139-10,2,5,
60,애월중학교,제주특별자치도 제주시 애월읍 애월로15길 8,0,0,
61,애월초등학교 병설유치원,제주특별자치도 제주시 애월읍 애월로 139-10,0,0,
62,안덕중학교,제주특별자치도 서귀포시 안덕면 화순로 74,1,1,
