name, address, review, score
"마레", 제주특별자치도 제주시 한경면 복호로 21-29, 1, 4.3
"마레", 제주특별자치도 제주시 한경면 복호로 21-29, 1, 4.3
"신창여관", 제주특별자치도 제주시 한경면 성굴로 41, 3, 5.0
"힐링카약파크 비체올린 캠핑장", 제주특별자치도 제주시 한경면 판조로 253-6, 1, 2.6
"제주외할머니별장", 제주특별자치도 서귀포시 대정읍 서림중앙로 53, 0, 0.0
"금능별장", 제주특별자치도 제주시 한림읍 금능길 24-12, 0, 0.0
"리썸카라반", 제주특별자치도 서귀포시 대정읍 일과대수로27번길 12, 3, 5.0
"돌하르방캠핑장", 제주특별자치도 제주시 한경면 낙수로 271-40, 18, 3.8
"협재해수욕장 캠핑장", 제주특별자치도 제주시 한림읍 협재리, 3, 4.6
"금능해수욕장 야영장", 제주특별자치도 제주시 한림읍 금능리 2027, 46, 4.0
"협재해수욕장 야영장", 제주특별자치도 제주시 한림읍 협재리 2497-1, 25, 2.0
"동굴돌담길캠핑장", 제주특별자치도 제주시 한림읍 협재남4길 26, 1, 0.0
"코자호텔", 제주특별자치도 서귀포시 대정읍 최남단해안로 44, 15, 4.2
"모슬포2호텔", 제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13, 0, 5.0
"남강여관", 제주특별자치도 서귀포시 대정읍 최남단해안로 5, 0, 3.7
"동원장여관", 제주특별자치도 서귀포시 대정읍 하모이삼로52번길 14, 0, 0.0
"동원장여관", 제주특별자치도 서귀포시 대정읍 하모이삼로52번길 14, 0, 0.0
"제일장모텔", 제주특별자치도 서귀포시 대정읍 하모중앙로 79, 0, 0.0
"실버스타호텔", 제주특별자치도 서귀포시 대정읍 상모로289번길 16-7, 0, 0.0
"뉴그린모텔", 제주특별자치도 서귀포시 표선면 표선백사로 119, 3, 4.3
"뉴그린모텔", 제주특별자치도 서귀포시 표선면 표선백사로 119, 3, 4.3
"대전여인숙", 제주특별자치도 서귀포시 대정읍 하모상가로 18-2, 0, 0.0
"대전여인숙", 제주특별자치도 서귀포시 대정읍 하모상가로 18-2, 0, 0.0
"아루미호텔 협재점", 제주특별자치도 제주시 한림읍 한림로 545, 23, 3.4
"비지니스아로마숙박", 제주특별자치도 서귀포시 대정읍 상모로 210, 0, 0.0
"한라모텔", 제주특별자치도 제주시 한림읍 한림로3길 10-9, 0, 4.2
"소담여관", 제주특별자치도 제주시 한림읍 한림로19길 7, 2, 2.5
"GMJ호텔", 제주특별자치도 제주시 한림읍 한림로15길 2, 0, 1.0
"비양도모텔", 제주특별자치도 제주시 한림읍 한림해안로 134, 0, 5.0
"3만3천원모텔", 제주특별자치도 제주시 한림읍 한림해안로 160 삼만삼천원모텔, 0, 0.0
"뉴월드모텔", 제주특별자치도 제주시 한림읍 한림북동길 26, 0, 0.0
"대일장여관", 제주특별자치도 제주시 한림읍 한수풀로 11, 0, 0.0
"세론장", 제주특별자치도 제주시 한림읍 한림북동길 22, 0, 0.0
"제일여관", 제주특별자치도 제주시 한림읍 한림로 633-1, 0, 0.0
"삼성여관", 제주특별자치도 제주시 한림읍 한림로15길 5, 0, 0.0
"한수장", 제주특별자치도 제주시 한림읍 한림로 663, 0, 0.0
"항구장모텔", 제주특별자치도 제주시 한림읍 한림해안로 144, 0, 0.0
"한영장", 제주특별자치도 제주시 한림읍 사가길 5, 0, 0.0
"영주여관", 제주특별자치도 제주시 한림읍 한림로19길 9, 0, 3.0
"한동여관", 제주특별자치도 제주시 한림읍 한림리 1303, 0, 0.0
"일출여인숙", 제주특별자치도 제주시 한림읍 한림로 648, 0, 0.0
"영일여관", 제주특별자치도 제주시 한림읍 한림로17길 2, 0, 0.0
"삼춘네캠핑하우스", 제주특별자치도 서귀포시 대정읍 중산간서로 2366, 3, 0.0
"운송시크릿텔", 제주특별자치도 서귀포시 대정읍 추사로36번길 48, 1, 3.0
"안성캠프96", 제주특별자치도 서귀포시 대정읍 안성리 1096-1, 0, 0.0
"할리데이카라반", 제주특별자치도 제주시 한경면 녹차분재로 354, 1, 0.0
"산야별장", 제주특별자치도 서귀포시 안덕면 사계로 219, 0, 0.0
"마레보비치호텔", 제주특별자치도 제주시 애월읍 곽지1길 23, 33, 3.5
"비치보이스", 제주특별자치도 제주시 애월읍 금성5길 42-1, 20, 5.0
"스마트무인텔", 제주특별자치도 서귀포시 안덕면 중산간서로 1913-58, 0, 5.0
"한담캠핑카라반", 제주특별자치도 제주시 애월읍 애월리 2477, 0, 3.0
"제주유스호스텔", 제주특별자치도 제주시 애월읍 방축길 128, 0, 5.0
"모텔에쿠스", 제주특별자치도 서귀포시 안덕면 화순중앙로54번길 5, 0, 0.0
"화순해수욕장 캠핑장", 제주특별자치도 서귀포시 안덕면 화순해안로 66, 1, 0.0
"에코그린캠핑장", 제주특별자치도 제주시 애월읍 중산간서로 5587, 14, 2.8
"홍스랜드 글램핑", 제주특별자치도 제주시 애월읍 어음13길 25-45, 16, 4.0
"마이테르", 제주특별자치도 제주시 애월읍 애원로 474-29, 0, 0.0
"더블스테이 메이몬드 제주 레지던스", 제주특별자치도 제주시 애월읍 고내로13길 76-24 101~103동, 0, 0.0
"클럽다인리조트 카라반", 제주특별자치도 제주시 애월읍 고내리 79-27, 0, 0.0
"마레보리조트 카라반", 제주특별자치도 제주시 애월읍 신엄안3길 135, 0, 0.0
"오손돌별장", 제주특별자치도 제주시 애월읍 부룡수길 50, 0, 3.0
"밀레니엄호텔", 제주특별자치도 제주시 애월읍 부룡수길 13, 1, 0.0
"호텔브릿지 애월", 제주특별자치도 제주시 애월읍 부룡수길 13, 0, 0.0
"카멜리아힐 목조별장", 제주특별자치도 서귀포시 안덕면 병악로 166, 0, 0.0
"M호텔", 제주특별자치도 제주시 애월읍 신상로 196, 0, 2.5
"꿈의바다", 제주특별자치도 제주시 애월읍 신엄9길 65-11, 0, 4.3
"폴리파크카라반", 제주특별자치도 제주시 애월읍 산록서로 18, 0, 0.0
"무인텔 포유", 제주특별자치도 제주시 애월읍 상가목장길 12, 0, 3.0
"케이글램핑 애월", 제주특별자치도 제주시 애월읍 소길남길 120, 15, 5.0
"제주와일드", 제주특별자치도 서귀포시 논짓물로 28, 0, 0.0
"타미우스골프빌리지", 제주특별자치도 제주시 애월읍 화전길 201, 5, 1.0
"여관도도", 제주특별자치도 제주시 애월읍 소길1길 13-2, 2, 0.0
"우남동호스텔", 제주특별자치도 서귀포시 상예로 262, 0, 0.0
"서귀포호텔 카라반캠핑장", 제주특별자치도 서귀포시 상예로 319, 0, 0.0
"스타빌", 제주특별자치도 서귀포시 안덕면 광평로 34-154, 38, 5.0
"캠핑스토리", 제주특별자치도 제주시 애월읍 하소로 746, 4, 5.0
"뉴코리아유스호스텔", 제주특별자치도 제주시 애월읍 하소로 769-15, 0, 5.0
"케이웨건", 제주특별자치도 제주시 애월읍 평화로 2157, 0, 0.0
"유수암캠핑장", 제주특별자치도 제주시 애월읍 하소로 684-25, 6, 5.0
"제주애월별헤는밤 글램핑펜션", 제주특별자치도 제주시 애월읍 광상로 348, 9, 2.8
"코니호텔", 제주특별자치도 제주시 애월읍 가문동길 79, 61, 4.4
"나비스호스텔", 제주특별자치도 제주시 애월읍 애월해안로 885, 7, 3.2
"우림호텔", 제주특별자치도 제주시 애월읍 애월해안로 917, 12, 2.9
"제주신라호텔 글램핑빌리지", 제주특별자치도 서귀포시 색달동 3039-3 숨비정원, 3, 5.0
"베누스무인텔", 제주특별자치도 제주시 애월읍 유수암평화5길 92, 6, 5.0
"일루아", 제주특별자치도 제주시 애월읍 유수암평화길 180, 1, 0.0
"제주플래티늄카라반", 제주특별자치도 제주시 애월읍 하귀미수포길 5-8, 22, 2.7
"롯데호텔제주 글램핑캠핑장", 제주특별자치도 서귀포시 중문관광로72번길 35, 0, 0.0
"야영장", 제주특별자치도 서귀포시 성산읍 서성일로 260, 36, 4.3
"야영장", 제주특별자치도 서귀포시 성산읍 서성일로 260, 36, 4.3
"중문진실캠핑장", 제주특별자치도 서귀포시 천제연로 132, 3, 1.0
"녹고뫼휴양펜션 &제주캠핑장", 제주특별자치도 제주시 애월읍 유수암평화10길 175-78, 9, 5.0
"아르본유스호스텔", 제주특별자치도 제주시 애월읍 평화로 2482, 5, 2.1
"이그니스무인텔", 제주특별자치도 제주시 애월읍 평화로 2496, 2, 2.0
"쇼모텔", 제주특별자치도 제주시 애월읍 평화로 2500, 0, 0.0
"해성파크텔", 제주특별자치도 서귀포시 천제연로 158-4, 2, 4.5
"천제모텔", 제주특별자치도 서귀포시 천제연로 189, 0, 3.0
"에덴모텔", 제주특별자치도 서귀포시 천제연로185번길 6, 0, 0.0
"휴 무인텔", 제주특별자치도 제주시 애월읍 평화로 2519, 1, 5.0
"퀸무인텔", 제주특별자치도 제주시 애월읍 평화로 2540, 8, 0.0
"휴림", 제주특별자치도 제주시 애월읍 광령남서길 40, 35, 3.7
"깡통텔리조트", 제주특별자치도 제주시 애월읍 광상로 49-1, 0, 0.0
"하바나", 제주특별자치도 제주시 연대마을길 48-1, 0, 0.0
"한울드라이브인호텔", 제주특별자치도 제주시 애월읍 하광로 540-12, 0, 5.0
"에코힐글램핑", 제주특별자치도 제주시 애월읍 광령평화8길 22, 12, 5.0
"헤라무인텔", 제주특별자치도 제주시 애월읍 광령평화8길 22, 12, 5.0
"모이라호텔", 제주특별자치도 제주시 애월읍 평화로 2820-67, 0, 4.0
"뷰무인텔", 제주특별자치도 제주시 애월읍 광령평화8길 20, 0, 2.0
