num,store,location,house
1,비슬휴림아파트,제주특별자치도 서귀포시 대정읍 신영로36번길 39,48
2,서귀포더그라벨아파트,제주특별자치도 서귀포시 대정읍 신영로 5,52
3,모슬포라움아파트,제주특별자치도 서귀포시 대정읍 동일하모로131번길 24,46
4,에스빌라트,제주특별자치도 서귀포시 대정읍 신영로 65-11,20
5,뜨래별아파트,제주특별자치도 서귀포시 대정읍 신영로 16,24
6,제주에듀루치올라,제주특별자치도 제주시 한경면 대한로 791,99
7,한빛테크놀즈아파트,제주특별자치도 서귀포시 대정읍 비행장로55번길 18,44
8,대정2차반석타운,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 53,48
9,새움엘리시아1아파트,제주특별자치도 서귀포시 대정읍 신영로94번길 23,29
10,서귀포대정휴먼시아아파트,제주특별자치도 서귀포시 대정읍 하모중앙로 6,327
11,아이진베라뷰대정아파트,제주특별자치도 서귀포시 대정읍 상모로273번길 44,68
12,해누리2차아파트,제주특별자치도 서귀포시 대정읍 상모로290번길 18,53
13,해누리1차아파트,제주특별자치도 서귀포시 대정읍 상모로 315,24
14,유성아트빌아파트,제주특별자치도 서귀포시 대정읍 동일하모로 188,18
15,가온누리아파트,제주특별자치도 서귀포시 대정읍 일주서로 2591,12
16,칸타빌제주에듀1단지아파트,제주특별자치도 서귀포시 대정읍 하모리 820-1,21
17,빌라드그리움오피스텔,제주특별자치도 서귀포시 대정읍 동일하모로 227-20,48
18,주암썬빌리지,제주특별자치도 제주시 한림읍 옹포4길 20,112
19,한림오션캐슬아파트,제주특별자치도 제주시 한림읍 한림로 554,68
20,제주영어교육도시꿈에그린아파트,제주특별자치도 서귀포시 대정읍 에듀시티로204번길 19,268
21,곶자왈아이파크,제주특별자치도 제주시 한경면 녹차분재로 609,85
22,제주한림코아루아파트,제주특별자치도 제주시 한림읍 동명북2길 15,83
23,한림밀레니엄,제주특별자치도 제주시 한림읍 문교길 29-1,19
24,위듀파크아파트,제주특별자치도 제주시 한림읍 한림상로 241,42
25,한림대성유니크1차아파트,제주특별자치도 제주시 한림읍 한림상로 216,28
26,삼영노블리안아파트,제주특별자치도 제주시 한림읍 문교길 27,40
27,드림파크아파트,제주특별자치도 제주시 한림읍 대림1길 7-13,39
