num,id,store,business,location,x,y,url
1,985632487,고산늘푸른팰리스아파트,아파트,제주특별자치도 제주시 한경면 고산로6길 2,126.1791561,33.30605837,http://place.map.kakao.com/985632487
2,8616410,KT사원 아파트,아파트,제주특별자치도 제주시 한경면 고산로8길 8,126.1791522,33.30739631,http://place.map.kakao.com/8616410
3,2098464541,비슬휴림아파트,아파트,제주특별자치도 서귀포시 대정읍 신영로36번길 39,126.2476671,33.21979258,http://place.map.kakao.com/2098464541
4,2040141793,서귀포더그라벨아파트,아파트,제주특별자치도 서귀포시 대정읍 신영로 5,126.2475574,33.22521512,http://place.map.kakao.com/2040141793
5,238982371,모슬포라움아파트,아파트,제주특별자치도 서귀포시 대정읍 동일하모로131번길 24,126.2457775,33.2284799,http://place.map.kakao.com/238982371
6,17125010,에스빌라트,아파트,제주특별자치도 서귀포시 대정읍 신영로 65-11,126.2497584,33.22097821,http://place.map.kakao.com/17125010
7,1206409456,뜨래별아파트,아파트,제주특별자치도 서귀포시 대정읍 신영로 16,126.2470649,33.22409324,http://place.map.kakao.com/1206409456
8,544215848,제주에듀루치올라,아파트,제주특별자치도 제주시 한경면 대한로 791,126.2424744,33.29686027,http://place.map.kakao.com/544215848
9,8142039,한빛테크놀즈아파트,아파트,제주특별자치도 서귀포시 대정읍 비행장로55번길 18,126.2599073,33.21982001,http://place.map.kakao.com/8142039
10,13236379,대정2차반석타운,아파트,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 53,126.2573703,33.21639318,http://place.map.kakao.com/13236379
11,932278886,새움엘리시아1아파트,아파트,제주특별자치도 서귀포시 대정읍 신영로94번길 23,126.2532699,33.21826023,http://place.map.kakao.com/932278886
12,12602609,서귀포대정휴먼시아아파트,아파트,제주특별자치도 서귀포시 대정읍 하모중앙로 6,126.2516058,33.22774422,http://place.map.kakao.com/12602609
13,23972481,성환아파트,아파트,제주특별자치도 서귀포시 대정읍 하모중앙로68번길 5,126.2513021,33.22196756,http://place.map.kakao.com/23972481
14,1624664059,아이진베라뷰대정아파트,아파트,제주특별자치도 서귀포시 대정읍 상모로273번길 44,126.2582141,33.22012639,http://place.map.kakao.com/1624664059
15,788012623,해누리2차아파트,아파트,제주특별자치도 서귀포시 대정읍 상모로290번길 18,126.2566272,33.22410206,http://place.map.kakao.com/788012623
16,2051803585,빌라드그리움아파트,아파트,제주특별자치도 서귀포시 대정읍 동일하모로 227-20,126.2562392,33.22723465,http://place.map.kakao.com/2051803585
17,26991129,해누리1차아파트,아파트,제주특별자치도 서귀포시 대정읍 상모로 315,126.2561541,33.22220674,http://place.map.kakao.com/26991129
18,27353601,유성아트빌아파트,아파트,제주특별자치도 서귀포시 대정읍 동일하모로 188,126.2511773,33.22566433,http://place.map.kakao.com/27353601
19,161190963,가온누리아파트,아파트,제주특별자치도 서귀포시 대정읍 일주서로 2591,126.2534258,33.22780745,http://place.map.kakao.com/161190963
20,1271870279,칸타빌제주에듀1단지아파트,아파트,,126.2551918,33.22272031,http://place.map.kakao.com/1271870279
21,573001804,상모아파트,아파트,제주특별자치도 서귀포시 대정읍 상모로289번길 16-1,126.256799,33.22244231,http://place.map.kakao.com/573001804
22,1224666427,빌라드그리움오피스텔,아파트,제주특별자치도 서귀포시 대정읍 동일하모로 227-20,126.2562392,33.22723465,http://place.map.kakao.com/1224666427
23,11159008,주암썬빌리지,아파트,제주특별자치도 제주시 한림읍 옹포4길 20,126.2527629,33.40023418,http://place.map.kakao.com/11159008
24,710011060,한림오션캐슬아파트,아파트,제주특별자치도 제주시 한림읍 한림로 554,126.2573318,33.40648662,http://place.map.kakao.com/710011060
25,1857137763,씨비양빌리지아파트,아파트,제주특별자치도 제주시 한림읍 한림해안로 8,126.2553522,33.40591668,http://place.map.kakao.com/1857137763
