업소명, 주소, 리뷰
원앤온리,제주특별자치도 서귀포시 안덕면 산방로 141 원앤온리,2,099
우무,제주특별자치도 제주시 한림읍 한림로 542-1 가동 1층,1,173
델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10 1층,1,068
카페나모나모,제주특별자치도 제주시 도두봉6길 4 1~4층,960
더클리프,제주특별자치도 서귀포시 중문관광로 154-17,990
유동커피,제주특별자치도 서귀포시 태평로 406-1,399
애월더선셋,제주특별자치도 제주시 애월읍 일주서로 6111 A동 1층,368
새빌,제주특별자치도 제주시 애월읍 평화로 1529,597
애월빵공장앤카페,제주특별자치도 제주시 애월읍 금성5길 42-15 1층,624
앙뚜아네트 용담점,제주특별자치도 제주시 서해안로 671,325
휴일로,제주특별자치도 서귀포시 안덕면 난드르로 49-65,451
울트라마린,제주특별자치도 제주시 한경면 일주서로 4611 지하1층,450
바다다,제주특별자치도 서귀포시 대포로 148-15,281
오르다,제주특별자치도 서귀포시 성산읍 한도로 269-37,405
테라로사 서귀포점,제주특별자치도 서귀포시 칠십리로658번길 27-16,466
빠빠라기 신제주점,제주특별자치도 제주시 신광로 45,80
노티드 제주,제주특별자치도 제주시 애월읍 애월로1길 24-9 1,2층,459
카페바나나 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 3층,342
아뜰리에안,제주특별자치도 서귀포시 막숙포로 166,66
카페태희,제주특별자치도 제주시 애월읍 곽지3길 27,152
풀베개,제주특별자치도 서귀포시 안덕면 화순서서로 492-4,534
스타벅스 제주중문점,제주특별자치도 서귀포시 중문관광로110번길 32,318
스타벅스 제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 522,288
모래비,제주특별자치도 제주시 구좌읍 해맞이해안로 462 모래비,49
우유부단,제주특별자치도 제주시 한림읍 금악동길 38 1층,213
앨리스,제주특별자치도 제주시 서광로32길 36-1 2층,71
블루보틀 제주 카페,제주특별자치도 제주시 구좌읍 번영로 2133-30,691
스테이위드커피,제주특별자치도 제주시 해안마을5길 29 스테이위드커피,62
스타벅스 제주성산DT점,제주특별자치도 서귀포시 성산읍 일출로 80,308
그러므로 파트2,제주특별자치도 제주시 수목원길 16-14,295
트라인커피,제주특별자치도 제주시 조천읍 와흘상길 32,124
요요무문,제주특별자치도 제주시 구좌읍 해맞이해안로 1102 2층,116
르토아베이스먼트,제주특별자치도 제주시 구좌읍 해맞이해안로 1226 1층,302
카페공작소,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,120
말로,제주특별자치도 제주시 조천읍 남조로 1785-12 1층,99
스물다섯,제주특별자치도 제주시 다랑곶6길 19 1층,62
온더스톤브런치카페,제주특별자치도 서귀포시 성산읍 해맞이해안로 2746 H동 1,2층,133
플랏포커피,제주특별자치도 제주시 원노형5길 27 1층,125
어제보다오늘,제주특별자치도 제주시 서해안로 68 1층,106
스타벅스 제주중문DT점,제주특별자치도 서귀포시 천제연로 95,104
서귀피안 본점,제주특별자치도 서귀포시 일주동로 9022,99
스타벅스 성산일출봉점,제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층,158
오드씽,제주특별자치도 제주시 고다시길 25,141
마노커피하우스,제주특별자치도 서귀포시 중문상로 97 1층,87
델문도 로스터스,제주특별자치도 제주시 연삼로 316 MS빌딩 1층,51
