name, address, review, score
"인연게스트하우스", 제주특별자치도 제주시 한경면 한장중길 4, 0, 0.0
"별아래게스트하우스", 제주특별자치도 제주시 한경면 한장중길 14, 0, 0.0
"제주역게스트하우스", 제주특별자치도 제주시 한경면 노을해안로 1171, 21, 2.6
"언니네시골집", 제주특별자치도 제주시 한경면 용수3길 38, 1, 0.0
"스테이스며들다", 제주특별자치도 제주시 한경면 용수2길 24-4, 10, 4.8
"하도올레 6호점", 제주특별자치도 제주시 한경면 용수3길 37-4, 0, 0.0
"두바퀴게스트하우스&펜션", 제주특별자치도 서귀포시 대정읍 도원로 89, 0, 5.0
"공유게스트하우스", 제주특별자치도 서귀포시 대정읍 도원로 20, 13, 5.0
"스테이 고산", 제주특별자치도 제주시 한경면 고산로8길 4-1, 1, 3.0
"우리집게스트하우스", 제주특별자치도 제주시 한경면 고산로 29, 0, 0.0
"선셋게스트하우스", 제주특별자치도 제주시 한경면 용고로 230, 1, 0.0
"뿌리게스트하우스", 제주특별자치도 제주시 한경면 용수1길 3, 1, 5.0
"이안게스트하우스", 제주특별자치도 제주시 한경면 용수길 119-5, 2, 5.0
"제주까망하우스", 제주특별자치도 제주시 한경면 주전길 30-26, 1, 5.0
"한그루게스트하우스", 제주특별자치도 제주시 한경면 주전길 92-54, 1, 3.8
"제주와서", 제주특별자치도 제주시 한경면 용당2길 17, 3, 5.0
"일사칠사", 제주특별자치도 제주시 한경면 용당길 51, 0, 0.0
"하바나블루스", 제주특별자치도 제주시 한경면 한경해안로 474-26, 0, 5.0
"소흔하우스", 제주특별자치도 서귀포시 대정읍 무릉중앙로182번길 13, 0, 5.0
"오소소게스트하우스", 제주특별자치도 서귀포시 대정읍 비자낭로 23, 36, 4.8
"호호게스트하우스", 제주특별자치도 제주시 한경면 고산남4길 28, 0, 0.0
"엉알스테이", 제주특별자치도 제주시 한경면 고조로 24, 3, 4.8
"단빌리지 게스트하우스", 제주특별자치도 제주시 한경면 고락로 100, 0, 0.0
"빨간풍선", 제주특별자치도 제주시 한경면 고산로4길 49-7, 0, 0.0
"여행자의기록", 제주특별자치도 제주시 한경면 일주서로 4059, 1, 0.0
"사치야", 제주특별자치도 제주시 한경면 성굴로1길 10, 0, 0.0
"배배게스트하우스", 제주특별자치도 제주시 한경면 신창1길 20, 8, 4.3
"김마담게스트하우스", 제주특별자치도 제주시 한경면 신창4길 7-2, 0, 0.0
"조브라더스 게스트하우스", 제주특별자치도 제주시 한경면 두모11길 46, 9, 3.4
"올리브네", 제주특별자치도 제주시 한경면 두신로 89, 2, 5.0
