name, address, review, score
"서쪽하늘", 제주특별자치도 제주시 한경면 한장중길 24-3, 15, 5.0
"불란디하우스", 제주특별자치도 제주시 한경면 한장서길 48-30, 0, 0.0
"미리내제주", 제주특별자치도 제주시 한경면 고산서3길 124-9, 3, 5.0
"인연게스트하우스", 제주특별자치도 제주시 한경면 한장중길 4, 0, 0.0
"별아래게스트하우스", 제주특별자치도 제주시 한경면 한장중길 14, 0, 0.0
"제주역게스트하우스", 제주특별자치도 제주시 한경면 노을해안로 1171, 21, 2.6
"섬풍경펜션", 제주특별자치도 제주시 한경면 노을해안로 1203-1, 2, 4.0
"아리아펜션", 제주특별자치도 제주시 한경면 노을해안로 1174-1, 0, 1.0
"제주늘보의오후", 제주특별자치도 제주시 한경면 한경해안로 176, 6, 4.1
"언니네시골집", 제주특별자치도 제주시 한경면 용수3길 38, 1, 0.0
"백패커스빌라", 제주특별자치도 제주시 한경면 용수3길 21-1, 9, 
"씨사이드뷰펜션", 제주특별자치도 제주시 한경면 한경해안로 190, 5, 5.0
"씨사이드뷰2", 제주특별자치도 제주시 한경면 한경해안로 190-1, 15, 0.0
"용수보룸", 제주특별자치도 제주시 한경면 용수1길 90-1, 1, 5.0
"스테이스며들다", 제주특별자치도 제주시 한경면 용수2길 24-4, 10, 4.8
"바다비펜션", 제주특별자치도 제주시 한경면 용수3길 67, 6, 0.0
"아진키즈풀빌라펜션", 제주특별자치도 제주시 한경면 한경해안로 232-25, 12, 5.0
"다령이네민박", 제주특별자치도 제주시 한경면 한경해안로 256, 1, 4.0
"스테이1미터", 제주특별자치도 제주시 한경면 용수1길 89-15, 7, 4.0
"수리담", 제주특별자치도 제주시 한경면 용수3길 31, 4, 3.7
"흰고래숨비", 제주특별자치도 제주시 한경면 용수3길 56-9, 1, 5.0
"제주낙원", 제주특별자치도 제주시 한경면 한경해안로 194, 0, 0.0
"하도올레 6호점", 제주특별자치도 제주시 한경면 용수3길 37-4, 0, 0.0
"용성민박", 제주특별자치도 제주시 한경면 용수3길 18, 0, 0.0
"노을과원담", 제주특별자치도 제주시 한경면 한경해안로 282, 0, 4.4
"소랑놀", 제주특별자치도 제주시 한경면 한경해안로 316-10, 0, 0.0
"풍차바라기펜션", 제주특별자치도 제주시 한경면 한경해안로 388-45, 14, 0.0
"바사팬스파펜션", 제주특별자치도 제주시 한경면 한경해안로 448-6, 1, 3.1
"서쪽바다뷰뷰", 제주특별자치도 제주시 한경면 한경해안로 438, 0, 5.0
"제주노을보리", 제주특별자치도 제주시 한경면 한경해안로 438, 0, 0.0
"라뷰테제주", 제주특별자치도 서귀포시 대정읍 노을해안로 620-2, 10, 5.0
"제주엔펜션", 제주특별자치도 서귀포시 대정읍 노을해안로 614, 0, 2.0
"벨루아", 제주특별자치도 서귀포시 대정읍 노을해안로 708, 21, 5.0
"두바퀴게스트하우스&펜션", 제주특별자치도 서귀포시 대정읍 도원로 89, 0, 5.0
"도구리3083", 제주특별자치도 서귀포시 대정읍 노을해안로 702, 29, 3.7
"공유게스트하우스", 제주특별자치도 서귀포시 대정읍 도원로 20, 13, 5.0
"스퀘어베이", 제주특별자치도 서귀포시 대정읍 노을해안로 700 스퀘어베이, 2, 
