name, address, review, score
"다령이네민박", 제주특별자치도 제주시 한경면 한경해안로 256, 1, 4.0
"용성민박", 제주특별자치도 제주시 한경면 용수3길 18, 0, 0.0
"노을과원담", 제주특별자치도 제주시 한경면 한경해안로 282, 0, 4.4
"소랑놀", 제주특별자치도 제주시 한경면 한경해안로 316-10, 0, 0.0
"제주민박집", 제주특별자치도 제주시 애월읍 어음서1길 2, 4, 5.0
"아름다운가펜션", 제주특별자치도 서귀포시 대정읍 도원중로 148, 0, 0.0
"소랑맨도롱민박", 제주특별자치도 제주시 한경면 용고로 129-12, 0, 0.0
"살강민박", 제주특별자치도 제주시 한경면 고산로6길 3-8, 4, 0.0
"솔리테리", 제주특별자치도 제주시 한경면 고산로5길 10, 0, 5.0
"빈티지제주", 제주특별자치도 제주시 한경면 주전길 98-1, 28, 4.7
"스테이다온", 제주특별자치도 제주시 한경면 주전길 94-45, 5, 5.0
"와랑게스트하우스", 제주특별자치도 제주시 한경면 주전길 92-17, 0, 4.5
"스테이오늘", 제주특별자치도 제주시 한경면 용당1길 17-1, 6, 5.0
"스테이1474", 제주특별자치도 제주시 한경면 용당길 51, 0, 0.0
"파람스테이", 제주특별자치도 제주시 한경면 한경해안로 470 2층, 3, 0.0
"로사네", 제주특별자치도 제주시 한경면 고산로4길 21 1층, 3, 5.0
"느르왓", 제주특별자치도 제주시 한경면 고산중길 23, 0, 0.0
"제주서사", 제주특별자치도 제주시 한경면 용금로 3-6, 0, 0.0
"오운스테이", 제주특별자치도 제주시 한경면 성굴로2길 8, 1, 0.0
"하늘풍차민박", 제주특별자치도 제주시 한경면 일주서로 4099, 0, 0.0
"신창그리고제주", 제주특별자치도 제주시 한경면 성굴로1길 10-1, 0, 0.0
"서제니의시간 감성스테이", 제주특별자치도 제주시 한경면 일주서로 4095-4 1083, 0, 5.0
"서정적인", 제주특별자치도 제주시 한경면 신창5길 10 2층, 3, 3.0
"바르요", 제주특별자치도 제주시 한경면 신창1길 5-8, 0, 0.0
"제주집두모공", 제주특별자치도 제주시 한경면 두모11길 49, 1, 5.0
"두모달", 제주특별자치도 제주시 한경면 두모11길 56 단독, 0, 5.0
"서쪽바다민박", 제주특별자치도 제주시 한경면 두모1길 24 2층, 10, 5.0
"두모로우", 제주특별자치도 제주시 한경면 두모5길 22, 0, 0.0
"빨강고래", 제주특별자치도 제주시 한경면 두신로 131, 0, 0.0
"윤별장", 제주특별자치도 서귀포시 대정읍 무릉중앙로 43-11, 7, 5.0
"신돌집", 제주특별자치도 서귀포시 대정읍 도원남로158번길 8-8, 17, 5.0
"신도고인옥할망민박", 제주특별자치도 서귀포시 대정읍 도원남로 146, 0, 4.5
"꽃갈피", 제주특별자치도 서귀포시 대정읍 도원남로151번길 4, 0, 0.0
"영오네민박", 제주특별자치도 서귀포시 대정읍 도원로 223-3, 0, 5.0
"달뷰스테이", 제주특별자치도 서귀포시 대정읍 도원남로175번길 2, 0, 0.0
"고산온", 제주특별자치도 제주시 한경면 칠전동길 2-6, 3, 0.0
"스테이 호꼼만", 제주특별자치도 제주시 한경면 칠전동길 1-2, 5, 5.0
"만택이네돌담집", 제주특별자치도 제주시 한경면 고산남5길 17, 2, 0.0
"고산정원", 제주특별자치도 제주시 한경면 고산남8길 26, 0, 0.0
"너와 바람개비", 제주특별자치도 제주시 한경면 신한로 154-8, 1, 0.0
"효도민박", 제주특별자치도 제주시 한경면 복호로 30, 0, 0.0
"선이못", 제주특별자치도 제주시 한경면 금등4길 128, 9, 0.0
"금등스테이199", 제주특별자치도 제주시 한경면 금등4길 130-44, 4, 0.0
