name, address, review, score
 커피별바다잔, 제주특별자치도 제주시 한경면 한장서길 43, 0, 0.0
 노을해안1014, 제주특별자치도 제주시 한경면 노을해안로 1014 1,2층, 57, 4.5
 수월해지다, 제주특별자치도 제주시 한경면 고산리 3760 수월봉 팔각정 1층, 13, 3.5
 유가네한우곰탕, 제주특별자치도 제주시 한경면 한장중길 4, 0, 4.5
 만덕본가, 제주특별자치도 제주시 한경면 노을해안로 1163 1층, 24, 4.5
 차귀도놀빛바다, 제주특별자치도 제주시 한경면 노을해안로 1142 2층, 20, 3.8
 카페다금바리스타, 제주특별자치도 제주시 한경면 노을해안로 1166 1층, 13, 4.9
 수월봉별난횟집, 제주특별자치도 제주시 한경면 노을해안로 1150, 9, 1.2
 대물식당, 제주특별자치도 제주시 한경면 노을해안로 1167 1층, 24, 3.3
 아리아식당, 제주특별자치도 제주시 한경면 노을해안로 1174 마동 1층, 5, 4.2
 차귀횟집, 제주특별자치도 제주시 한경면 노을해안로 1154, 4, 5.0
 미식가, 제주특별자치도 제주시 한경면 노을해안로 1146, 2, 3.0
 해문달술, 제주특별자치도 제주시 한경면 노을해안로 1174, 7, 4.6
 바람과언덕, 제주특별자치도 제주시 한경면 노을해안로 1203-4, 1, 4.0
 벤드리, 제주특별자치도 제주시 한경면 노을해안로 1195 1층, 10, 4.9
 놀멍놀멍, 제주특별자치도 제주시 한경면 노을해안로 1164-1, 6, 4.8
 비스트로 홀린체, 제주특별자치도 제주시 한경면 노을해안로 1142 3층, 35, 5.0
 달래횟집, 제주특별자치도 제주시 한경면 노을해안로 1167, 3, 1.5
 아리아커피, 제주특별자치도 제주시 한경면 노을해안로 1174 마동 1층, 1, 3.0
 차귀도해산물포차, 제주특별자치도 제주시 한경면 노을해안로 1146, 0, 0.0
 제피로스, 제주특별자치도 제주시 한경면 한경해안로 93-32 1층, 9, 4.9
 카페데스틸, 제주특별자치도 제주시 한경면 한경해안로 110, 32, 4.2
 용수국수, 제주특별자치도 제주시 한경면 한경해안로 254 1층, 12, 4.3
 빈2020, 제주특별자치도 제주시 한경면 한경해안로 120, 20, 4.9
 수리키친, 제주특별자치도 제주시 한경면 용수3길 29 1층, 20, 
 제주늘보의오후 카페, 제주특별자치도 제주시 한경면 한경해안로 176, 0, 5.0
 카페해안, 제주특별자치도 제주시 한경면 한경해안로 136 1층, 0, 0.0
 황언니의심야식당, 제주특별자치도 제주시 한경면 용수3길 38 A동, 0, 0.0
 신가네짬뽕, 제주특별자치도 제주시 한경면 한경해안로 294-16, 21, 4.7
 노을안에풍차, 제주특별자치도 제주시 한경면 한경해안로 360 1층, 7, 3.0
 옹다방, 제주특별자치도 제주시 한경면 한경해안로 420, 19, 4.4
 바사팬, 제주특별자치도 제주시 한경면 한경해안로 448-6, 1, 3.1
 어촌계식당, 제주특별자치도 서귀포시 대정읍 노을해안로 724, 30, 4.3
 연희원, 제주특별자치도 서귀포시 대정읍 도원중로 144 1층, 19, 3.6
 노을과어울림, 제주특별자치도 서귀포시 대정읍 노을해안로 638, 0, 5.0
 카페도구리3083, 제주특별자치도 서귀포시 대정읍 노을해안로 702, 6, 3.7
 카페라레온다, 제주특별자치도 서귀포시 대정읍 노을해안로 720 2층, 4, 5.0
 카페공유, 제주특별자치도 서귀포시 대정읍 도원로 20, 0, 0.0
 한경가든, 제주특별자치도 제주시 한경면 노을해안로 1259, 102, 4.2
 금자매식당, 제주특별자치도 제주시 한경면 용고로 154 1층, 79, 
 제주돔베막국수, 제주특별자치도 제주시 한경면 고산로 35, 41, 4.5
 안녕구움, 제주특별자치도 제주시 한경면 고산로 49 1층, 45, 4.7
 옛날국수집, 제주특별자치도 제주시 애월읍 하귀로 56, 67, 4.1
 종배네, 제주특별자치도 제주시 한경면 고락로 2 1층, 222, 4.3
 제주찰리아저씨, 제주특별자치도 제주시 한경면 용고로 118-2, 8, 3.5
