num, store, address, review, score
1, 천안사, 제주특별자치도 제주시 한경면 노을해안로 1013-23, 2, 3.0
2, 월성사, 제주특별자치도 제주시 한경면 용고로 63, 0, 0.0
3, 수덕사, 제주특별자치도 제주시 한경면 고산남4길 18-3, 0, 0.0
4, 보리암, 제주특별자치도 제주시 한경면 한원서길 13-5, 0, 0.0
5, 영조사, 제주특별자치도 서귀포시 대정읍 영조사로 16, 0, 0.0
6, 통천사, 제주특별자치도 제주시 한경면 판포4길 10, 0, 0.0
7, 용궁사, 제주특별자치도 서귀포시 대정읍 무릉송당로 83, 0, 0.0
8, 흥법사, 제주특별자치도 제주시 한경면 낙천3길 19, 0, 0.0
9, 선인사, 제주특별자치도 제주시 한림읍 일주서로 4774, 1, 5.0
10, 석굴원, 제주특별자치도 제주시 한림읍 한림로 176, 0, 0.0
11, 대원사, 제주특별자치도 서귀포시 대정읍 일과대수로 34, 0, 0.0
12, 서산사, 제주특별자치도 서귀포시 대정읍 신영로36번길 24-11, 0, 0.0
13, 정각사, 제주특별자치도 서귀포시 대정읍 신영로36번길 4, 0, 0.0
14, 칠상사, 제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-33, 0, 0.0
15, 법주사, 제주특별자치도 서귀포시 대정읍 암반수마농로 32-12, 0, 0.0
16, 영축사, 제주특별자치도 제주시 한경면 청수서4길 45-42, 0, 0.0
17, 대승사, 제주특별자치도 서귀포시 대정읍 최남단해안로15번길 24-40, 0, 0.0
18, 학림사, 제주특별자치도 제주시 한경면 저지2길 2-6, 0, 0.0
19, 월림사, 제주특별자치도 제주시 한림읍 금능남로 454, 0, 0.0
20, 월계사, 제주특별자치도 제주시 한림읍 한림상로 39, 0, 0.0
21, 옹포포교당, 제주특별자치도 제주시 한림읍 한림상로 14-1, 0, 0.0
22, 마라도기원정사, 제주특별자치도 서귀포시 대정읍 마라로 87, 5, 3.6
23, 영각사, 제주특별자치도 제주시 한림읍 하운당길 2, 0, 0.0
24, 황룡사, 제주특별자치도 제주시 한림읍 명월성로 66-6, 1, 5.0
25, 극락사, 제주특별자치도 제주시 한림읍 동명4길 20, 0, 0.0
26, 한산사, 제주특별자치도 제주시 한림읍 한성길 15, 1, 5.0
27, 해운사, 제주특별자치도 제주시 한림읍 한림해안로 552-1, 1, 5.0
28, 단산사, 제주특별자치도 서귀포시 대정읍 인성리 22-1, 0, 0.0
29, 천수원, 제주특별자치도 제주시 한림읍 명월동길 18, 0, 0.0
30, 광화사, 제주특별자치도 서귀포시 안덕면 녹차분재로59번길 30, 0, 0.0
31, 청호사, 제주특별자치도 제주시 한림읍 귀덕11길 52, 0, 0.0
32, 산방굴선원, 제주특별자치도 서귀포시 안덕면 사계남로 236-1, 0, 0.0
33, 덕산정사, 제주특별자치도 서귀포시 안덕면 사계북로41번길 130-42, 1, 1.0
34, 선운정사, 제주특별자치도 제주시 애월읍 구몰동길 65, 11, 3.4
35, 도림사, 제주특별자치도 제주시 애월읍 어도봉길 123-3, 0, 0.0
36, 용문사, 제주특별자치도 제주시 애월읍 금성5길 44-7, 1, 5.0
37, 산방굴사, 제주특별자치도 서귀포시 안덕면 사계리 3693, 24, 2.9
38, 보문사, 제주특별자치도 서귀포시 안덕면 산방로 218-10, 6, 4.3
39, 산방사, 제주특별자치도 서귀포시 안덕면 산방로 218-11, 10, 3.5
40, 광명사, 제주특별자치도 서귀포시 안덕면 산방로 218-13, 2, 3.0
41, 보덕사, 제주특별자치도 서귀포시 안덕면 일주서로 1877-39, 0, 0.0
42, 영산암, 제주특별자치도 서귀포시 안덕면 일주서로 1877-31, 0, 0.0
