name, address, review, score
제주도 "바우슈텔러 제주", 제주특별자치도 제주시 한경면 청수로 22, 0, 0.0
제주도 "점보빌리지", 제주특별자치도 서귀포시 안덕면 평화로319번길 31-11, 162, 
제주도 "봉성리하우스씨어터", 제주특별자치도 제주시 애월읍 봉성로 67, 0, 0.0
제주도 "끌로드아트홀", 제주특별자치도 서귀포시 안덕면 신화역사로304번길 139 2층, 0, 5.0
제주도 "제주아트서커스", 제주특별자치도 서귀포시 안덕면 동광로 214, 38, 4.4
제주도 "난드르 올레좀녀해상공연장", 제주특별자치도 서귀포시 안덕면 난드르로 49-5, 0, 0.0
제주도 "드라마월드", 제주특별자치도 제주시 애월읍 화전길 3, 0, 1.3
제주도 "태권뮤지컬혼", 제주특별자치도 제주시 애월읍 산록서로 18, 0, 0.0
제주도 "폴리파크 왓썹전용관", 제주특별자치도 제주시 애월읍 산록서로 18, 0, 0.0
제주도 "아리랑랜드", 제주특별자치도 제주시 애월읍 산록서로 18, 0, 0.0
제주도 "롯데호텔제주 연회장", 제주특별자치도 서귀포시 중문관광로72번길 35, 0, 0.0
제주도 "오디토리움 제주", 제주특별자치도 제주시 애월읍 광령서길 2 지하, 0, 0.0
제주도 "제주아트리움공연장", 제주특별자치도 제주시 노형로 89, 1, 2.5
제주도 "이디홀", 제주특별자치도 제주시 도공로 54 지하 1층, 0, 0.0
제주도 "서귀포강정크루즈터미널 야외공연장", 제주특별자치도 서귀포시 강정동 4655, 0, 0.0
제주도 "한라아트홀 대극장", 제주특별자치도 제주시 한라대학로 38, 3, 0.0
제주도 "가향아트센터", 제주특별자치도 제주시 고사마루길 125, 0, 0.0
제주도 "스테이지헤르츠", 제주특별자치도 제주시 월랑로10길 25, 0, 0.0
제주도 "아벡아트홀", 제주특별자치도 제주시 진군1길 15 4층, 0, 0.0
제주도 "KT&G 제주아틀리에", 제주특별자치도 제주시 연북로 33, 0, 0.0
제주도 "제주관광공연장", 제주특별자치도 제주시 삼무로 51, 0, 0.0
제주도 "제주월드컵경기장 야외공연장", 제주특별자치도 서귀포시 법환동 914, 0, 0.0
제주도 "김정문화회관", 제주특별자치도 서귀포시 김정문화로 36, 0, 4.0
제주도 "제주혁신도시 야외공연장", 제주특별자치도 서귀포시 서호동 1600, 0, 0.0
제주도 "제주아트센터", 제주특별자치도 제주시 오남로 231, 34, 0.0
제주도 "세이레아트센터", 제주특별자치도 제주시 서광로 182-6 제주가구공단(원앙빌딩) 지하 1층 세이레아트센터, 4, 5.0
제주도 "KT제주지사 소극장", 제주특별자치도 제주시 전농로 114, 0, 0.0
제주도 "제주해변공연장", 제주특별자치도 제주시 중앙로 2, 5, 3.0
제주도 "아트세닉", 제주특별자치도 제주시 관덕로6길 16, 0, 0.0
제주도 "두근두근시어터", 제주특별자치도 제주시 중앙로14길 18, 0, 5.0
제주도 "미예랑소극장", 제주특별자치도 제주시 중앙로 72, 0, 0.0
제주도 "탑동해변공연장 대여소", 제주특별자치도 제주시 중앙로 2, 1, 0.0
제주도 "탐라문화회관", 제주특별자치도 제주시 연북로 560, 0, 0.0
제주도 "겟스페이스", 제주특별자치도 제주시 광양13길 6-3, 0, 5.0
제주도 "비인", 제주특별자치도 제주시 신산로 82 1층 Be IN(비인), 1, 0.0
제주도 "난타극장 제주전용관", 제주특별자치도 제주시 선돌목동길 56-26, 0, 5.0
제주도 "제주난타파크", 제주특별자치도 제주시 선돌목동길 56-26, 1, 4.5
제주도 "제주학생문화원 대극장", 제주특별자치도 제주시 연삼로 489, 0, 0.0
제주도 "탱크", 제주특별자치도 제주시 태성로 21 일도성환상가 지하, 0, 0.0
제주도 "서귀포예술의전당 대극장", 제주특별자치도 서귀포시 태평로 270, 1, 0.0
제주도 "칠십리야외공연장", 제주특별자치도 서귀포시 남성중로 6-1, 1, 0.0
제주도 "천지연폭포 야외공연장", 제주특별자치도 서귀포시 남성중로 6-1, 1, 0.0
제주도 "아트락소극장", 제주특별자치도 제주시 연신로 156, 0, 4.0
제주도 "다온아트홀", 제주특별자치도 제주시 일주동로 87 3층, 0, 0.0
제주도 "예술공간오이 서귀포이야기", 제주특별자치도 서귀포시 중정로 76 지하1층, 0, 0.0
제주도 "간드락소극장", 제주특별자치도 제주시 아봉로 626-50, 0, 0.0
제주도 "조천문화회관", 제주특별자치도 제주시 조천읍 조천북1길 60-1, 0, 0.0
제주도 "스카이워터쇼", 제주특별자치도 제주시 구좌읍 번영로 2172-80, 29, 4.3
제주도 "제주아리랑", 제주특별자치도 서귀포시 표선면 번영로 2564-21, 15, 3.7
