name, address, review, score
할리스 제주도두해안DT점, 제주특별자치도 제주시 서해안로 254, 13, 3.8
할리스 목포평화점, 전남 목포시 미항로 129 1,2층, 9, 5.0
할리스 남악신도시점, 전남 무안군 삼향읍 남악로 234 트리폴리앙 B동 1,2층 108,204호, 0, 3.6
할리스 목포하당점, 전남 목포시 비파로51번길 37 1층, 1, 1.0
할리스 부안격포채석강점, 전북 부안군 변산면 채석강길 22-6, 10, 3.4
할리스 군산선유도점, 전북 군산시 옥도면 선유북길 125-1 1층, 8, 3.7
할리스 인천공항T1점, 인천 중구 공항로 272, 0, 0.0
할리스 제주연북로점, 제주특별자치도 제주시 오남로 166, 38, 4.1
할리스 제주이도점, 제주특별자치도 제주시 승천로 71 페르마빌딩 1층, 1, 3.3
할리스 이도점, 제주특별자치도 제주시 중앙로 302, 3, 0.0
할리스 새만금산단점, 전북 군산시 새만금북로 424 대신파크 104호, 4, 2.6
할리스 영종하늘도시점, 인천 중구 하늘달빛로 90-21, 3, 3.3
할리스 서천휴게소목포방향점, 충남 서천군 비인면 서해안고속도로 169, 0, 1.0
할리스 충남도청점, 충남 홍성군 홍북읍 청사로174번길 25 105호, 6, 1.8
할리스 당진시청점, 충남 당진시 시청2로 49-25 로고스타워 1,2층, 6, 4.8
할리스 당진푸르지오점, 충남 당진시 북문로2길 4 희은빌딩 1층, 3, 5.0
할리스 인천한옥마을점, 인천 연수구 테크노파크로 180 다동 1층, 145, 2.4
할리스 인천대입구역점, 인천 연수구 인천타워대로132번길 34 1층 104,105호, 8, 5.0
할리스 송도학원가점, 인천 연수구 신송로 168 1,2층, 8, 3.0
할리스 송도IT점, 인천 연수구 송도과학로 32 송도테크노파크 IT센터 1층, 0, 0.0
할리스 인천주안역점, 인천 미추홀구 주안로 105 1,2층, 4, 4.5
할리스 인천엠파크허브점, 인천 서구 염곡로 52 엠파크 허브동 1층 103호, 0, 0.0
할리스 인천연수CGV점, 인천 연수구 청능대로 210 스퀘어원 4층, 9, 5.0
할리스 청라센터시아점, 인천 서구 중봉대로612번길 16 1층, 13, 3.8
할리스 인천서구청점, 인천 서구 서곶로301번길 7-1 세광빌딩 1층 101호, 1, 5.0
할리스 인천당하점, 인천 서구 서곶로 788 홀리랜드 126, 127호, 5, 5.0
할리스 인천검단사거리점, 인천 서구 검단로 465 검단보림빌딩 1층 101~104호, 3, 3.3
할리스 김포디원시티점, 경기 김포시 김포한강10로133번길 127, 4, 5.0
할리스 김포운양점, 경기 김포시 김포한강11로255번길 15, 4, 2.3
할리스 김포골드밸리점, 경기 김포시 양촌읍 황금로109번길 27 동양프라자 1층, 1, 0.0
할리스 김포지식산업센터점, 경기 김포시 태장로795번길 145 아셈호텔 1층, 0, 0.0
할리스 나주빛가람혁신도시점, 전남 나주시 배멧3길 5-4, 1, 5.0
할리스커피 나주빛가람혁신점, 전남 나주시 배멧3길 5-4, 0, 0.0
할리스 전북고창점, 전북 고창군 고창읍 중앙로 195, 2, 0.0
할리스 전북부안점, 전북 부안군 부안읍 석정로 269, 2, 3.7
할리스 군산수송점, 전북 군산시 수송북로 22 1층, 10, 4.0
할리스 군산미장점, 전북 군산시 미장안길 54 통큰타운3동 105호, 5, 4.0
할리스 월곶점, 경기 시흥시 월곶중앙로 63, 1, 5.0
할리스 스틸랜드점, 경기 시흥시 오이도로 21 STEELLAND 1층, 1, 4.0
할리스 인천구월로데오점, 인천 남동구 인하로 497-24 조한빌딩 1층, 11, 1.8
할리스 부평로데오점, 인천 부평구 시장로 17-1 인일빌딩 1~3층, 16, 3.7
할리스 부천송내본점, 경기 부천시 송내대로73번길 21 1층, 4, 4.3
할리스 간석오거리점, 인천 남동구 남동대로 931, 2, 4.2
할리스 인천시청점, 인천 남동구 남동대로799번길 36, 6, 0.0
할리스 부천심곡점, 경기 부천시 장말로 376 1층, 5, 5.0
할리스 간석역남부점, 인천 남동구 석산로 11, 0, 3.0
할리스 2001아울렛부평점, 인천 부평구 경원대로 1277 A동 1층, 5, 1.5
할리스 부천순천향병원점, 경기 부천시 조마루로 170 본관 지하1층, 0, 0.0
할리스 부천중동점, 경기 부천시 소향로 203 메트로팰리스1차 B동 1층 109,110호, 0, 1.6
할리스 김포한강생태공원점, 경기 김포시 김포한강11로 452 1,2층, 36, 4.0
할리스 라페스타입구점, 경기 고양시 일산동구 중앙로1275번길 38-15 삼희포시즌프라자 1층, 6, 5.0
할리스 김포시청점, 경기 김포시 김포대로 847 중앙프라자 1,2층 105,204호, 7, 5.0
