name, address, review, score
빽다방 제주동광육거리점, 제주특별자치도 서귀포시 안덕면 신화역사로 502 1층, 3, 1.8
빽다방 제주애월좋은마트점, 제주특별자치도 제주시 애월읍 일주서로 6679 1층, 2, 3.5
빽다방 목포역점, 전남 목포시 수문로 9, 5, 2.6
빽다방 목포여객터미널점, 전남 목포시 해안로 189-1 1층, 0, 0.0
빽다방 목포북항골든점, 전남 목포시 원산중앙로 10 한성골든빌 1층 105호, 2, 4.0
빽다방 태안터미널점, 충남 태안군 태안읍 동백로 307, 3, 0.0
빽다방 호텔더본제주점, 제주특별자치도 서귀포시 색달로 18, 55, 3.1
빽다방 서귀포하원점, 제주특별자치도 서귀포시 일주서로 443 1층, 1, 4.6
빽다방 빵연구소 제주연동점, 제주특별자치도 제주시 신광로10길 27 1층, 2, 5.0
빽다방 탐라도서관점, 제주특별자치도 제주시 노형6길 27 1층, 0, 4.5
빽다방 제주연북로점, 제주특별자치도 제주시 과원북4길 19 1층, 1, 4.0
빽다방 제주노형뜨란채점, 제주특별자치도 제주시 수덕로 35, 0, 4.2
빽다방 제주평화로SK점, 제주특별자치도 제주시 해안동 2171 1층, 0, 5.0
빽다방 제주제원점, 제주특별자치도 제주시 신광로 56, 2, 5.0
빽다방 제주외도점, 제주특별자치도 제주시 우정로15길 1 104호, 1, 2.5
빽다방베이커리 제주사수점, 제주특별자치도 제주시 서해안로 291-5 1,2층, 519, 4.3
빽다방 목포평화광장점, 전남 목포시 원형로 4-1 1층, 3, 3.7
빽다방 삼호대불점, 전남 영암군 삼호읍 대불주거5로 6 G플레이스 102호, 0, 0.0
빽다방 목포장미의거리점, 전남 목포시 비파로51번길 31 1층, 2, 5.0
빽다방 무안남악시장점, 전남 무안군 삼향읍 남악5로48번길 5 1층 101호, 1, 3.7
빽다방 목포석현점, 전남 목포시 영산로 626, 0, 2.5
빽다방 무안전남도청점, 전남 무안군 삼향읍 남악3로82번길 14 107호, 5, 5.0
빽다방 목포용해점, 전남 목포시 연산백련로 13, 1, 5.0
빽다방 목포용당점, 전남 목포시 영산로 257, 1, 0.0
빽다방 목포상동점, 전남 목포시 옥암로 182 1층, 2, 0.0
