name, address, review, score
스타벅스 제주송악산점, 제주특별자치도 서귀포시 대정읍 형제해안로 322 1~2층, 95, 3.5
스타벅스 제주에듀시티점, 제주특별자치도 서귀포시 대정읍 에듀시티로 36, 9, 3.8
스타벅스 제주협재점, 제주특별자치도 제주시 한림읍 한림로 337, 257, 3.4
스타벅스 제주협재점 주차장, 제주특별자치도 제주시 한림읍 한림로 337, 0, 0.0
스타벅스 제주신화월드R점, 제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층 29호, 93, 3.7
스타벅스 제주애월DT점, 제주특별자치도 제주시 애월읍 애월해안로 376, 291, 3.4
스타벅스 제주애월DT점 주차장, 제주특별자치도 제주시 애월읍 고내리 340, 1, 0.0
스타벅스 목포북항DT점, 전남 목포시 고하대로 694, 19, 3.6
스타벅스 목포북항DT점 주차장, 전남 목포시 산정동 1750-8, 0, 4.0
스타벅스 제주중문점, 제주특별자치도 서귀포시 중문관광로110번길 32, 319, 3.4
스타벅스 제주중문DT점, 제주특별자치도 서귀포시 천제연로 95, 104, 3.1
스타벅스 제주중문DT점 주차장, 제주특별자치도 서귀포시 색달동 2476-1, 0, 0.0
스타벅스 제주중문점 주차장, 제주특별자치도 서귀포시 중문관광로110번길 32, 0, 0.0
스타벅스 제주노형점, 제주특별자치도 제주시 도령로 27, 80, 4.3
스타벅스 제주외도DT점, 제주특별자치도 제주시 일주서로 7300, 91, 4.0
스타벅스 제주노형공원점, 제주특별자치도 제주시 연북로 12 이레하이텔 101, 15, 3.9
스타벅스 제주노형DT점, 제주특별자치도 제주시 월랑로 68, 5, 5.0
스타벅스 신제주이마트점, 제주특별자치도 제주시 1100로 3348 이마트신제주점 1층, 23, 3.9
스타벅스 제주외도DT점 주차장, 제주특별자치도 제주시 일주서로 7300, 0, 0.0
스타벅스 제주용담DT점, 제주특별자치도 제주시 서해안로 380 1층, 381, 3.7
스타벅스 제주용담DT점 주차장, 제주특별자치도 제주시 용담삼동 2572-4, 0, 0.0
스타벅스 목포평화광장점, 전남 목포시 미항로 137, 26, 3.8
스타벅스 목포남악점, 전남 무안군 삼향읍 남악3로82번길 11 102호, 5, 2.3
스타벅스 목포옥암점, 전남 목포시 백년대로375번길 1, 2, 4.0
스타벅스 목포하당점, 전남 목포시 백년대로 293, 9, 5.0
스타벅스 전남도청DT점, 전남 무안군 삼향읍 남악3로 54, 18, 3.2
스타벅스 목포터미널DT점, 전남 목포시 영산로 495, 10, 4.3
스타벅스 전남도청DT점 주차장, 전남 무안군 삼향읍 남악리 2150, 0, 0.0
스타벅스 목포터미널DT점 주차장, 전남 목포시 영산로 495, 0, 0.0
스타벅스 서산호수점, 충남 서산시 호수공원2로 33 1,2층, 23, 4.6
스타벅스 서산예천DT점, 충남 서산시 나무장1길 22, 14, 3.6
스타벅스 서산예천DT점 주차장, 충남 서산시 예천동 696-15, 0, 0.0
스타벅스 인천공항랜드점, 인천 중구 공항로 272 여객터미널 지하1층 2-40-02구역, 4, 3.2
스타벅스 인천공항중앙점, 인천 중구 공항로 272 인천국제공항여객터미널 FB P5 73, 3, 2.8
스타벅스 인천공항T2입국점, 인천 중구 운서동 2868 제2여객터미널 1층 환영홀지역 23-202, 2, 3.0
스타벅스 인천공항T2출국점, 인천 중구 운서동 2868 3층, 0, 4.0
스타벅스 인천공항T2에어점, 인천 중구 운서동 2868 제2여객터미널 3층 탑승지역 25-235, 0, 3.0
스타벅스 서귀포DT, 제주특별자치도 서귀포시 일주서로 11, 87, 3.2
스타벅스 서귀포올레점, 제주특별자치도 서귀포시 중정로 69 동명백화점, 41, 3.6
스타벅스 제주도남DT점, 제주특별자치도 제주시 연북로 394, 52, 3.2
스타벅스 제주도남DT점 주차장, 제주특별자치도 제주시 도남동 377, 0, 5.0
스타벅스 제주칠성점, 제주특별자치도 제주시 관덕로 55, 75, 3.9
스타벅스 제주시청점, 제주특별자치도 제주시 중앙로 215, 55, 3.8
스타벅스 제주공항DT점, 제주특별자치도 제주시 월성로 42, 36, 2.1
스타벅스 제주삼화DT점, 제주특별자치도 제주시 연삼로 884, 39, 4.4
