" ","매출액(백만원)","인건비(백만원)","종사자 수(명)"
"가정용 세탁업",424164,50015,7013
"기타 프랜차이즈",8307183,1077176,83596
"김밥, 기타 간이음식점 및 포장 판매점",3038957,418145,45411
"두발 미용업",1042899,293406,19790
"문구용품 및 회화용품 소매업",679804,52854,4378
"생맥주 및 기타 주점업",1527710,235462,25387
"안경 및 렌즈 소매업",1021605,160151,8566
"외국식 음식점업",2745232,607215,37068
"의약품 및 의료용품 소매업",4281044,278043,12873
"자동차 전문 수리업",2970136,710596,24758
"제과점업",3079086,366826,33604
"체인화 편의점",22878757,1783726,190149
"치킨전문점",5421419,409338,62502
"커피 및 기타 비알코올 음료점업",3815097,760676,77589
"피자/ 햄버거/ 샌드위치 및 유사 음식점업",4087331,624666,55946
"한식 음식점업",8939579,1549354,113788
