floor,deposit,rent,key_money,address,area,restroom,elevator,parking,etc
1,10000,10000,0,제주시 연동,80,2,1,12,
2,4500,4500,0,제주시 연동,80,2,1,12,
3,4500,4500,0,제주시 연동,80,2,1,12,
1,11700,2000,2000,제주시 이도이동,20,1,0,4,
2,2500,2000,0,제주시 이도이동,73,2,1,8,
1,1200,1200,0,제주시 일도이동,20,1,0,0,
1,3500,3500,0,제주시 외도일동,40,2,1,5,
1,500,900,0,제주시 이도일동,12,1,0,0,
2,1000,1000,0,제주시 화북일동,52,2,0,0,
2,3000,3000,0,제주시 용담이동,50,1,1,8,
3,2500,2500,0,제주시 용담이동,50,1,1,8,
4,2000,2000,0,제주시 용담이동,50,1,1,8,
1,700,700,0,제주시 조천읍,15,1,0,10,
1,2000,2000,0,제주시 구좌읍,96,1,0,6,
2,2000,2000,0,제주시 구좌읍,30,1,0,6,
1,2000,2500,0,제주시 삼도일동,72,1,0,0,
1,1500,1500,0,제주시 아라일동,15,1,0,10,
2,2500,2500,0,제주시 외도일동,47,2,0,4,
1,2000,2750,1500,제주시 도남동,39,1,0,12,
1,1000,800,0,제주시 이도이동,20,1,0,0,
1,2000,1700,0,제주시 이도이동,17,1,0,4,
1/2,3000,3000,0,제주시 애월읍,45,2,0,5,복층/외부화장실
1,2000,2000,0,제주시 조천읍,42,1,0,6,
2,1500,1500,0,제주시 조천읍,42,1,0,6,
2,3000,2800,0,제주시 이도이동,70,2,0,10,
1,1800,1800,0,제주시 도남동,20,1,1,1,
3,2000,2000,0,제주시 도두이동,25,2,1,20,외부화장실
1,2000,2000,0,제주시 외도일동,25,2,0,6,
1,1000,2000,0,제주시 아라이동,30,1,0,5,
3,1000,1200,0,제주시 삼도일동,60,1,0,0,
1,2500,2250,0,제주시 조천읍,35,1,0,5,외부화장실
1,5000,4500,0,제주시 연동,50,1,0,0,
1,3500,3500,0,제주시 아라이동,69,2,1,1,
1,2500,2500,0,제주시 이도이동,50,2,0,5,
1/2,10000,12000,0,제주시 연동,152,2,0,12,복층
2,700,700,0,제주시 삼도일동,25,1,0,0,
1,3000,2200,0,제주시 아라일동,41,1,0,2,
1,2000,2200,0,제주시 노형동,22,1,1,40,외부화장실
1,500,1000,0,제주시 삼도이동,20,1,0,0,외부화장실
2,2000,1500,0,제주시 노형동,55,1,0,5,
1,10000,6000,0,제주시 노형동,88,2,1,11,
2/3,4000,4000,0,제주시 아라일동,95,1,0,16,2층 71p/3층 24p
1/2,5000,5000,0,제주시 애월읍,69,2,0,12,A동 1층 30p/2층 24p/B동 1층 15p
1,2000,2000,0,서귀포시 대정읍 신도리,30,2,0,8,
1,1500,1700,0,제주시 일도이동,25,1,0,1,
1,2000,2000,0,제주시 연동,33,1,1,4,
1,4000,4000,0,제주시 노형동,35,2,0,8,외부화장실
4,2000,1400,0,제주시 삼도이동,72,1,1,9,
1,2000,1500,0,제주시 화북일동,17,1,0,4,외부화장실
1/2,3000,4000,0,제주시 도남동,41,2,0,0,복층
1,3000,2000,0,제주시 애월읍,22,1,0,1,
2,2000,1800,0,제주시 오라삼동,26,2,1,6,
1,2000,2160,0,제주시 삼양이동,26,2,0,6,외부화장실
2,1500,1500,0,제주시 도련일동,37,1,0,2,
1,1000,1000,0,제주시 노형동,20,1,0,1,외부화장실
1,1500,1400,0,제주시 이도일동,28,1,0,0,외부화장실
1,1000,1000,0,제주시 이도이동,40,2,0,2,
1,3000,3200,0,제주시 이도이동,40,1,0,4,
1,1000,1300,0,제주시 구좌읍,22,1,0,2,
1,2000,1900,0,제주시 삼양일동,30,1,0,4,
2,1000,1000,0,제주시 화북일동,20,1,0,4,외부화장실
1,3000,3000,0,제주시 용담이동,95,1,0,8,
1,1000,1000,0,제주시 도련이동,10,1,0,4,
