num,si,dong,x,y
1,제주시,건입동,126.5445896,33.5170777
2,제주시,구좌읍,126.8520445,33.5225711
3,제주시,노형동,126.4772312,33.483098
4,제주시,도두동,126.4681486,33.5031235
5,제주시,봉개동,126.5949431,33.4914049
6,제주시,삼도1동,126.5182829,33.5036792
7,제주시,삼도2동,126.5221714,33.5118173
8,제주시,삼양동,126.5859702,33.5216232
9,제주시,아라동,126.5450031,33.4763498
10,제주시,애월읍,126.3295244,33.4619478
11,제주시,연동,126.4968963,33.4881257
12,제주시,오라동,126.5116727,33.4951531
13,제주시,외도동,126.4322912,33.4931521
14,제주시,용담1동,126.5137552,33.5095955
15,제주시,용담2동,126.5117554,33.5114842
16,제주시,우도면,126.953361,33.5064911
17,제주시,이도1동,126.5255881,33.5084288
18,제주시,이도2동,126.5353375,33.4969863
19,제주시,이호동,126.4580386,33.4996238
20,제주시,일도1동,126.5265039,33.515012
21,제주시,일도2동,126.5383639,33.5115126
22,제주시,조천읍,126.6342455,33.5344076
23,제주시,추자면,126.2961287,33.9636825
24,제주시,한경면,126.184217,33.3501173
25,제주시,한림읍,126.2671535,33.4103985
26,제주시,화북동,126.5655282,33.520234
27,서귀포시,남원읍,126.7207056,33.2799141
28,서귀포시,대륜동,126.5115113,33.2481539
29,서귀포시,대정읍,126.2522254,33.2268151
30,서귀포시,대천동,126.4775984,33.2507361
31,서귀포시,동홍동,126.5671727,33.2663197
32,서귀포시,서홍동,126.5507293,33.2639577
33,서귀포시,성산읍,126.8767558,33.3810625
34,서귀포시,송산동,126.5660903,33.2450722
35,서귀포시,안덕면,126.3371482,33.2496801
36,서귀포시,영천동,126.5869758,33.2687917
37,서귀포시,예래동,126.3979667,33.2542904
38,서귀포시,정방동,126.5655063,33.24646
39,서귀포시,중문동,126.4348243,33.2514303
40,서귀포시,중앙동,126.5651453,33.2507375
41,서귀포시,천지동,126.5612847,33.2479047
42,서귀포시,표선면,126.831638,33.326494
43,서귀포시,효돈동,126.6155853,33.2629589
