쿰다카페, 카페, 제주특별자치도 제주시 노형로 21, 3, 2.0
버드아일랜드 앵무새카페, 카페, 제주특별자치도 제주시 노형로 82, 27, 3.5
빽다방 제주평화로SK점, 카페, 제주특별자치도 제주시 해안동 2171 1층, 0, 5.0
두갓, 카페, 제주특별자치도 제주시 해안마을북길 13-39, None, None
스테이위드커피, 카페, 제주특별자치도 제주시 해안마을5길 29, None, None
노형로 22번가, 카페, 제주특별자치도 제주시 노형로 22, None, None
제주1번가미니버스쏠라티투어, 렌트카, 제주특별자치도 제주시 노형로 22, None, None
제주나인리조트, 콘도, 제주특별자치도 제주시 해안마을북길 14-5, 5, 0.0
노형수퍼마ㅤㅋㅔㅌ, 문화시설, 제주특별자치도 제주시 노형로 89, 616, 3.6
제주샹그릴라호텔앤리조트, 호텔, 제주특별자치도 제주시 해안마을북길 14-6, 42, 3.6
호텔펄리, 호텔, 제주특별자치도 제주시 노형로 79, 6, 4.2
월산새마을문고, 도서관, 제주특별자치도 제주시 월산남길 5, 0, 0.0
조밤나무집, 펜션, 제주특별자치도 제주시 월산남길 60-8, 0, 0.0
귤밭스테이, 펜션, 제주특별자치도 제주시 월산남길 60-8, 16, 0.0
심플하우스, 펜션, 제주특별자치도 제주시 월산남2길 68, 0, 0.0
해길하우스펜션, 펜션, 제주특별자치도 제주시 월산남길 46, 1, 3.0
지우하우스, 펜션, 제주특별자치도 제주시 월산남길 14, 0, 3.0
해안정육식당, 음식점, 제주특별자치도 제주시 노형로 22, 12, 4.3
화남정, 음식점, 제주특별자치도 제주시 노형로 44, 6, 4.7
마초면탁해안, 음식점, 제주특별자치도 제주시 노형로 89, 17, 4.7
BHC치킨 제주무수천점, 음식점, 제주특별자치도 제주시 노형로 44, 13, 4.1
계구리가든, 음식점, 제주특별자치도 제주시 해안마을북길 9, 2, 4.5
제주하르방식품, 음식점, 제주특별자치도 제주시 해안마을북길 41-7, 0, 0.0
제주나인리조트 구내식당, 음식점, 제주특별자치도 제주시 해안마을북길 14-5, 0, 0.0
토담이네, 음식점, 제주특별자치도 제주시 노형로 27-10, None, None
언플러그, 음식점, 제주특별자치도 제주시 해안마을길 43, None, None
푸른밤의해안속초식당, 음식점, 제주특별자치도 제주시 노형로 40, None, None
김도희의갈치창고, 음식점, 제주특별자치도 제주시 노형로 121, None, None
노랑해바라기김밥, 음식점, 제주특별자치도 제주시 노형로 121, None, None
단수이카스테라 인제주해안점, 음식점, 제주특별자치도 제주시 노형로 44, None, None
유퉁의국밥집, 음식점, 제주특별자치도 제주시 노형로 120-1, None, None
해성사, 사찰, 제주특별자치도 제주시 해안마을북길 13-46, None, None
제주아트리움공연장, 문화시설, 제주특별자치도 제주시 노형로 89, 1, 2.5
해안회성푸르니, 아파트, 제주특별자치도 제주시 노형로 66-4, 56, 0.0
노형이레빌1차, 아파트, , None, 0.0
노형이레빌1차 다동, 아파트, , None, 0.0
