곤을커피, 카페, 제주특별자치도 제주시 곤을서길 7, None, None
빈커피앤와인모어, 카페, 제주특별자치도 제주시 일주동로 188, 0, 5.0
알록, 카페, 제주특별자치도 제주시 일주동로 183, 2, 5.0
허브로틴원, 카페, 제주특별자치도 제주시 일주동로 183, 0, 5.0
무우수 홀리데이, 카페, 제주특별자치도 제주시 진남로 36, 17, 5.0
귀리공장, 카페, 제주특별자치도 제주시 진남로10길 44, 0, 0.0
일공오이, 카페, 제주특별자치도 제주시 진남로6길 23, 0, 3.5
수상한언니들, 카페, 제주특별자치도 제주시 진남로6길 20, 0, 0.0
은정다육공방카페, 카페, 제주특별자치도 제주시 진동로3길 11, 0, 0.0
애랑과배비장카페, 카페, 제주특별자치도 제주시 화북일동 4372, 0, 0.0
이디야커피 제주화북점, 카페, 제주특별자치도 제주시 동화로 12, 1, 3.7
베이킹카페, 카페, 제주특별자치도 제주시 화삼로 9, 0, 5.0
프레페레, 카페, 제주특별자치도 제주시 청풍남8길 25-4, 0, 0.0
폴업커피, 카페, 제주특별자치도 제주시 청풍남8길 25-4, 0, 0.0
에이바우트커피 화북남문점, 카페, 제주특별자치도 제주시 진서로 1, None, None
컴포즈커피 화북공단점, 카페, 제주특별자치도 제주시 화남로 65, None, None
빽다방 제주화북남문점, 카페, 제주특별자치도 제주시 일주동로 185, None, None
88로스터즈, 카페, 제주특별자치도 제주시 금산5길 35-1, None, None
머스크, 카페, 제주특별자치도 제주시 진동로3길 30, None, None
맥키쉬, 카페, 제주특별자치도 제주시 진남로 51-1, None, None
피카커피, 카페, 제주특별자치도 제주시 진동로5길 9, None, None
카페봄봄 화북점, 카페, 제주특별자치도 제주시 진동로 55, None, None
제주몽떼, 카페, 제주특별자치도 제주시 진남로10길 27, None, None
소양글멋그리기, 카페, 제주특별자치도 제주시 진남로6길 44, None, None
에이바우트커피 삼화점, 카페, 제주특별자치도 제주시 동화로 56, None, None
픽스커피 화북공단점, 카페, 제주특별자치도 제주시 청풍남8길 55, None, None
윌리코키, 카페, 제주특별자치도 제주시 일주동로 233, None, None
블러썸, 카페, 제주특별자치도 제주시 동화로 12-13, None, None
화북성당, 성당, 제주특별자치도 제주시 청풍남8길 14, 0, 0.0
제주아름다운교회, 교회, 제주특별자치도 제주시 연삼로 714, 0, 0.0
화북소망교회, 교회, 제주특별자치도 제주시 일주동로 179, 0, 0.0
늘사랑교회, 교회, 제주특별자치도 제주시 일주동로 197, 0, 0.0
제주교회, 교회, 제주특별자치도 제주시 거로남10길 42-5, 0, 0.0
제주화북교회, 교회, 제주특별자치도 제주시 진남로6길 31, 1, 5.0
제주은총교회, 교회, 제주특별자치도 제주시 진남로2길 32, 0, 0.0
화북서광교회, 교회, 제주특별자치도 제주시 진남로8길 21, 0, 0.0
함께하는교회, 교회, 제주특별자치도 제주시 진동로5길 45, 0, 0.0
늘사랑교회, 교회, 제주특별자치도 제주시 진동로5길 30, 0, 0.0
제주중앙 그리스도의교회, 교회, 제주특별자치도 제주시 진동로 12, 0, 0.0
제주그린교회, 교회, 제주특별자치도 제주시 일주동로 250, 0, 0.0
갤러리 하샤마임, 문화시설, 제주특별자치도 제주시 청풍남8길 12-2, 0, 0.0
맬록게스트하우스, 게스트하우스, 제주특별자치도 제주시 진서로 58-3, 0, 4.5
우리하우스, 게스트하우스, 제주특별자치도 제주시 별도봉길 7, None, None
쉐어하우스살레, 게스트하우스, 제주특별자치도 제주시 일주동로 255, None, None
편안한마취통증의학과의원, 병원, 제주특별자치도 제주시 일주동로 199, 0, 4.0
보스톤치과, 병원, 제주특별자치도 제주시 일주동로 227, 0, 4.0
제주필의원, 병원, 제주특별자치도 제주시 일주동로 229, 0, 2.0
이중철치과의원, 병원, 제주특별자치도 제주시 일주동로 179, 0, 5.0
제일한의원, 병원, 제주특별자치도 제주시 진남로6길 6, 0, 0.0
건강369의원, 병원, 제주특별자치도 제주시 일주동로 227, 0, 0.0
청아치과의원, 병원, 제주특별자치도 제주시 일주동로 189, 0, 3.0
더맑은이비인후과의원, 병원, 제주특별자치도 제주시 동화로 28, 0, 4.0
화북성모안과의원, 병원, 제주특별자치도 제주시 일주동로 250, 0, 4.0
꿀의원, 병원, 제주특별자치도 제주시 동화로 28, 0, 3.0
문성철정형외과의원, 병원, 제주특별자치도 제주시 일주동로 241, 0, 4.0
경희미르애한의원, 병원, 제주특별자치도 제주시 동화로 10, 1, 5.0
VIP치과의원, 병원, 제주특별자치도 제주시 일주동로 246, 0, 5.0
경희요한한의원, 병원, 제주특별자치도 제주시 동화로 3, 0, 3.0
화북용한의원, 병원, 제주특별자치도 제주시 일주동로 260, 0, 5.0
365경희부부한의원 화북점, 병원, 제주특별자치도 제주시 일주동로 187, None, None
박봉철내과의원, 병원, 제주특별자치도 제주시 일주동로 197, None, None
연세가정의학과의원, 병원, 제주특별자치도 제주시 일주동로 179, None, None
동그라미한의원, 병원, 제주특별자치도 제주시 일주동로 229, None, None
제주아이치과의원, 병원, 제주특별자치도 제주시 동화로 50, None, None
명인플러스의원, 병원, 제주특별자치도 제주시 동화로 30, None, None
누가제통마취통증의학과의원, 병원, 제주특별자치도 제주시 청풍남8길 73, None, None
이치과의원, 병원, 제주특별자치도 제주시 동화로 28, None, None
김원플란트치과의원, 병원, 제주특별자치도 제주시 화삼로 11, None, None
강윤종소아청소년과의원, 병원, 제주특별자치도 제주시 일주동로 255, None, None
청풍작은도서관, 도서관, 제주특별자치도 제주시 청풍길 13, 1, 0.0
삼화2차부영새마을작은도서관, 도서관, 제주특별자치도 제주시 화삼로 12, 0, 0.0
화북1단지새마을작은도서관, 도서관, 제주특별자치도 제주시 동화로1길 11, 0, 0.0
열린새마을작은도서관, 도서관, 제주특별자치도 제주시 동화로1길 10, None, None
월마켓, 대형마트, 제주특별자치도 제주시 일주동로 233, 0, 3.2
애랑과배비장의집, 펜션, 제주특별자치도 제주시 곤을길 46, 1, 3.0
푸른달, 숙박, 제주특별자치도 제주시 진북길 13, 6, 5.0
푸른달, 숙박, 제주특별자치도 제주시 진북길 13, 6, 5.0
푸른달, 숙박, 제주특별자치도 제주시 진북길 13, 6, 5.0
고창댁풍천장어갈비, 음식점, 제주특별자치도 제주시 동제원길 42, 8, 3.8
대독장 화북점, 음식점, 제주특별자치도 제주시 일주동로 87, 7, 2.6
제주시듬삭헌국밥집, 음식점, 제주특별자치도 제주시 동제원길 18, 4, 5.0
별도봉오리사냥, 음식점, 제주특별자치도 제주시 별도봉길 7, 1, 5.0
용가리네와플씨, 음식점, 제주특별자치도 제주시 일주동로 103, 0, 0.0
오현구내매점, 음식점, 제주특별자치도 제주시 일주동로 101, 0, 0.0
다맛국수, 음식점, 제주특별자치도 제주시 화남로 47, 2, 5.0
윤가네뼈다귀해장국, 음식점, 제주특별자치도 제주시 화남로 53, 3, 5.0
금성해장국 황금닭갈비, 음식점, 제주특별자치도 제주시 화남로 62, 0, 0.0
공단반점, 음식점, 제주특별자치도 제주시 화남로 62, 1, 4.0
다올밥상, 음식점, 제주특별자치도 제주시 선반로6길 21, 0, 0.0
순이네밥집, 음식점, 제주특별자치도 제주시 선반로 46, 0, 0.0
춘풍설렁탕 화북공업점, 음식점, 제주특별자치도 제주시 화남로 47, 0, 0.0
소선우식당, 음식점, 제주특별자치도 제주시 선반남2길 25, 1, 5.0
먹고보자식당, 음식점, 제주특별자치도 제주시 선반로 40, 2, 5.0
바당각재기, 음식점, 제주특별자치도 제주시 선반로6길 21, 0, 0.0
현아식당, 음식점, 제주특별자치도 제주시 화남로 37, 0, 0.0
삼시세끼, 음식점, 제주특별자치도 제주시 선반남1길 72, 1, 5.0
언니네집, 음식점, 제주특별자치도 제주시 선반남1길 72, 0, 0.0
빵을굽는사람들 제주본점, 음식점, 제주특별자치도 제주시 연삼로 776, 0, 0.0
호남정식, 음식점, 제주특별자치도 제주시 선반로 29, 1, 1.0
신시골뚝배기, 음식점, 제주특별자치도 제주시 선반로 19, 0, 0.0
맛나하우스, 음식점, 제주특별자치도 제주시 화남로 22, 0, 0.0
족발삼형제, 음식점, 제주특별자치도 제주시 진서로 4, 0, 0.0
산방식당 화북점, 음식점, 제주특별자치도 제주시 선반로 67, 18, 4.3
24시뼈다귀탕 삼화점, 음식점, 제주특별자치도 제주시 일주동로 222, 1, 5.0
어울림회센타, 음식점, 제주특별자치도 제주시 진동로1길 11, 5, 5.0
던킨 제주화북점, 음식점, 제주특별자치도 제주시 진남로6길 4, 4, 3.8
굽네치킨 화북삼양점, 음식점, 제주특별자치도 제주시 진동로1길 13, 3, 4.7
이디가카, 음식점, 제주특별자치도 제주시 진남로6길 14, 3, 4.0
제주올레떡집, 음식점, 제주특별자치도 제주시 일주동로 189, 3, 4.7
네네치킨 화북삼양점, 음식점, 제주특별자치도 제주시 진남로6길 9, 3, 5.0
불을품은닭 본점, 음식점, 제주특별자치도 제주시 진남로6길 2, 1, 5.0
젬마손, 음식점, 제주특별자치도 제주시 진동로 3, 7, 4.6
대부식당, 음식점, 제주특별자치도 제주시 선반로 83, 2, 4.5
항아리숯불닭족발바베큐, 음식점, 제주특별자치도 제주시 진남로6길 10, 1, 1.0
이찌마라, 음식점, 제주특별자치도 제주시 진남로6길 3, 4, 5.0
화북옛통치킨, 음식점, 제주특별자치도 제주시 진남로6길 12, 1, 5.0
빵굽는작은마을, 음식점, 제주특별자치도 제주시 진동로1길 13, 5, 4.6
프라이드프라이드, 음식점, 제주특별자치도 제주시 진남로6길 11, 2, 4.5
떡꼬치전문점, 음식점, 제주특별자치도 제주시 진남로6길 8, 3, 3.7
단지식당, 음식점, 제주특별자치도 제주시 선반로 78, 0, 0.0
상구비어 화복남문점, 음식점, 제주특별자치도 제주시 진남로6길 9, 0, 0.0
그냥술집, 음식점, 제주특별자치도 제주시 진동로1길 13, 0, 0.0
돈짬 화북점, 음식점, 제주특별자치도 제주시 진남로4길 1, 2, 4.5
석정삼계탕, 음식점, 제주특별자치도 제주시 진서로 33-3, 8, 5.0
귀동이네, 음식점, 제주특별자치도 제주시 진동로5길 3, 1, 5.0
올레맛집, 음식점, 제주특별자치도 제주시 진남로 21, 0, 0.0
요맛 화북점, 음식점, 제주특별자치도 제주시 진남로 21-37, 0, 0.0
착한튀김, 음식점, 제주특별자치도 제주시 진남로6길 20, 34, 4.3
이순애 소문난순대국밥 본점, 음식점, 제주특별자치도 제주시 진남로6길 36, 12, 3.8
신춘반점, 음식점, 제주특별자치도 제주시 진동로5길 30, 4, 3.8
행복맛집, 음식점, 제주특별자치도 제주시 진남로6길 32, 10, 4.1
순덕이네왕갈비, 음식점, 제주특별자치도 제주시 진남로10길 34, 1, 5.0
서도가든, 음식점, 제주특별자치도 제주시 청풍길 4, 3, 5.0
써니왕갈비탕, 음식점, 제주특별자치도 제주시 진남로8길 17-1, 1, 3.0
주먹밥이야기, 음식점, 제주특별자치도 제주시 진동로3길 23, 6, 5.0
화북송가네감자탕, 음식점, 제주특별자치도 제주시 진동로3길 25, 4, 4.8
돈만땅, 음식점, 제주특별자치도 제주시 진동로5길 20, 1, 5.0
어우렁더우렁, 음식점, 제주특별자치도 제주시 진동로5길 40, 1, 4.0
억수식당, 음식점, 제주특별자치도 제주시 진남로8길 25, 2, 1.5
내가찾은맛고을, 음식점, 제주특별자치도 제주시 진남로8길 39, 1, 5.0
호봉토스트 화북점, 음식점, 제주특별자치도 제주시 진동로3길 24, 0, 0.0
버거랩, 음식점, 제주특별자치도 제주시 진남로6길 22-4, 1, 5.0
부가네얼큰이 화북점, 음식점, 제주특별자치도 제주시 진동로5길 20, 0, 0.0
