스튜던트스토어&카페테리아, 카페, 제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 36, 0, 0.0
스타벅스 제주에듀시티점, 카페, 제주특별자치도 서귀포시 대정읍 에듀시티로 36, 9, 3.8
행복구두수선카페, 카페, 제주특별자치도 서귀포시 안덕면 녹차분재로 217, 0, 5.0
쏘셜클럽, 카페, 제주특별자치도 서귀포시 대정읍 에듀시티로 36, None, None
영어마을교회, 교회, 제주특별자치도 서귀포시 대정읍 에듀시티로 44, None, None
이스톤의원, 병원, 제주특별자치도 서귀포시 대정읍 에듀시티로 102, None, None
BBQ 제주영어교육도시점, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 40, 5, 4.2
맘스터치 제주에듀시티점, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 42, 4, 1.3
제이제이케터링BHA, 음식점, 제주특별자치도 서귀포시 대정읍 글로벌에듀로 234, 0, 0.0
뱅인타코, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 74, None, None
뚜레쥬르 제주영어도시점, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 102, None, None
버거오클락, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로50번길 6, None, None
베이크샵스니프, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 23, None, None
파리바게뜨 제주영어도시점, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 44, None, None
퀴즈노스서브 제주영어교육도시점, 음식점, 제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 40, None, None
저스트피자, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 38, None, None
굽네치킨 제주영어도시점, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 23, None, None
피자알볼로 제주영어교육도시점, 음식점, 제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 40, None, None
33떡볶이 제주점, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로50번길 6, None, None
츄미하우스닌카시왈라우예, 음식점, 제주특별자치도 서귀포시 대정읍 에듀시티로 40, None, None
브랭섬홀아시아, 학교, 제주특별자치도 서귀포시 대정읍 글로벌에듀로 234, 5, 4.0
한국국제학교 제주캠퍼스, 학교, 제주특별자치도 서귀포시 대정읍 글로벌에듀로260번길 8, 4, 3.0
세인트존스베리 아카데미 제주, 학교, 제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10, 0, 4.0
국제학교법인 제인스, 학교, 제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10, 0, 0.0
노스런던컬리지잇스쿨 제주캠퍼스, 학교, 제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 33, 2, 2.0
한국국제중학교 제주캠퍼스, 학교, 제주특별자치도 서귀포시 대정읍 글로벌에듀로260번길 34, None, None
라온프라이빗에듀, 아파트, 제주특별자치도 서귀포시 대정읍 에듀시티로 74, 420, 0.0
해동그린앤골드아파트, 아파트, 제주특별자치도 서귀포시 대정읍 에듀시티로 23, 288, 0.0
캐논스빌리지1아파트, 아파트, 제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 46, 108, 0.0
캐논스빌리지2아파트, 아파트, 제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 24, 72, 0.0
한신더휴, 아파트, 제주특별자치도 서귀포시 대정읍 에듀시티로 102, 17, 0.0
