제주신라호텔 풀사이드바, 카페, 제주특별자치도 서귀포시 중문관광로72번길 75, 4, 4.8
제주신라호텔 라운지에스, 카페, 제주특별자치도 서귀포시 중문관광로72번길 75, 12, 0.0
짐보리, 카페, 제주특별자치도 서귀포시 중문관광로72번길 75, 0, 0.0
스위트호텔 커피숍, 카페, 제주특별자치도 서귀포시 중문관광로72번길 67, 0, 0.0
히든클리프호텔 앤 네이쳐 치치라운지, 카페, 제주특별자치도 서귀포시 예래해안로 542, 0, 1.0
망고하이, 카페, 제주특별자치도 서귀포시 일주서로 972, 45, 3.6
이디야커피 제주중문점, 카페, 제주특별자치도 서귀포시 중문관광로 42, 1, 1.0
부커피카페, 카페, 제주특별자치도 서귀포시 천제연로 21, 1, 0.0
더클리프, 카페, 제주특별자치도 서귀포시 중문관광로 154-17, 993, 3.9
이모션오르골카페, 카페, 제주특별자치도 서귀포시 중문관광로 107, 60, 5.0
초콜릿앤드커피, 카페, 제주특별자치도 서귀포시 중문관광로110번길 15, 1, 0.0
스타벅스 제주중문점, 카페, 제주특별자치도 서귀포시 중문관광로110번길 32, 318, 3.4
스타벅스 제주중문DT점, 카페, 제주특별자치도 서귀포시 천제연로 95, 103, 3.1
달페이지, 카페, 제주특별자치도 서귀포시 색달로64번길 51, 25, 4.4
레이지카페, 카페, 제주특별자치도 서귀포시 색달중앙로 37, 0, 0.0
놀멍쉬멍카페테리아 2호점, 카페, 제주특별자치도 서귀포시 천제연로 132, 1, 0.0
카스피, 카페, 제주특별자치도 서귀포시 천제연로 178-1, 0, 0.0
제주신라호텔 바당, 카페, 제주특별자치도 서귀포시 중문관광로72번길 75, None, None
온루아 제주, 카페, 제주특별자치도 서귀포시 중문관광로72번길 100, None, None
베메로, 카페, 제주특별자치도 서귀포시 중문관광로72번길 29-5, None, None
바다바라, 카페, 제주특별자치도 서귀포시 중문관광로72번길 29-51, None, None
롯데호텔제주 풍차라운지, 카페, 제주특별자치도 서귀포시 중문관광로72번길 35, None, None
프랑제리 켄싱턴리조트 중문점, 카페, 제주특별자치도 서귀포시 중문관광로72번길 29-29, None, None
카페2472, 카페, 제주특별자치도 서귀포시 천제연로 103-15, None, None
갈치카페, 카페, 제주특별자치도 서귀포시 중문관광로 27, None, None
카페1950, 카페, 제주특별자치도 서귀포시 중문관광로 90, None, None
호텔리어스커피, 카페, 제주특별자치도 서귀포시 중문관광로 23-1, None, None
카페소낭, 카페, 제주특별자치도 서귀포시 천제연로 127-1, None, None
제이문커피, 카페, 제주특별자치도 서귀포시 천제연로 172-3, None, None
우지커피 제주중문점, 카페, 제주특별자치도 서귀포시 천제연로 167, None, None
메가MGC커피 제주중문점, 카페, 제주특별자치도 서귀포시 천제연로 182, None, None
카페봄봄 제주서귀중문점, 카페, 제주특별자치도 서귀포시 천제연로 153, None, None
제주신라호텔 글램핑빌리지, 야영, 제주특별자치도 서귀포시 색달동 3039-3 숨비정원, 3, 5.0
롯데호텔제주 글램핑캠핑장, 야영, 제주특별자치도 서귀포시 중문관광로72번길 35, 0, 0.0
야영장, 야영, 제주특별자치도 서귀포시 색달동, 2, 2.5
중문진실캠핑장, 야영, 제주특별자치도 서귀포시 천제연로 132, 3, 1.0
해성파크텔, 유스호스텔, 제주특별자치도 서귀포시 천제연로 158-4, 2, 4.5
롯데렌터카 제주중문롯데호텔지점, 렌트카, 제주특별자치도 서귀포시 중문관광로72번길 35, 1, 4.0
제주렌트카 신라호텔지점, 렌트카, 제주특별자치도 서귀포시 중문관광로72번길 75, None, None
중문성당, 성당, 제주특별자치도 서귀포시 천제연로 149, 4, 0.0
켄싱턴리조트 제주중문, 콘도, 제주특별자치도 서귀포시 중문관광로72번길 29-29, 31, 4.1
씨사이드아덴리조트, 콘도, 제주특별자치도 서귀포시 중문관광로 124, 19, 3.7
더플래닛, 문화시설, 제주특별자치도 서귀포시 색달동 2558, 122, 3.5
그림포레스트, 문화시설, 제주특별자치도 서귀포시 중문관광로110번길 32, 24, 3.2
아임오케이게스트하우스, 게스트하우스, 제주특별자치도 서귀포시 일주서로 874, 2, 1.7
중문신내과의원, 병원, 제주특별자치도 서귀포시 중문로 1, 1, 5.0
중문 한의원, 병원, 제주특별자치도 서귀포시 천제연로 182, 0, 5.0
제중당한의원, 병원, 제주특별자치도 서귀포시 중문로 7, 0, 4.0
백상치과의원, 병원, 제주특별자치도 서귀포시 중문로 1, 0, 0.0
원치과의원, 병원, 제주특별자치도 서귀포시 중문로 7, 2, 4.0
중문삼성연합의원, 병원, 제주특별자치도 서귀포시 중문로 7, None, None
제주신라호텔, 특급호텔, 제주특별자치도 서귀포시 중문관광로72번길 75, 969, 4.4
스위트호텔 제주점, 호텔, 제주특별자치도 서귀포시 중문관광로72번길 67, 112, 3.6
파르나스호텔 제주, 호텔, 제주특별자치도 서귀포시 중문관광로72번길 100, 188, 4.3
블룸호텔, 호텔, 제주특별자치도 서귀포시 중문관광로72번길 53, 40, 3.9
히든클리프호텔&네이쳐, 호텔, 제주특별자치도 서귀포시 예래해안로 542, 572, 3.6
그랜드조선 제주, 특급호텔, 제주특별자치도 서귀포시 중문관광로72번길 60, 383, 2.4
그랜드조선 힐 스위트, 특급호텔, 제주특별자치도 서귀포시 중문관광로72번길 60, 9, 5.0
베니키아중문호텔, 호텔, 제주특별자치도 서귀포시 천제연로 166, 22, 4.0
해리안호텔, 호텔, 제주특별자치도 서귀포시 천제연로 153, 7, 4.8
롯데호텔 제주, 특급호텔, 제주특별자치도 서귀포시 중문관광로72번길 35, None, None
아리아호텔, 호텔, 제주특별자치도 서귀포시 중문관광로 23-1, None, None
아루미호텔 중문, 호텔, 제주특별자치도 서귀포시 색달중앙로 38, None, None
호텔더그랑 중문, 호텔, 제주특별자치도 서귀포시 색달중앙로 19, None, None
그레이스영어작은도서관, 도서관, 제주특별자치도 서귀포시 천제연로 103-15, None, None
박물관은살아있다 제주중문점, 문화시설, 제주특별자치도 서귀포시 중문관광로 42, 243, 3.7
초콜릿랜드, 문화시설, 제주특별자치도 서귀포시 중문관광로110번길 15, 26, 2.6
테디베어뮤지엄 제주점, 문화시설, 제주특별자치도 서귀포시 중문관광로110번길 31, 132, 3.1
리틀프린스뮤지엄, 문화시설, 제주특별자치도 서귀포시 중문관광로110번길 15, 130, 0.0
아일랜드조이, , 제주특별자치도 서귀포시 중문관광로110번길 32, 0, 0.0
그랑빌펜션, 펜션, 제주특별자치도 서귀포시 중문관광로 17, 3, 5.0
귤향기펜션, 펜션, 제주특별자치도 서귀포시 색달로72번길 43, 4, 4.0
해라의성, 펜션, 제주특별자치도 서귀포시 천제연로 103-12, 2, 0.0
이어도성펜션, 펜션, 제주특별자치도 서귀포시 천제연로 113, 0, 0.0
중문그린힐통나무펜션, 펜션, 제주특별자치도 서귀포시 천제연로 103-36, 1, 5.0
해누리펜션, 펜션, 제주특별자치도 서귀포시 색달중앙로 37, 0, 5.0
남쪽나라펜션, 펜션, 제주특별자치도 서귀포시 천제연로 135, 3, 3.0
해성펜션, 펜션, 제주특별자치도 서귀포시 천제연로 131-8, 0, 0.0
굿모닝하우스, 펜션, 제주특별자치도 서귀포시 일주서로 912, 0, 0.0
천제연휴양펜션, 펜션, 제주특별자치도 서귀포시 천제연로 131-7, 0, 0.0
꿈에그린펜션, 펜션, 제주특별자치도 서귀포시 천제연로 65, 0, 0.0
펜션그린사이드, 펜션, 제주특별자치도 서귀포시 천제연로 51, 1, 0.0
루희네하우스, 펜션, 제주특별자치도 서귀포시 일주서로 912, 0, 3.0
제주오션클라우드, 펜션, 제주특별자치도 서귀포시 천제연로178번길 26, 6, 0.0
오션클라우드다성하우스, 펜션, 제주특별자치도 서귀포시 천제연로178번길 26, 0, 0.0
올리수펜션, 펜션, 제주특별자치도 서귀포시 중문로5번길 16, 3, 0.0
제주더잠펜션, 펜션, 제주특별자치도 서귀포시 중문로 3-1, 0, 0.0
일류리조트빌, 펜션, 제주특별자치도 서귀포시 천제연로178번길 14-1, 0, 0.0
장원민박, 숙박, 제주특별자치도 서귀포시 천제연로 49, 1, 3.3
올레꾼단지민박, 숙박, 제주특별자치도 서귀포시 천제연로 83, 0, 0.0
한성민박, 숙박, 제주특별자치도 서귀포시 천제연로178번길 8, 0, 0.0
천제연민박, 숙박, 제주특별자치도 서귀포시 중문로15번길 9-11, 0, 0.0
오르막민박, 숙박, 제주특별자치도 서귀포시 천제연로 142, 0, 1.0
진성민박, 숙박, 제주특별자치도 서귀포시 천제연로178번길 14-1, 0, 0.0
둥지민박, 숙박, 제주특별자치도 서귀포시 천제연로170번길 7, 0, 0.0
만추안, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 100, 4, 4.5
제주한국관, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 88, 0, 0.0
스위트호텔 제주점 라비타, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 67, 0, 0.0
더신라제주 풀가든, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 75, 0, 0.0
스위트호텔 안트레, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 67, 0, 0.0
앙트레 스위트호텔 제주, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 67, 0, 0.0
돈이랑 본점, 음식점, 제주특별자치도 서귀포시 일주서로 953, 1, 18.0
덤장 중문점, 음식점, 제주특별자치도 서귀포시 천제연로 17, 59, 2.7
중문미향해장국 본점, 음식점, 제주특별자치도 서귀포시 일주서로 962, 61, 4.1
목포고을, 음식점, 제주특별자치도 서귀포시 일주서로 968-5, 81, 3.0
탐라는파스타 호텔더본점, 음식점, 제주특별자치도 서귀포시 일주서로 968-8, 33, 3.9
아리아, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 60, 4, 3.5
라운지앤바, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 60, 0, 0.0
주포차, 음식점, 제주특별자치도 서귀포시 일주서로 962, 1, 1.0
중문CC 육모정, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 60, 0, 0.0
제주신라호텔 더 파크뷰, 음식점, 제주특별자치도 서귀포시 중문관광로72번길 75, None, None
