도토관, 카페, 제주특별자치도 제주시 조천읍 신북로 453, 0, 0.0
데스빠시오, 카페, 제주특별자치도 제주시 조천읍 함덕서4길 66, 6, 5.0
스타벅스 제주함덕점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 522, 291, 3.9
리치망고 함덕점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 530, 64, 4.6
오션그랜드호텔커피숍, 카페, 제주특별자치도 제주시 조천읍 조함해안로 490, 0, 0.0
로로카페, 카페, 제주특별자치도 제주시 조천읍 함덕8길 3, 1, 5.0
하양한 함덕점, 카페, 제주특별자치도 제주시 조천읍 신북로 494-2, 2, 5.0
이스턴파트, 카페, 제주특별자치도 제주시 조천읍 함덕남8길 9, 39, 4.9
걸어가는늑대들 전이수갤러리, 카페, 제주특별자치도 제주시 조천읍 조함해안로 556, 64, 4.7
보라지붕, 카페, 제주특별자치도 제주시 조천읍 함덕19길 6, 160, 4.5
사계카페, 카페, 제주특별자치도 제주시 조천읍 조함해안로 576, 24, 4.1
카페타히티, 카페, 제주특별자치도 제주시 조천읍 신북로 470, None, None
델문도, 카페, 제주특별자치도 제주시 조천읍 조함해안로 519-10, None, None
카페바나나 함덕점, 카페, 제주특별자치도 제주시 조천읍 신북로 491-9, None, None
제주 함덕 카페 라라떼커피, 카페, 제주특별자치도 제주시 조천읍 신북로 494, None, None
에이바우트커피 함덕해수욕장점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 526, None, None
빽다방 제주함덕점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 450, None, None
노리파크 제주함덕점, 카페, 제주특별자치도 제주시 조천읍 함덕8길 2-4, None, None
호다, 카페, 제주특별자치도 제주시 조천읍 신북로 497, None, None
망고레이 함덕본사직영점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 504, None, None
메가MGC커피 제주함덕해수욕장점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 528, None, None
설빙 제주함덕점, 카페, 제주특별자치도 제주시 조천읍 신북로 543, None, None
이디야커피 제주함덕해수욕장점, 카페, 제주특별자치도 제주시 조천읍 함덕19길 9, None, None
오카소, 카페, 제주특별자치도 제주시 조천읍 함덕16길 52-1, None, None
카페봄봄 제주함덕점, 카페, 제주특별자치도 제주시 조천읍 신북로 468, None, None
제주클라스, 카페, 제주특별자치도 제주시 조천읍 함덕8길 3, None, None
카페베네 유탑유블레스호텔점, 카페, 제주특별자치도 제주시 조천읍 조함해안로 502, None, None
망고블루, 카페, 제주특별자치도 제주시 조천읍 신북로 536-1, None, None
옛날찻집, 카페, 제주특별자치도 제주시 조천읍 함덕16길 6-6, None, None
코코부코, 카페, 제주특별자치도 제주시 조천읍 신북로 529, None, None
현까페, 카페, 제주특별자치도 제주시 조천읍 함덕18길 1, None, None
카페컴피, 카페, 제주특별자치도 제주시 조천읍 신북로 481-3, None, None
올웨이즈, 카페, 제주특별자치도 제주시 조천읍 조함해안로 432-19, None, None
진명북카페, 카페, 제주특별자치도 제주시 조천읍 함덕24길 6-8, None, None
커피하우스, 카페, 제주특별자치도 제주시 조천읍 함와로 40, None, None
