24955378, 커피별바다잔, 카페, 제주특별자치도 제주시 한경면 한장서길 43, 126.166634285892, 33.2877663933643, 음식점 > 카페 > 커피전문점,제주특별자치도 제주시 한경면 고산리 3864
1191501173, 노을해안1014, 카페, 제주특별자치도 제주시 한경면 노을해안로 1014, 126.168558391537, 33.2976860224785, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 3431-1
1176332551, 수월해지다, 카페, , 126.163457916288, 33.2949515141318, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 3760
316802906, 유가네한우곰탕, 음식점, 제주특별자치도 제주시 한경면 한장중길 4, 126.16494256398849, 33.2906834249269, 음식점 > 한식 > 곰탕,제주특별자치도 제주시 한경면 고산리 3794-4
8964063, 만덕본가, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1163, 126.16548607203794, 33.308916430033904, 음식점 > 한식 > 해물,생선,제주특별자치도 제주시 한경면 고산리 3592-1
26885624, 카페다금바리스타, 카페, 제주특별자치도 제주시 한경면 노을해안로 1166, 126.165227534507, 33.3087785526378, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 3610-4
1849912455, 차귀도놀빛바다, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1142, 126.164510297441, 33.3078739410672, 음식점 > 한식 > 해물,생선 > 회,제주특별자치도 제주시 한경면 고산리 3615
1755221181, 수월봉별난횟집, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1150, 126.164702929729, 33.3083918495679, 음식점 > 한식 > 해물,생선 > 회,제주특별자치도 제주시 한경면 고산리 3614-3
64673969, 대물식당, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1167, 126.16560550979369, 33.30877748510104, 음식점 > 한식 > 해물,생선,제주특별자치도 제주시 한경면 고산리 3593-6
433422696, 아리아식당, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1174, 126.16573603423987, 33.308150852102244, 음식점 > 분식,제주특별자치도 제주시 한경면 고산리 3605-2
149474429, 차귀횟집, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1154, 126.164479485642, 33.3088528649065, 음식점 > 한식 > 해물,생선 > 회,제주특별자치도 제주시 한경면 고산리 3612
747992259, 미식가, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1146, 126.164498217029, 33.3082399069969, 음식점 > 한식 > 해물,생선 > 매운탕,해물탕,제주특별자치도 제주시 한경면 고산리 3615-6
746218953, 해문달술, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1174, 126.16573603423987, 33.308150852102244, 음식점 > 한식 > 해물,생선,제주특별자치도 제주시 한경면 고산리 3605-2
839325267, 바람과언덕, 카페, 제주특별자치도 제주시 한경면 노을해안로 1203-4, 126.16903063617522, 33.30675922923689, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 3581
1587098325, 벤드리, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1195, 126.167863758323, 33.3069560820306, 음식점 > 양식,제주특별자치도 제주시 한경면 고산리 3597-3
1821783280, 비스트로 홀린체, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1142, 126.164509249552, 33.307871229239, 음식점 > 양식,제주특별자치도 제주시 한경면 고산리 3615
1481571841, 놀멍놀멍, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1164-1, 126.16519831251976, 33.30891539858687, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 3611-3
842561552, 달래횟집, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1167, 126.165601489803, 33.3087486070973, 음식점 > 한식 > 해물,생선 > 회,제주특별자치도 제주시 한경면 고산리 3593-6
647397940, 아리아커피, 카페, 제주특별자치도 제주시 한경면 노을해안로 1174, 126.1657794968825, 33.30809704827029, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 3605-2
446034298, 차귀도해산물포차, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1146, 126.1645025117853, 33.30823993587601, 음식점 > 술집 > 실내포장마차,제주특별자치도 제주시 한경면 고산리 3615-6
1363829880, 프롬더아일랜드, 카페, 제주특별자치도 제주시 한경면 노을해안로 1142, 126.164509249552, 33.307871229239, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 3615
